method	n_cluster	seed	ari_value
Average-based	10	0	0.34560831212292586
Average-based	10	1	0.34560831212292586
Average-based	10	2	0.34560831212292586
Average-based	10	3	0.34560831212292586
Average-based	10	4	0.34560831212292586
Average-based	10	5	0.34560831212292586
Average-based	10	6	0.34560831212292586
Average-based	10	7	0.34560831212292586
Average-based	10	8	0.34560831212292586
Average-based	10	9	0.34560831212292586
Onehot-based	10	0	0.34577620387575714
Onehot-based	10	1	0.34577620387575714
Onehot-based	10	2	0.34577620387575714
Onehot-based	10	3	0.34577620387575714
Onehot-based	10	4	0.34577620387575714
Onehot-based	10	5	0.34577620387575714
Onehot-based	10	6	0.34577620387575714
Onehot-based	10	7	0.34577620387575714
Onehot-based	10	8	0.34577620387575714
Onehot-based	10	9	0.34577620387575714
wNMF-based	10	0	0.3442963484259683
wNMF-based	10	1	0.34205623509684585
wNMF-based	10	2	0.3434123670005542
wNMF-based	10	3	0.3484410655454263
wNMF-based	10	4	0.3442963484259683
wNMF-based	10	5	0.344188230084335
wNMF-based	10	6	0.344188230084335
wNMF-based	10	7	0.34205623509684585
wNMF-based	10	8	0.34602931739927484
wNMF-based	10	9	0.344188230084335
Average-based	11	0	0.33128558271000547
Average-based	11	1	0.3311655338760704
Average-based	11	2	0.33128558271000547
Average-based	11	3	0.3311655338760704
Average-based	11	4	0.3311655338760704
Average-based	11	5	0.3311655338760704
Average-based	11	6	0.3311655338760704
Average-based	11	7	0.3311655338760704
Average-based	11	8	0.3311655338760704
Average-based	11	9	0.3311655338760704
Onehot-based	11	0	0.33028839372731666
Onehot-based	11	1	0.33028839372731666
Onehot-based	11	2	0.33028839372731666
Onehot-based	11	3	0.33028839372731666
Onehot-based	11	4	0.33028839372731666
Onehot-based	11	5	0.33028839372731666
Onehot-based	11	6	0.33028839372731666
Onehot-based	11	7	0.3301532219048098
Onehot-based	11	8	0.3301532219048098
Onehot-based	11	9	0.3301532219048098
wNMF-based	11	0	0.3304587003825176
wNMF-based	11	1	0.3304587003825176
wNMF-based	11	2	0.3304587003825176
wNMF-based	11	3	0.3304587003825176
wNMF-based	11	4	0.3304587003825176
wNMF-based	11	5	0.3304587003825176
wNMF-based	11	6	0.3304587003825176
wNMF-based	11	7	0.3304587003825176
wNMF-based	11	8	0.3304587003825176
wNMF-based	11	9	0.3304587003825176
Average-based	12	0	0.2776154236306637
Average-based	12	1	0.2776154236306637
Average-based	12	2	0.2776154236306637
Average-based	12	3	0.2776154236306637
Average-based	12	4	0.2776154236306637
Average-based	12	5	0.2776154236306637
Average-based	12	6	0.2776154236306637
Average-based	12	7	0.2776154236306637
Average-based	12	8	0.2776154236306637
Average-based	12	9	0.2776154236306637
Onehot-based	12	0	0.27731601964909786
Onehot-based	12	1	0.2776154236306637
Onehot-based	12	2	0.2776154236306637
Onehot-based	12	3	0.27802469524407986
Onehot-based	12	4	0.2776154236306637
Onehot-based	12	5	0.2776154236306637
Onehot-based	12	6	0.2776154236306637
Onehot-based	12	7	0.2776154236306637
Onehot-based	12	8	0.27731601964909786
Onehot-based	12	9	0.2776154236306637
wNMF-based	12	0	0.28052536862397887
wNMF-based	12	1	0.28244629607676
wNMF-based	12	2	0.28052536862397887
wNMF-based	12	3	0.28052536862397887
wNMF-based	12	4	0.28052536862397887
wNMF-based	12	5	0.28244629607676
wNMF-based	12	6	0.28244629607676
wNMF-based	12	7	0.28244629607676
wNMF-based	12	8	0.28244629607676
wNMF-based	12	9	0.28244629607676
Average-based	13	0	0.2674166560118163
Average-based	13	1	0.26615924008681635
Average-based	13	2	0.26615924008681635
Average-based	13	3	0.2668941115536203
Average-based	13	4	0.26668142318365473
Average-based	13	5	0.26628959533592184
Average-based	13	6	0.2668941115536203
Average-based	13	7	0.26628959533592184
Average-based	13	8	0.2674166560118163
Average-based	13	9	0.2674166560118163
Onehot-based	13	0	0.26676920634412954
Onehot-based	13	1	0.26690421265894154
Onehot-based	13	2	0.26676920634412954
Onehot-based	13	3	0.26615924008681635
Onehot-based	13	4	0.26676920634412954
Onehot-based	13	5	0.26676920634412954
Onehot-based	13	6	0.26676920634412954
Onehot-based	13	7	0.26676920634412954
Onehot-based	13	8	0.26676920634412954
