method	n_cluster	seed	ari_value
Average-based	10	0	0.2505005378240441
Average-based	10	1	0.20933531799588054
Average-based	10	2	0.19559073365182628
Average-based	10	3	0.21846627515308334
Average-based	10	4	0.21846627515308334
Average-based	10	5	0.2036081207519738
Average-based	10	6	0.19559073365182628
Average-based	10	7	0.2048178532410891
Average-based	10	8	0.2019134149794134
Average-based	10	9	0.20933531799588054
Onehot-based	10	0	0.20429246806855275
Onehot-based	10	1	0.18743321372962743
Onehot-based	10	2	0.19199773297993553
Onehot-based	10	3	0.19421299127587494
Onehot-based	10	4	0.19750941523054139
Onehot-based	10	5	0.19811873518015946
Onehot-based	10	6	0.19088092471959583
Onehot-based	10	7	0.19938498083259962
Onehot-based	10	8	0.1875701108720614
Onehot-based	10	9	0.19224012358091386
wNMF-based	10	0	0.23823940304256727
wNMF-based	10	1	0.20123324684805294
wNMF-based	10	2	0.23972191995001274
wNMF-based	10	3	0.23774561864347496
wNMF-based	10	4	0.19742004722279596
wNMF-based	10	5	0.2157304967254745
wNMF-based	10	6	0.2394384906539634
wNMF-based	10	7	0.2388750175093579
wNMF-based	10	8	0.2388750175093579
wNMF-based	10	9	0.20739260917369687
Average-based	11	0	0.20512938024168167
Average-based	11	1	0.1964560479351235
Average-based	11	2	0.17743184073419405
Average-based	11	3	0.19314821661327072
Average-based	11	4	0.19686625913226702
Average-based	11	5	0.17908925280263008
Average-based	11	6	0.1964560479351235
Average-based	11	7	0.1936290866586906
Average-based	11	8	0.19650473579718297
Average-based	11	9	0.19340640020157832
Onehot-based	11	0	0.18042437466942826
Onehot-based	11	1	0.1805637356040856
Onehot-based	11	2	0.2035001313984939
Onehot-based	11	3	0.17847003383834684
Onehot-based	11	4	0.2014380819542129
Onehot-based	11	5	0.19485251902585676
Onehot-based	11	6	0.19300165934819816
Onehot-based	11	7	0.17777720252374998
Onehot-based	11	8	0.1810419288347934
Onehot-based	11	9	0.17259830313747287
wNMF-based	11	0	0.20334860136213673
wNMF-based	11	1	0.20349150507306263
wNMF-based	11	2	0.20377397428815605
wNMF-based	11	3	0.20345603058792935
wNMF-based	11	4	0.203806025311239
wNMF-based	11	5	0.21089678923917957
wNMF-based	11	6	0.20345603058792935
wNMF-based	11	7	0.21131796318941692
wNMF-based	11	8	0.2037017364321655
wNMF-based	11	9	0.20349150507306263
Average-based	12	0	0.19096167049028082
Average-based	12	1	0.1977117352823071
Average-based	12	2	0.18288035850496193
Average-based	12	3	0.19096167049028082
Average-based	12	4	0.1974547677170575
Average-based	12	5	0.1929404802877004
Average-based	12	6	0.1906779013453253
Average-based	12	7	0.19784636280993545
Average-based	12	8	0.20590173294250155
Average-based	12	9	0.1907591954418185
Onehot-based	12	0	0.17030187288471135
Onehot-based	12	1	0.18247199872812547
Onehot-based	12	2	0.19004008215889126
Onehot-based	12	3	0.19336298230923923
Onehot-based	12	4	0.18401783095230387
Onehot-based	12	5	0.19250382174103703
Onehot-based	12	6	0.19316598597795506
Onehot-based	12	7	0.19180952339752205
Onehot-based	12	8	0.19397405278546634
Onehot-based	12	9	0.19237045718707066
wNMF-based	12	0	0.19436085639656872
wNMF-based	12	1	0.19708426751985725
wNMF-based	12	2	0.1966780308709552
wNMF-based	12	3	0.197484885774869
wNMF-based	12	4	0.1925944376441247
wNMF-based	12	5	0.19689247609154817
wNMF-based	12	6	0.19773364680769576
wNMF-based	12	7	0.1959596114245469
wNMF-based	12	8	0.20440718124287596
wNMF-based	12	9	0.19313514412621743
Average-based	13	0	0.1990809058991323
Average-based	13	1	0.1789587846664555
Average-based	13	2	0.18747264632327557
Average-based	13	3	0.19819664583827187
Average-based	13	4	0.17864778577670087
Average-based	13	5	0.18843979209637557
Average-based	13	6	0.1790720328420397
Average-based	13	7	0.19763290923393376
Average-based	13	8	0.18844128079645484
Average-based	13	9	0.17802311052274686
Onehot-based	13	0	0.17776856780136005
Onehot-based	13	1	0.17431663113299586
Onehot-based	13	2	0.19694938890060149
Onehot-based	13	3	0.17511443417566827
Onehot-based	13	4	0.17340886012674997
Onehot-based	13	5	0.19837539707655524
Onehot-based	13	6	0.18006277381422617
Onehot-based	13	7	0.1789418482633021
Onehot-based	13	8	0.17360691607463768
Onehot-based	13	9	0.17829064032114544
wNMF-based	13	0	0.1851372961299347
wNMF-based	13	1	0.19467323624582353
wNMF-based	13	2	0.19193349335318136
wNMF-based	13	3	0.19142654186886954
wNMF-based	13	4	0.18507021772079463
wNMF-based	13	5	0.1972438741189351
wNMF-based	13	6	0.18605875309018644
wNMF-based	13	7	0.2144610678729886
wNMF-based	13	8	0.1856460957457553
wNMF-based	13	9	0.1892461626877763
Average-based	14	0	0.17729975143993923
Average-based	14	1	0.17513540400131283
Average-based	14	2	0.1854736009542968
Average-based	14	3	0.1857817068064247
Average-based	14	4	0.17596736115171224
Average-based	14	5	0.17928383684255927
Average-based	14	6	0.17928383684255927
Average-based	14	7	0.1796352694281632
Average-based	14	8	0.18036704660943417
Average-based	14	9	0.18047937630892727
Onehot-based	14	0	0.1739920402284182
Onehot-based	14	1	0.1716429827099127
Onehot-based	14	2	0.17368661229732418
Onehot-based	14	3	0.18086856586898958
Onehot-based	14	4	0.19342026530754752
Onehot-based	14	5	0.18916155356238673
Onehot-based	14	6	0.1809684685158582
Onehot-based	14	7	0.17402838495320305
Onehot-based	14	8	0.17541746397089433
Onehot-based	14	9	0.17428489089325316
wNMF-based	14	0	0.17533339349560587
wNMF-based	14	1	0.18941291258795984
wNMF-based	14	2	0.20294826753299777
wNMF-based	14	3	0.17307142482901658
wNMF-based	14	4	0.17875074616181297
wNMF-based	14	5	0.17283536747118688
wNMF-based	14	6	0.1775319762150214
