method	n_cluster	seed	ari_value
Average-based	10	0	0.2800872318110362
Average-based	10	1	0.28294636825198793
Average-based	10	2	0.27972083493666206
Average-based	10	3	0.28580605174732726
Average-based	10	4	0.27993455012243074
Average-based	10	5	0.27972083493666206
Average-based	10	6	0.27972083493666206
Average-based	10	7	0.2873516052221967
Average-based	10	8	0.27972083493666206
Average-based	10	9	0.29156105067510424
Onehot-based	10	0	0.2474052953112486
Onehot-based	10	1	0.28090863845196823
Onehot-based	10	2	0.27100836901153047
Onehot-based	10	3	0.27047719843804957
Onehot-based	10	4	0.2477183772548862
Onehot-based	10	5	0.2721306866018824
Onehot-based	10	6	0.27148755088632415
Onehot-based	10	7	0.2468568211079037
Onehot-based	10	8	0.27022906655003465
Onehot-based	10	9	0.26989205537460065
wNMF-based	10	0	0.2775912153018012
wNMF-based	10	1	0.2769091733976881
wNMF-based	10	2	0.27748598408205805
wNMF-based	10	3	0.274852629360196
wNMF-based	10	4	0.27813308501538486
wNMF-based	10	5	0.22927912214783078
wNMF-based	10	6	0.27712760146405196
wNMF-based	10	7	0.2769091733976881
wNMF-based	10	8	0.27625755054630763
wNMF-based	10	9	0.27547779975174724
Average-based	11	0	0.288714536801243
Average-based	11	1	0.28740415972451155
Average-based	11	2	0.29080610012637087
Average-based	11	3	0.2865257389530112
Average-based	11	4	0.2886578337928719
Average-based	11	5	0.2856248019542731
Average-based	11	6	0.28692213959740653
Average-based	11	7	0.2886578337928719
Average-based	11	8	0.2886578337928719
Average-based	11	9	0.2757392646402569
Onehot-based	11	0	0.2700867782102853
Onehot-based	11	1	0.2729168748630219
Onehot-based	11	2	0.2742980801405457
Onehot-based	11	3	0.24437318841214078
Onehot-based	11	4	0.2314455622974302
Onehot-based	11	5	0.2714756860120795
Onehot-based	11	6	0.2708711376122651
Onehot-based	11	7	0.23761271395905964
Onehot-based	11	8	0.27727024197356703
Onehot-based	11	9	0.27150699260711997
wNMF-based	11	0	0.24908537474606984
wNMF-based	11	1	0.2519945285698213
wNMF-based	11	2	0.2490407592265528
wNMF-based	11	3	0.2522511591019693
wNMF-based	11	4	0.2523961647086043
wNMF-based	11	5	0.2519240089464731
wNMF-based	11	6	0.2526323734260206
wNMF-based	11	7	0.24780068525553198
wNMF-based	11	8	0.2349071997626152
wNMF-based	11	9	0.23228878594802255
Average-based	12	0	0.22773921996713978
