method	n_cluster	seed	ari_value
Average-based	10	0	0.22942856593646008
Average-based	10	1	0.22942856593646008
Average-based	10	2	0.22848676758071673
Average-based	10	3	0.22887368513184467
Average-based	10	4	0.22817028688797103
Average-based	10	5	0.2278053809198296
Average-based	10	6	0.2278053809198296
Average-based	10	7	0.22534289976234212
Average-based	10	8	0.22942856593646008
Average-based	10	9	0.22825880275542737
Onehot-based	10	0	0.23056125238214006
Onehot-based	10	1	0.2297928539965067
Onehot-based	10	2	0.23094384059494766
Onehot-based	10	3	0.23195839760648068
Onehot-based	10	4	0.23072822500189488
Onehot-based	10	5	0.23140951605514257
Onehot-based	10	6	0.23145738529989
Onehot-based	10	7	0.23145738529989
Onehot-based	10	8	0.22950409476924513
Onehot-based	10	9	0.22950409476924513
wNMF-based	10	0	0.23075197949308968
wNMF-based	10	1	0.23065884991929028
wNMF-based	10	2	0.23096360039008246
wNMF-based	10	3	0.23065884991929028
wNMF-based	10	4	0.23096360039008246
wNMF-based	10	5	0.23075197949308968
wNMF-based	10	6	0.23106030709709746
wNMF-based	10	7	0.23096360039008246
wNMF-based	10	8	0.23046674658376187
wNMF-based	10	9	0.23106030709709746
Average-based	11	0	0.22961852397412633
Average-based	11	1	0.22709646844623524
Average-based	11	2	0.22957722874018227
Average-based	11	3	0.22709646844623524
Average-based	11	4	0.2345852375633892
Average-based	11	5	0.22956244610382773
Average-based	11	6	0.23087275650304437
Average-based	11	7	0.2364277525244893
Average-based	11	8	0.23389808832411613
Average-based	11	9	0.22756863493692475
Onehot-based	11	0	0.23411572126343788
Onehot-based	11	1	0.2378112831426334
Onehot-based	11	2	0.22903670206692628
Onehot-based	11	3	0.23384806580726614
Onehot-based	11	4	0.23388952335018526
Onehot-based	11	5	0.22706800937564736
Onehot-based	11	6	0.23377111449073365
Onehot-based	11	7	0.23166981827318495
Onehot-based	11	8	0.23326870064984428
Onehot-based	11	9	0.2315922907243054
wNMF-based	11	0	0.2403336607002068
wNMF-based	11	1	0.24096789546858458
wNMF-based	11	2	0.2403336607002068
wNMF-based	11	3	0.24090835692068524
wNMF-based	11	4	0.24096789546858458
wNMF-based	11	5	0.2417812804929881
wNMF-based	11	6	0.24087758230673412
wNMF-based	11	7	0.2417344391687709
wNMF-based	11	8	0.24039995805408607
wNMF-based	11	9	0.24096789546858458
Average-based	12	0	0.23457889124028486
Average-based	12	1	0.23546802841060946
Average-based	12	2	0.23571254362308602
Average-based	12	3	0.23594549731260583
Average-based	12	4	0.23757821364005563
Average-based	12	5	0.23760477693981996
Average-based	12	6	0.23571254362308602
Average-based	12	7	0.22828303180992482
Average-based	12	8	0.23562831135101392
Average-based	12	9	0.23562005417640414
Onehot-based	12	0	0.23526815315474187
Onehot-based	12	1	0.23816300030537157
Onehot-based	12	2	0.2371506898719225
Onehot-based	12	3	0.23703266849250493
Onehot-based	12	4	0.23064299296968552
Onehot-based	12	5	0.2310281222395728
Onehot-based	12	6	0.23187188888278637
Onehot-based	12	7	0.23099580582696452
Onehot-based	12	8	0.2308047088465596
Onehot-based	12	9	0.23095427676478708
wNMF-based	12	0	0.2375151397263938
