method	n_cluster	seed	ari_value
Average-based	10	0	0.14947395793262847
Average-based	10	1	0.13842952007484083
Average-based	10	2	0.15214654706938163
Average-based	10	3	0.14713652902693555
Average-based	10	4	0.14947816840800157
Average-based	10	5	0.14831599313424335
Average-based	10	6	0.14995898809388228
Average-based	10	7	0.1452770025599001
Average-based	10	8	0.14271691839916326
Average-based	10	9	0.14703662184463406
Onehot-based	10	0	0.1536594170169308
Onehot-based	10	1	0.15411715501555834
Onehot-based	10	2	0.12656018187273518
Onehot-based	10	3	0.151462888644019
Onehot-based	10	4	0.13141434864863097
Onehot-based	10	5	0.12979371418663338
Onehot-based	10	6	0.14437360931029297
Onehot-based	10	7	0.15039344620954315
Onehot-based	10	8	0.15089357104209222
Onehot-based	10	9	0.1491828906735031
wNMF-based	10	0	0.14471815608902242
wNMF-based	10	1	0.14023477667726983
wNMF-based	10	2	0.14120440706138904
wNMF-based	10	3	0.14197570939278437
wNMF-based	10	4	0.1431185483656665
wNMF-based	10	5	0.14138950095250388
wNMF-based	10	6	0.14140912118925011
wNMF-based	10	7	0.14029636123303899
wNMF-based	10	8	0.1416678537093165
wNMF-based	10	9	0.14042545378632723
Average-based	11	0	0.14814926468751544
Average-based	11	1	0.14232822774154555
Average-based	11	2	0.15144075578701194
Average-based	11	3	0.13648830432952222
Average-based	11	4	0.15063774521977033
Average-based	11	5	0.1451908636511859
Average-based	11	6	0.14559968837295348
Average-based	11	7	0.13926429852214475
Average-based	11	8	0.14691934706252716
Average-based	11	9	0.14345046082677065
Onehot-based	11	0	0.15126828294529382
Onehot-based	11	1	0.13544170321388405
Onehot-based	11	2	0.13376742193502272
Onehot-based	11	3	0.14158500403105082
Onehot-based	11	4	0.14688969887493758
Onehot-based	11	5	0.15732927199833122
Onehot-based	11	6	0.1513804306637382
Onehot-based	11	7	0.1480698054834875
Onehot-based	11	8	0.13747566820509297
Onehot-based	11	9	0.14835334882316037
wNMF-based	11	0	0.15138828354586653
wNMF-based	11	1	0.14104233689945328
wNMF-based	11	2	0.14000074371710283
wNMF-based	11	3	0.14998052368179093
wNMF-based	11	4	0.14497368318932638
wNMF-based	11	5	0.14734550463371318
wNMF-based	11	6	0.15682129512415305
wNMF-based	11	7	0.1486295054870923
wNMF-based	11	8	0.1426119453030753
wNMF-based	11	9	0.14094197566009725
Average-based	12	0	0.14862175558933202
Average-based	12	1	0.15021497547121668
Average-based	12	2	0.1505030379268782
Average-based	12	3	0.15337293876875036
Average-based	12	4	0.15088616176392344
Average-based	12	5	0.1451256401629786
Average-based	12	6	0.14923014905204593
Average-based	12	7	0.1563883632735672
Average-based	12	8	0.1435035413449629
Average-based	12	9	0.1510243585925818
Onehot-based	12	0	0.1595471417874334
Onehot-based	12	1	0.1660158722924698
Onehot-based	12	2	0.1616610500082691
Onehot-based	12	3	0.16370077547683198
Onehot-based	12	4	0.16765866186598977
Onehot-based	12	5	0.16225778674623562
Onehot-based	12	6	0.16254646044569274
Onehot-based	12	7	0.16462246945154638
Onehot-based	12	8	0.16466140251068107
Onehot-based	12	9	0.15554465425798228
wNMF-based	12	0	0.15256585851474397
wNMF-based	12	1	0.14543121602597536
wNMF-based	12	2	0.1485778066369016
wNMF-based	12	3	0.1323436350723023
wNMF-based	12	4	0.14346631691521897
wNMF-based	12	5	0.14866550578514412
wNMF-based	12	6	0.16224228053255324
wNMF-based	12	7	0.14350938889192036
wNMF-based	12	8	0.14475925303761103
wNMF-based	12	9	0.15082004089618273
Average-based	13	0	0.13969470199868803
Average-based	13	1	0.1398154893301604
Average-based	13	2	0.1311882317000647
Average-based	13	3	0.12812347686907438
Average-based	13	4	0.13708489259989887
Average-based	13	5	0.13071130848435528
Average-based	13	6	0.14308216574868868
Average-based	13	7	0.13895227760911008
Average-based	13	8	0.12265174003225492
Average-based	13	9	0.1328428397812564
Onehot-based	13	0	0.1527775898383221
Onehot-based	13	1	0.15293550523639926
Onehot-based	13	2	0.14692052733006483
Onehot-based	13	3	0.15695145518617176
Onehot-based	13	4	0.15154159514274082
Onehot-based	13	5	0.15938341703602213
Onehot-based	13	6	0.14217169104839092
Onehot-based	13	7	0.15150106376580458
Onehot-based	13	8	0.14378183304708758
Onehot-based	13	9	0.14101205501112332
wNMF-based	13	0	0.13106490099395343
wNMF-based	13	1	0.1333359523517244
wNMF-based	13	2	0.12451361983145642
wNMF-based	13	3	0.12979322981982888
wNMF-based	13	4	0.14122559550171696
wNMF-based	13	5	0.13178069052796668
wNMF-based	13	6	0.14024065001043015
wNMF-based	13	7	0.13108108143286257
wNMF-based	13	8	0.13877800527604248
wNMF-based	13	9	0.12405931029039037
Average-based	14	0	0.14469861292898392
Average-based	14	1	0.11876685441945078
Average-based	14	2	0.12075256542913623
Average-based	14	3	0.12161062317570136
Average-based	14	4	0.11674602602927568
Average-based	14	5	0.12660583158210673
Average-based	14	6	0.11767924525310615
Average-based	14	7	0.12640512391812705
Average-based	14	8	0.1265155235287589
Average-based	14	9	0.1187999791192379
Onehot-based	14	0	0.1395669472061429
Onehot-based	14	1	0.13329181129261955
Onehot-based	14	2	0.13466816279048072
Onehot-based	14	3	0.1523138717862918
Onehot-based	14	4	0.13409266444844545
Onehot-based	14	5	0.14826742211576735
Onehot-based	14	6	0.1525394874995048
Onehot-based	14	7	0.13036759579590004
Onehot-based	14	8	0.15110793214646728
Onehot-based	14	9	0.12901834197075196
wNMF-based	14	0	0.11999595658486724
wNMF-based	14	1	0.13437890372438838
wNMF-based	14	2	0.1205653721815262
wNMF-based	14	3	0.11915551164063196
wNMF-based	14	4	0.11902072152969069
wNMF-based	14	5	0.1191146504743663
wNMF-based	14	6	0.1188340219898413
wNMF-based	14	7	0.11713241543797265
wNMF-based	14	8	0.1159666033177056
wNMF-based	14	9	0.11979506768906334
Average-based	15	0	0.1328596332329771
Average-based	15	1	0.1339338506167186
Average-based	15	2	0.13927507000055112
Average-based	15	3	0.13777025572004328
Average-based	15	4	0.1371810353448119
Average-based	15	5	0.12991357415500754
Average-based	15	6	0.12867638175174076
Average-based	15	7	0.13314991951274674
Average-based	15	8	0.14311804363158537
Average-based	15	9	0.13014148135932652
Onehot-based	15	0	0.13968261038771349
Onehot-based	15	1	0.15082539295996186
Onehot-based	15	2	0.135360646991588
Onehot-based	15	3	0.13578299764681215
Onehot-based	15	4	0.13197267826002756
Onehot-based	15	5	0.14127481436950687
Onehot-based	15	6	0.14398432521655857
Onehot-based	15	7	0.15441262401910782
Onehot-based	15	8	0.13611926836482846
Onehot-based	15	9	0.13464596456320874
wNMF-based	15	0	0.12661614180968936
wNMF-based	15	1	0.13348383568124406
wNMF-based	15	2	0.1325212125238856
wNMF-based	15	3	0.13371806637861375
wNMF-based	15	4	0.13289382427445556
wNMF-based	15	5	0.13137989892459256
wNMF-based	15	6	0.13742010154487666
wNMF-based	15	7	0.12201941245944721
wNMF-based	15	8	0.12934660516528065
wNMF-based	15	9	0.1495676442488808
Average-based	16	0	0.1295728684847807
Average-based	16	1	0.12081850454108174
Average-based	16	2	0.1252881782329447
Average-based	16	3	0.1291754832723656
Average-based	16	4	0.12885931194783942
Average-based	16	5	0.13240370423938655
Average-based	16	6	0.1481475238241427
Average-based	16	7	0.13058550223412946
Average-based	16	8	0.13044461621105813
Average-based	16	9	0.134483691351224
Onehot-based	16	0	0.13527380921907864
Onehot-based	16	1	0.1559422685233093
Onehot-based	16	2	0.14484185038420141
Onehot-based	16	3	0.13815246004265927
Onehot-based	16	4	0.1521749408287663
Onehot-based	16	5	0.1421659033389457
Onehot-based	16	6	0.13534258074765076
Onehot-based	16	7	0.13371804382460675
Onehot-based	16	8	0.14245647796843386
Onehot-based	16	9	0.1448816990843074
wNMF-based	16	0	0.14194766133374834
wNMF-based	16	1	0.13427241379377114
wNMF-based	16	2	0.12578043115692564
wNMF-based	16	3	0.137995956939978
wNMF-based	16	4	0.12799642128231778
wNMF-based	16	5	0.14260530119019796
wNMF-based	16	6	0.14174124499060148
wNMF-based	16	7	0.12721432697011154
wNMF-based	16	8	0.13604566833547102
wNMF-based	16	9	0.13895272081759052
Average-based	17	0	0.1137359178716206
Average-based	17	1	0.11543078540999806
Average-based	17	2	0.12957100516122355
Average-based	17	3	0.11893402543299161
Average-based	17	4	0.11769708199561864
Average-based	17	5	0.11962438536760679
Average-based	17	6	0.11750179507970986
Average-based	17	7	0.12001057003452371
Average-based	17	8	0.1270169772824329
Average-based	17	9	0.1197162706052734
Onehot-based	17	0	0.135788439385334
Onehot-based	17	1	0.1404638609986041
Onehot-based	17	2	0.13982085259545482
Onehot-based	17	3	0.1281340968075194
Onehot-based	17	4	0.14087813302706303
Onehot-based	17	5	0.13552824842923578
Onehot-based	17	6	0.13675762528899651
Onehot-based	17	7	0.13511504387307943
Onehot-based	17	8	0.13065546780592474
Onehot-based	17	9	0.1495540273040757
wNMF-based	17	0	0.12961915202280735
wNMF-based	17	1	0.1416776080121642
wNMF-based	17	2	0.139626536024281
wNMF-based	17	3	0.12943887725830608
wNMF-based	17	4	0.13695009632488153
wNMF-based	17	5	0.13506142535817656
wNMF-based	17	6	0.12381245210691273
wNMF-based	17	7	0.11886670176959743
wNMF-based	17	8	0.12625586661647567
wNMF-based	17	9	0.12097698964527313
Average-based	18	0	0.13451128326504364
Average-based	18	1	0.1347403406236835
Average-based	18	2	0.12434283697591819
Average-based	18	3	0.12636847119000627
Average-based	18	4	0.12619188232564682
Average-based	18	5	0.1261347535760467
Average-based	18	6	0.13630256741441715
Average-based	18	7	0.1386738596693654
Average-based	18	8	0.13152230273869164
Average-based	18	9	0.13444527143544496
Onehot-based	18	0	0.1301318649206075
Onehot-based	18	1	0.13598698246335766
Onehot-based	18	2	0.13839041934150292
Onehot-based	18	3	0.13862700881570977
Onehot-based	18	4	0.1406320823316947
Onehot-based	18	5	0.1411764706414587
Onehot-based	18	6	0.13797825914675171
Onehot-based	18	7	0.14175812165119556
Onehot-based	18	8	0.1416339255518189
Onehot-based	18	9	0.1452594458892467
wNMF-based	18	0	0.12654450182328655
wNMF-based	18	1	0.13261501998092187
wNMF-based	18	2	0.1376900739098634
wNMF-based	18	3	0.13265922546405765
wNMF-based	18	4	0.13665908882307892
wNMF-based	18	5	0.13715852770000947
wNMF-based	18	6	0.13138633136682162
wNMF-based	18	7	0.12260519277306015
wNMF-based	18	8	0.1333133151656523
wNMF-based	18	9	0.12715097093654135
Average-based	19	0	0.13154425695305721
Average-based	19	1	0.13109807282157965
Average-based	19	2	0.12907869971350078
Average-based	19	3	0.13402771506819613
Average-based	19	4	0.1322361041693577
Average-based	19	5	0.13640503932675285
Average-based	19	6	0.1270234859624723
Average-based	19	7	0.13349788587397005
Average-based	19	8	0.13163995284095092
Average-based	19	9	0.1357330799866147
Onehot-based	19	0	0.1440956156740789
Onehot-based	19	1	0.14068715356568956
