method	n_cluster	seed	ari_value
Average-based	10	0	0.06410035867322984
Average-based	10	1	0.062321426973270325
Average-based	10	2	0.06130862341393373
Average-based	10	3	0.05693165656192446
Average-based	10	4	0.062391072157759846
Average-based	10	5	0.05895508187368023
Average-based	10	6	0.0620730569006494
Average-based	10	7	0.05932411197621456
Average-based	10	8	0.05540983068077218
Average-based	10	9	0.055839960399690386
Onehot-based	10	0	0.06234098648780428
Onehot-based	10	1	0.0825612741828491
Onehot-based	10	2	0.07429153820448352
Onehot-based	10	3	0.08727791016945657
Onehot-based	10	4	0.07832539452400221
Onehot-based	10	5	0.0889505159991802
Onehot-based	10	6	0.08760358021012386
Onehot-based	10	7	0.08652641485861413
Onehot-based	10	8	0.09149303632235378
Onehot-based	10	9	0.08868296463134681
wNMF-based	10	0	0.0656566945397199
wNMF-based	10	1	0.06764085886004846
wNMF-based	10	2	0.07898116437852369
wNMF-based	10	3	0.07680979267171334
wNMF-based	10	4	0.0776429599584426
wNMF-based	10	5	0.0700723313938842
wNMF-based	10	6	0.07454543876029046
wNMF-based	10	7	0.06785178804898492
wNMF-based	10	8	0.06605349439985794
wNMF-based	10	9	0.06848182900659724
Average-based	11	0	0.09252488930328832
Average-based	11	1	0.08934679959189375
Average-based	11	2	0.09203341414710414
Average-based	11	3	0.09113771023052439
Average-based	11	4	0.08926991103427863
Average-based	11	5	0.0883693246723765
Average-based	11	6	0.09091295945758726
Average-based	11	7	0.0911456853526011
Average-based	11	8	0.0894379082587107
Average-based	11	9	0.09206953060686592
Onehot-based	11	0	0.09843411838270412
Onehot-based	11	1	0.09812404882893966
Onehot-based	11	2	0.10275995468370414
Onehot-based	11	3	0.09807899878520504
Onehot-based	11	4	0.10010294329815388
Onehot-based	11	5	0.0998253734525295
Onehot-based	11	6	0.09691316830566704
Onehot-based	11	7	0.09657775426734685
Onehot-based	11	8	0.10026881092582984
Onehot-based	11	9	0.10176294247499801
wNMF-based	11	0	0.08858532992906479
wNMF-based	11	1	0.09461579870955428
wNMF-based	11	2	0.08839379474027964
wNMF-based	11	3	0.08811497253105151
wNMF-based	11	4	0.08865197202109566
wNMF-based	11	5	0.08934172838695913
wNMF-based	11	6	0.08978184074287017
wNMF-based	11	7	0.0907457897924156
wNMF-based	11	8	0.09621926984992339
wNMF-based	11	9	0.09029680774325768
Average-based	12	0	0.07832982081107777
Average-based	12	1	0.07277341806568816
Average-based	12	2	0.07462005101068427
Average-based	12	3	0.07156466591842185
Average-based	12	4	0.06912886796045459
Average-based	12	5	0.07216287191446467
Average-based	12	6	0.07403814873300439
Average-based	12	7	0.07206857963272076
Average-based	12	8	0.07812867718217767
Average-based	12	9	0.07263066515392542
