"","x"
"1","Astro"
"2","eL5-3"
"3","VIP"
"4","Endo"
"5","Astro"
"6","Endo"
"7","Endo"
"8","Astro"
"9","L5-1"
"10","Astro"
"11","Astro"
"12","Endo"
"13","Astro"
"14","Astro"
"15","eL6-2"
"16","Astro"
"17","Astro"
"18","Astro"
"19","eL2/3"
"20","Astro"
"21","Smc"
"22","Endo"
"23","Astro"
"24","Astro"
"25","Smc"
"26","eL2/3"
"27","Astro"
"28","Reln"
"29","Astro"
"30","Endo"
"31","Astro"
"32","Astro"
"33","Reln"
"34","eL2/3"
"35","Astro"
"36","eL2/3"
"37","eL2/3"
"38","eL2/3"
"39","Astro"
"40","Astro"
"41","Astro"
"42","eL2/3"
"43","eL2/3"
"44","Reln"
"45","eL2/3"
"46","Reln"
"47","eL2/3"
"48","eL2/3"
"49","eL2/3"
"50","Astro"
"51","Astro"
"52","eL2/3"
"53","NPY"
"54","Astro"
"55","Astro"
"56","eL2/3"
"57","eL2/3"
"58","eL2/3"
"59","eL2/3"
"60","Reln"
"61","eL2/3"
"62","eL2/3"
"63","eL2/3"
"64","Astro"
"65","eL2/3"
"66","eL2/3"
"67","eL2/3"
"68","eL5-3"
"69","eL2/3"
"70","eL2/3"
"71","eL2/3"
"72","Astro"
"73","eL2/3"
"74","eL2/3"
"75","eL2/3"
"76","Astro"
"77","Reln"
"78","eL2/3"
"79","eL2/3"
"80","eL2/3"
"81","L5-1"
"82","Astro"
"83","eL2/3"
"84","L5-1"
"85","eL2/3"
"86","eL2/3"
"87","eL2/3"
"88","eL2/3"
"89","eL5-3"
"90","Oligo"
"91","eL2/3"
"92","eL2/3"
"93","eL2/3"
"94","eL2/3"
"95","eL2/3"
"96","eL2/3"
"97","eL2/3"
"98","VIP"
"99","eL2/3"
"100","VIP"
"101","Astro"
"102","eL2/3"
"103","eL2/3"
"104","eL5-2"
"105","eL2/3"
"106","eL2/3"
"107","eL2/3"
"108","eL2/3"
"109","eL2/3"
"110","L5-1"
"111","eL2/3"
"112","eL5-2"
"113","eL2/3"
"114","eL2/3"
"115","eL2/3"
"116","eL2/3"
"117","eL2/3"
"118","eL2/3"
"119","Endo"
"120","eL2/3"
"121","SST"
"122","eL2/3"
"123","eL2/3"
"124","eL2/3"
"125","eL2/3"
"126","eL2/3"
"127","eL2/3"
"128","Smc"
"129","eL2/3"
"130","eL2/3"
"131","SST"
"132","eL2/3"
"133","eL6-1"
"134","Astro"
"135","eL2/3"
"136","L5-1"
"137","eL2/3"
"138","eL2/3"
"139","Astro"
"140","eL2/3"
"141","eL2/3"
"142","eL2/3"
"143","Reln"
"144","eL2/3"
"145","eL2/3"
"146","Endo"
"147","eL2/3"
"148","eL2/3"
"149","VIP"
"150","L5-1"
"151","eL2/3"
"152","eL2/3"
"153","eL2/3"
"154","eL2/3"
"155","eL5-3"
"156","Astro"
"157","eL2/3"
"158","eL2/3"
"159","Oligo"
"160","eL2/3"
"161","eL2/3"
"162","eL2/3"
"163","eL2/3"
"164","eL2/3"
"165","Astro"
"166","eL5-2"
"167","eL5-2"
"168","eL2/3"
"169","SST"
"170","eL2/3"
"171","VIP"
"172","eL5-3"
"173","Lhx6"
"174","eL2/3"
"175","L5-1"
"176","L5-1"
"177","eL2/3"
"178","eL2/3"
"179","eL2/3"
"180","eL2/3"
"181","L5-1"
"182","Lhx6"
"183","Endo"
"184","eL5-2"
"185","Smc"
"186","eL2/3"
"187","Lhx6"
"188","eL2/3"
"189","eL5-3"
"190","eL2/3"
"191","eL5-2"
"192","L5-1"
"193","SST"
"194","eL2/3"
"195","eL5-2"
"196","eL5-2"
"197","eL2/3"
"198","eL5-2"
"199","eL5-2"
"200","eL2/3"
"201","SST"
"202","eL2/3"
"203","eL2/3"
"204","eL5-2"
"205","eL5-2"
"206","L5-1"
"207","eL5-2"
"208","eL2/3"
"209","SST"
"210","eL5-3"
"211","eL5-2"
"212","eL5-3"
"213","eL5-3"
"214","L5-1"
"215","Lhx6"
"216","eL5-2"
"217","eL2/3"
"218","Smc"
"219","eL5-3"
"220","eL5-3"
"221","SST"
"222","eL5-3"
"223","Endo"
"224","L5-1"
"225","L5-1"
"226","eL5-3"
"227","eL5-3"
"228","eL5-3"
"229","eL2/3"
"230","eL2/3"
"231","eL5-3"
"232","eL2/3"
"233","VIP"
"234","eL5-3"
"235","eL5-3"
"236","eL5-2"
"237","eL5-2"
"238","L5-1"
"239","eL5-2"
"240","Lhx6"
"241","eL5-2"
"242","eL6-1"
"243","eL5-2"
"244","eL5-2"
"245","L5-1"
"246","L5-1"
"247","Endo"
"248","L5-1"
"249","eL5-3"
"250","Lhx6"
"251","eL2/3"
"252","Reln"
"253","SST"
"254","eL5-3"
"255","L5-1"
"256","Endo"
"257","L5-1"
"258","eL2/3"
"259","L5-1"
"260","eL5-2"
"261","eL5-2"
"262","eL5-3"
"263","eL2/3"
"264","Endo"
"265","VIP"
"266","eL5-2"
"267","L5-1"
"268","L5-1"
"269","eL5-3"
"270","eL5-2"
"271","eL5-3"
"272","eL5-3"
"273","eL2/3"
"274","eL6-2"
"275","eL5-3"
"276","eL5-2"
"277","Astro"
"278","Astro"
"279","L5-1"
"280","eL5-3"
"281","Endo"
"282","eL5-3"
"283","L5-1"
"284","eL5-3"
"285","eL5-3"
"286","Reln"
"287","eL5-2"
"288","eL5-3"
"289","L5-1"
"290","L5-1"
"291","eL5-3"
"292","Astro"
"293","eL5-2"
"294","eL5-3"
"295","Astro"
"296","Smc"
"297","Lhx6"
"298","Endo"
"299","L5-1"
"300","Smc"
"301","Astro"
"302","eL2/3"
"303","eL5-3"
"304","L5-1"
"305","eL5-3"
"306","eL5-3"
"307","L5-1"
"308","SST"
"309","SST"
"310","eL5-3"
"311","Astro"
"312","eL5-3"
"313","eL5-3"
"314","Oligo"
"315","Lhx6"
"316","eL5-3"
"317","Endo"
"318","L5-1"
"319","Lhx6"
"320","eL5-3"
"321","eL5-3"
"322","eL5-2"
"323","eL5-3"
"324","eL5-3"
"325","eL5-3"
"326","NPY"
"327","eL5-2"
"328","eL5-3"
"329","Astro"
"330","eL5-3"
"331","eL5-3"
"332","eL5-3"
"333","L5-1"
"334","SST"
"335","eL5-2"
"336","eL5-2"
"337","eL5-3"
"338","L5-1"
"339","eL2/3"
"340","eL5-3"
"341","eL5-3"
"342","eL6-1"
"343","SST"
"344","eL5-3"
"345","eL5-3"
"346","Oligo"
"347","L5-1"
"348","eL5-3"
"349","eL5-3"
"350","eL5-3"
"351","eL5-3"
"352","L5-1"
"353","eL5-3"
"354","eL5-3"
"355","eL5-3"
"356","Reln"
"357","eL5-2"
"358","Endo"
"359","eL5-3"
"360","eL2/3"
"361","eL5-3"
"362","eL5-2"
"363","eL5-2"
"364","SST"
"365","eL5-3"
"366","eL6-2"
"367","eL5-3"
"368","eL5-2"
"369","Reln"
"370","eL5-3"
"371","eL5-3"
"372","Endo"
"373","L5-1"
"374","eL5-3"
"375","eL5-3"
"376","Astro"
"377","eL5-3"
"378","eL5-3"
"379","eL5-3"
"380","eL5-2"
"381","eL5-3"
"382","eL5-3"
"383","Endo"
"384","eL5-3"
"385","Smc"
"386","Smc"
"387","Astro"
"388","Lhx6"
"389","eL5-3"
"390","L5-1"
"391","eL5-3"
"392","Endo"
"393","eL2/3"
"394","eL5-2"
"395","eL6-1"
"396","L5-1"
"397","Smc"
"398","Lhx6"
"399","eL5-3"
"400","eL5-3"
"401","eL5-3"
"402","eL5-3"
"403","L5-1"
"404","L5-1"
"405","Lhx6"
"406","Lhx6"
"407","Astro"
"408","eL5-3"
"409","Astro"
"410","Endo"
"411","eL5-3"
"412","eL5-3"
"413","Endo"
"414","L5-1"
"415","eL6-1"
"416","eL6-1"
"417","eL5-3"
"418","eL5-2"
"419","VIP"
"420","eL5-3"
"421","eL6-1"
"422","eL5-3"
"423","VIP"
"424","eL5-3"
"425","eL5-3"
"426","L5-1"
"427","eL5-3"
"428","eL6-1"
"429","eL5-3"
"430","SST"
"431","eL5-3"
"432","eL5-3"
"433","eL6-2"
"434","eL5-2"
"435","eL5-3"
"436","Smc"
"437","NPY"
"438","L5-1"
"439","eL5-3"
"440","Lhx6"
"441","L5-1"
"442","Astro"
"443","eL5-2"
"444","L5-1"
"445","eL5-3"
"446","Oligo"
"447","L5-1"
"448","eL5-3"
"449","SST"
"450","L5-1"
"451","eL5-3"
"452","eL5-3"
"453","Astro"
"454","Smc"
"455","SST"
"456","Smc"
"457","L5-1"
"458","Astro"
"459","eL5-2"
"460","Astro"
"461","eL5-3"
"462","eL5-3"
"463","eL5-3"
"464","eL5-3"
"465","eL5-3"
"466","Smc"
"467","eL6-1"
"468","L5-1"
"469","eL5-3"
"470","eL5-3"
"471","Endo"
"472","NPY"
"473","eL6-2"
"474","L5-1"
"475","SST"
"476","L5-1"
"477","Smc"
"478","eL5-2"
"479","Astro"
"480","eL5-3"
"481","eL5-3"
"482","eL5-3"
"483","eL5-3"
"484","Endo"
"485","eL6-2"
"486","eL5-3"
"487","eL5-3"
"488","eL5-3"
"489","eL5-2"
"490","SST"
"491","Lhx6"
"492","eL6-1"
"493","Oligo"
"494","SST"
"495","eL5-3"
"496","eL5-2"
"497","VIP"
"498","L5-1"
"499","eL5-3"
"500","eL5-2"
"501","eL5-3"
"502","eL5-3"
