,BASS_0,BASS_1,BASS_2,BASS_3,BASS_4,BASS_5,BASS_6,BASS_7,BASS_8,BASS_9,BayesSpace_0,BayesSpace_1,BayesSpace_2,BayesSpace_3,BayesSpace_4,BayesSpace_5,BayesSpace_6,BayesSpace_7,BayesSpace_8,BayesSpace_9,SpatialPCA_0,SpatialPCA_1,SpatialPCA_2,SpatialPCA_3,SpatialPCA_4,SpatialPCA_5,SpatialPCA_6,SpatialPCA_7,SpatialPCA_8,SpatialPCA_9,SEDR_0,SEDR_1,SEDR_2,SEDR_3,SEDR_4,SEDR_5,SEDR_6,SEDR_7,SEDR_8,SEDR_9,SpaGCN_0,SpaGCN_1,SpaGCN_2,SpaGCN_3,SpaGCN_4,SpaGCN_5,SpaGCN_6,SpaGCN_7,SpaGCN_8,SpaGCN_9,STAGATE_0,STAGATE_1,STAGATE_2,STAGATE_3,STAGATE_4,STAGATE_5,STAGATE_6,STAGATE_7,STAGATE_8,STAGATE_9
0,14,8,5,19,19,3,6,19,17,18,7,7,7,7,7,7,7,7,1,7,11,8,6,9,2,5,5,6,9,4,15,12,15,10,1,2,7,6,8,15,1,2,4,0,0,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1
1,6,16,8,5,11,10,8,10,19,9,2,18,2,3,3,1,18,18,3,18,11,8,6,9,2,5,5,6,9,4,11,11,12,13,15,15,11,11,9,10,1,2,4,0,0,8,1,1,1,6,1,1,1,1,1,1,1,1,1,1
2,6,1,14,6,4,15,14,8,4,9,1,4,1,1,1,4,1,1,4,1,1,8,6,9,2,5,5,15,9,8,0,17,5,6,7,8,4,0,8,5,1,2,4,0,0,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,11,1,14,6,4,15,14,8,4,9,4,4,4,4,1,4,4,4,4,4,11,8,6,9,2,5,5,6,9,8,7,6,3,5,5,10,4,0,6,5,1,2,4,0,0,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,18,7,16,14,10,18,7,12,3,3,9,9,9,9,9,9,9,9,9,9,15,3,4,1,16,1,7,5,5,12,6,4,3,6,7,8,6,7,3,5,3,5,6,4,8,7,6,2,5,5,2,2,2,2,2,3,2,2,2,2
5,9,12,19,2,15,11,18,16,15,16,6,6,6,6,6,6,6,6,6,6,10,9,19,6,7,4,4,9,4,7,9,5,14,10,1,2,7,6,8,13,2,3,3,3,6,3,3,10,3,9,1,1,1,1,1,1,1,1,1,1
6,6,1,14,6,4,15,14,8,4,9,2,2,2,2,2,2,2,2,2,2,11,8,6,9,2,5,5,6,9,8,7,4,3,6,5,8,6,13,3,5,1,2,4,0,0,4,1,1,1,4,1,1,1,1,1,2,1,1,1,1
7,2,12,19,2,15,11,18,16,15,15,8,8,8,8,8,8,8,8,8,8,10,9,3,6,7,4,4,9,4,7,9,2,14,10,1,2,7,6,0,13,2,3,3,3,6,3,3,10,3,9,12,12,11,12,10,13,12,13,12,14
8,10,18,16,17,10,18,7,12,3,3,9,9,9,9,9,9,9,9,9,9,15,3,4,1,16,1,7,5,5,12,6,4,3,6,7,8,6,7,3,5,3,5,6,4,8,7,6,2,5,5,2,2,2,2,2,3,2,2,2,2
9,9,12,19,2,15,11,18,16,15,16,6,6,6,6,6,6,6,6,6,6,10,9,3,6,7,4,4,9,4,7,9,5,14,10,1,2,7,6,8,13,2,3,3,3,6,3,3,10,3,9,9,3,1,5,11,2,1,3,1,1
10,6,1,14,6,4,15,8,8,12,9,1,4,1,1,1,4,1,1,4,1,11,8,6,9,2,5,5,6,9,11,6,4,3,6,7,1,4,7,6,5,1,2,4,0,0,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1
11,4,16,8,5,11,10,8,6,12,19,6,6,6,6,6,6,6,6,6,6,2,2,12,2,2,19,5,6,9,8,10,8,12,12,5,10,10,0,3,8,2,3,3,3,6,3,3,10,3,9,1,1,1,1,1,1,1,1,1,1
12,6,1,14,6,4,15,14,8,4,9,7,7,7,7,7,7,7,7,1,7,11,8,6,9,2,5,5,6,9,4,18,12,3,5,5,9,4,0,6,4,1,2,4,0,0,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1
13,10,18,8,17,11,10,8,6,12,19,9,9,9,9,9,9,9,9,9,9,15,3,4,1,16,1,7,5,5,12,7,6,11,5,11,2,4,6,3,4,3,5,6,4,8,7,6,2,5,5,2,2,2,2,2,3,2,2,2,2
