,BASS_0,BASS_1,BASS_2,BASS_3,BASS_4,BASS_5,BASS_6,BASS_7,BASS_8,BASS_9,BayesSpace_0,BayesSpace_1,BayesSpace_2,BayesSpace_3,BayesSpace_4,BayesSpace_5,BayesSpace_6,BayesSpace_7,BayesSpace_8,BayesSpace_9,SpatialPCA_0,SpatialPCA_1,SpatialPCA_2,SpatialPCA_3,SpatialPCA_4,SpatialPCA_5,SpatialPCA_6,SpatialPCA_7,SpatialPCA_8,SpatialPCA_9,SEDR_0,SEDR_1,SEDR_2,SEDR_3,SEDR_4,SEDR_5,SEDR_6,SEDR_7,SEDR_8,SEDR_9,SpaGCN_0,SpaGCN_1,SpaGCN_2,SpaGCN_3,SpaGCN_4,SpaGCN_5,SpaGCN_6,SpaGCN_7,SpaGCN_8,SpaGCN_9,STAGATE_0,STAGATE_1,STAGATE_2,STAGATE_3,STAGATE_4,STAGATE_5,STAGATE_6,STAGATE_7,STAGATE_8,STAGATE_9
0,10,15,6,15,10,11,12,16,8,9,1,1,1,1,1,1,1,1,1,1,14,16,3,13,14,13,4,10,11,11,2,1,9,0,0,15,5,4,1,15,8,8,11,0,0,0,5,2,15,6,4,2,1,4,1,1,4,1,1,1
1,10,15,6,15,11,9,15,16,8,9,4,6,4,6,4,6,4,6,6,4,12,15,3,4,2,9,9,5,5,12,2,7,8,12,9,9,0,14,14,10,3,0,11,0,0,0,4,2,0,2,1,11,12,10,1,11,11,6,1,10
2,11,10,3,15,10,11,12,10,11,11,3,3,3,3,3,3,3,3,3,3,8,14,11,9,4,5,6,3,11,15,12,8,9,8,5,14,10,5,6,8,8,8,11,0,0,0,5,11,0,6,3,3,1,3,4,4,2,3,4,4
3,2,7,5,2,7,1,14,10,11,11,4,4,4,6,4,6,4,4,6,4,14,16,3,13,14,13,4,10,11,11,10,1,0,0,0,2,0,4,1,5,8,8,11,0,0,0,5,2,0,6,4,2,1,4,1,1,4,1,1,1
4,2,7,5,2,7,1,14,10,11,11,4,4,4,6,4,6,4,6,6,4,14,7,3,13,14,13,4,10,11,11,10,1,0,0,0,2,0,4,7,5,8,8,11,0,0,0,5,2,0,6,4,2,1,4,1,1,4,1,1,1
5,13,10,3,10,9,7,11,17,17,13,3,3,3,3,3,3,3,3,3,3,17,11,7,14,8,1,7,6,15,4,13,9,14,5,0,2,16,15,6,15,13,8,10,11,12,10,5,11,14,6,2,3,3,2,2,2,2,2,2,2
6,13,10,3,10,9,7,11,17,17,13,3,3,3,3,3,3,3,3,3,3,17,11,7,14,8,1,7,6,15,4,10,1,0,12,0,15,0,9,7,11,8,8,8,0,0,0,5,2,0,6,2,3,3,2,2,2,2,2,2,2
7,2,7,5,2,7,1,14,10,11,11,4,4,4,6,4,6,4,6,6,4,17,11,7,14,8,1,7,6,2,4,7,14,5,11,4,9,2,6,4,1,8,8,11,0,12,10,5,11,0,6,3,4,4,3,3,3,3,3,3,3
8,13,10,3,10,9,7,11,17,17,13,3,3,3,3,3,3,3,3,3,3,17,11,7,14,8,1,18,3,2,17,3,9,13,12,3,1,14,8,6,13,13,8,10,11,12,0,5,11,14,6,3,3,1,3,4,4,2,3,4,4
9,2,7,5,2,7,1,14,10,11,11,3,3,3,3,3,3,3,3,3,3,14,7,3,13,14,13,4,10,11,11,12,8,9,8,0,14,16,5,6,8,8,0,11,0,0,0,4,2,0,6,4,2,1,4,4,4,4,1,4,4
