,BASS_0,BASS_1,BASS_2,BASS_3,BASS_4,BASS_5,BASS_6,BASS_7,BASS_8,BASS_9,BayesSpace_0,BayesSpace_1,BayesSpace_2,BayesSpace_3,BayesSpace_4,BayesSpace_5,BayesSpace_6,BayesSpace_7,BayesSpace_8,BayesSpace_9,SpatialPCA_0,SpatialPCA_1,SpatialPCA_2,SpatialPCA_3,SpatialPCA_4,SpatialPCA_5,SpatialPCA_6,SpatialPCA_7,SpatialPCA_8,SpatialPCA_9,SEDR_0,SEDR_1,SEDR_2,SEDR_3,SEDR_4,SEDR_5,SEDR_6,SEDR_7,SEDR_8,SEDR_9,SpaGCN_0,SpaGCN_1,SpaGCN_2,SpaGCN_3,SpaGCN_4,SpaGCN_5,SpaGCN_6,SpaGCN_7,SpaGCN_8,SpaGCN_9,STAGATE_0,STAGATE_1,STAGATE_2,STAGATE_3,STAGATE_4,STAGATE_5,STAGATE_6,STAGATE_7,STAGATE_8,STAGATE_9
0,12,12,9,2,11,5,6,12,5,7,1,1,1,1,1,1,1,1,1,1,3,2,2,3,7,5,6,6,5,9,3,3,2,6,11,11,2,12,8,11,3,2,0,4,0,4,2,1,4,4,1,1,1,1,1,1,1,1,1,1
1,7,4,8,12,13,4,1,3,13,12,2,2,2,2,2,2,2,2,2,2,3,2,2,3,7,5,6,6,5,9,11,9,9,2,8,11,10,8,11,10,3,2,0,4,0,8,2,1,4,4,1,1,1,1,1,1,1,1,1,1
2,7,8,1,8,7,9,6,3,1,12,1,1,1,1,1,1,1,1,1,1,3,2,2,3,7,5,6,6,5,11,4,7,1,2,9,0,6,4,5,7,3,2,0,4,0,4,2,1,4,4,1,1,1,1,1,1,1,1,1,1
3,7,8,1,8,7,9,6,3,1,12,1,1,1,1,1,1,1,1,1,1,3,2,2,3,7,5,6,6,5,11,9,6,1,2,1,0,7,4,6,8,3,2,0,4,0,4,2,1,4,4,1,1,1,1,1,1,1,1,1,1
4,13,13,4,5,6,2,2,8,8,2,5,5,5,5,5,5,5,5,5,5,5,6,8,6,6,7,11,1,9,13,4,7,1,2,1,9,6,6,7,7,7,6,6,5,7,7,5,4,3,5,2,2,2,2,2,2,2,2,2,2
5,11,12,13,13,2,13,9,12,5,7,6,6,6,6,6,6,6,6,6,6,13,10,5,9,3,1,10,3,1,1,3,3,5,10,2,4,2,10,8,6,6,3,4,6,6,3,4,8,2,6,1,1,8,1,1,1,1,1,1,1
6,7,8,1,8,7,9,6,3,1,12,2,2,2,2,2,2,2,2,2,2,3,2,2,3,7,5,6,6,5,11,7,7,7,9,1,9,6,4,4,7,3,2,0,4,0,4,2,1,4,4,1,1,1,1,1,1,1,1,1,1
7,11,12,13,13,2,13,9,12,5,7,6,6,6,6,6,6,6,6,6,6,13,10,5,9,3,1,10,3,1,1,3,3,5,10,2,7,2,10,8,6,6,3,4,6,6,3,4,8,2,6,8,10,8,10,12,10,9,10,10,10
8,3,13,4,5,6,2,2,8,8,2,4,4,5,4,4,4,4,4,4,4,5,6,8,6,6,7,11,1,9,13,4,7,1,2,1,0,6,4,7,7,7,6,6,5,7,7,5,4,3,5,2,2,2,2,2,2,2,2,2,2
9,11,12,13,13,2,13,9,12,5,7,6,6,6,6,6,6,6,6,6,6,13,10,5,9,3,1,10,3,1,1,3,3,5,10,2,4,2,10,8,6,6,3,4,6,6,3,4,8,2,6,9,3,1,5,9,5,7,4,1,1
