,BASS_0,BASS_1,BASS_2,BASS_3,BASS_4,BASS_5,BASS_6,BASS_7,BASS_8,BASS_9,BayesSpace_0,BayesSpace_1,BayesSpace_2,BayesSpace_3,BayesSpace_4,BayesSpace_5,BayesSpace_6,BayesSpace_7,BayesSpace_8,BayesSpace_9,SpatialPCA_0,SpatialPCA_1,SpatialPCA_2,SpatialPCA_3,SpatialPCA_4,SpatialPCA_5,SpatialPCA_6,SpatialPCA_7,SpatialPCA_8,SpatialPCA_9,SEDR_0,SEDR_1,SEDR_2,SEDR_3,SEDR_4,SEDR_5,SEDR_6,SEDR_7,SEDR_8,SEDR_9,SpaGCN_0,SpaGCN_1,SpaGCN_2,SpaGCN_3,SpaGCN_4,SpaGCN_5,SpaGCN_6,SpaGCN_7,SpaGCN_8,SpaGCN_9,STAGATE_0,STAGATE_1,STAGATE_2,STAGATE_3,STAGATE_4,STAGATE_5,STAGATE_6,STAGATE_7,STAGATE_8,STAGATE_9
0,6,16,8,5,11,10,13,6,12,19,1,1,1,1,1,1,1,1,1,1,15,16,2,13,14,12,3,9,11,10,1,13,14,15,2,6,12,10,13,0,7,8,11,0,0,0,5,2,15,6,4,2,1,4,1,1,4,6,1,1
1,13,16,8,5,18,4,13,19,12,19,7,7,7,7,7,7,7,7,7,7,13,15,2,3,1,8,8,4,4,11,9,13,8,10,12,3,13,11,12,12,2,0,11,0,0,0,4,2,0,2,1,11,2,10,1,11,11,1,1,10
2,10,18,16,17,11,10,14,12,4,9,3,3,3,3,3,3,3,3,3,3,7,13,11,8,3,4,5,2,11,15,10,9,1,9,8,10,8,14,13,13,7,8,11,0,0,0,5,11,0,6,3,3,1,3,4,4,2,3,4,4
3,6,1,14,6,4,15,14,8,4,9,4,4,4,4,4,4,4,4,4,4,15,16,2,13,14,12,3,9,11,10,1,3,2,1,2,6,7,1,2,0,7,8,11,0,0,0,5,2,0,6,4,2,1,4,1,1,4,6,1,1
4,6,1,14,6,4,15,14,8,4,17,7,7,7,4,7,7,7,4,4,4,15,6,2,13,14,12,3,9,11,10,3,3,2,3,2,6,0,1,0,0,7,8,11,0,0,0,5,2,0,6,4,2,1,4,1,1,4,6,1,1
5,18,7,16,14,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,18,6,5,15,3,9,12,5,10,14,9,15,14,12,0,14,8,10,11,12,10,5,11,14,6,2,3,3,2,2,2,2,2,2,2
6,18,7,16,14,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,18,6,5,15,3,14,3,2,10,2,9,0,1,0,0,7,8,8,0,0,0,5,2,0,6,2,3,3,2,2,2,2,2,2,2
7,6,1,14,6,4,15,14,8,4,9,7,7,7,7,7,7,7,7,4,4,18,10,7,14,7,4,6,5,1,3,12,6,8,2,5,7,7,4,10,4,7,8,11,0,12,10,5,11,0,6,3,4,4,3,3,3,3,3,3,3
8,18,7,16,14,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,16,19,2,1,17,6,13,8,13,10,9,13,11,0,12,14,8,10,11,12,0,5,11,14,6,3,3,1,3,4,4,2,3,4,4
9,6,1,14,6,4,15,14,8,4,9,3,3,3,4,3,3,3,4,3,4,15,6,2,13,14,12,3,9,11,10,10,12,1,9,8,10,8,14,12,0,7,0,11,0,0,0,4,2,0,6,4,2,1,4,4,4,4,3,4,4
10,10,18,16,17,11,10,8,6,3,3,4,4,3,3,4,4,4,3,3,3,16,6,2,13,14,12,3,9,11,10,4,0,1,13,5,6,14,9,11,6,7,8,11,0,0,0,5,2,15,6,4,2,1,4,1,1,4,3,1,1
11,18,7,16,14,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,18,6,5,15,3,14,3,2,3,2,15,0,1,0,15,14,8,10,11,12,10,5,11,14,6,3,3,3,2,2,2,2,2,2,2
12,10,18,16,17,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,7,13,11,8,3,4,5,9,11,15,14,1,14,1,2,9,0,9,0,0,7,8,8,0,0,0,5,2,0,6,3,3,1,3,4,4,2,3,4,4
13,18,7,16,14,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,18,6,5,15,3,14,3,2,3,2,15,0,1,0,15,14,8,10,11,12,10,5,11,14,6,2,3,3,2,2,2,2,2,2,2
14,18,7,16,14,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,7,10,7,16,17,19,5,2,1,17,14,3,2,3,2,6,0,1,0,15,14,8,10,11,12,10,5,11,14,6,3,3,1,3,4,4,2,3,4,4
15,10,18,14,17,11,10,8,6,10,2,3,3,3,3,3,3,3,3,3,3,7,13,11,8,3,4,5,9,11,15,10,9,1,9,8,10,8,1,0,2,7,8,11,0,0,0,5,11,0,6,3,2,1,4,4,4,4,3,4,4
16,10,18,16,17,10,18,7,12,3,3,4,7,7,4,4,7,7,4,4,4,16,6,7,14,3,4,5,2,1,15,12,6,12,2,5,7,16,4,10,0,7,8,11,0,0,0,5,2,0,6,3,4,4,3,3,3,3,3,3,3
17,18,7,16,14,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,18,6,5,15,3,6,8,5,11,10,16,6,12,6,10,14,8,10,11,12,10,5,11,14,6,3,4,4,3,3,3,3,3,3,3
18,18,7,16,14,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,16,6,5,13,3,12,6,8,2,5,7,7,4,10,4,14,8,10,11,12,10,5,11,14,6,3,4,4,3,3,3,3,3,3,3
19,13,3,3,6,2,7,19,9,10,2,5,5,5,5,5,5,5,5,2,5,15,11,2,13,14,12,3,9,11,10,3,1,17,7,17,8,0,17,18,16,8,0,5,13,14,12,4,0,0,2,4,2,1,4,4,4,4,6,4,4
20,18,7,16,14,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,18,6,5,15,3,14,3,2,3,2,15,0,1,2,15,14,8,10,11,12,0,5,11,14,6,2,3,3,2,2,2,2,2,2,2
21,18,7,16,14,10,18,7,12,3,3,4,4,4,3,4,4,4,3,3,3,18,10,7,14,7,18,6,5,15,3,9,12,13,10,14,9,15,14,12,0,14,8,10,11,12,10,5,11,14,6,3,4,4,3,3,3,3,3,3,3
22,10,18,14,17,11,10,8,6,4,9,4,4,3,3,4,4,4,3,3,3,7,10,11,16,7,16,6,5,13,7,3,3,2,3,2,6,0,1,0,0,14,8,10,11,12,10,5,11,14,6,3,4,4,3,3,3,3,3,3,3
23,10,7,16,14,10,18,7,12,10,2,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,18,6,5,15,3,14,3,2,3,2,14,0,1,2,0,14,8,10,11,12,10,5,11,14,6,2,3,3,2,2,2,2,2,2,2
24,4,14,10,4,6,10,8,6,2,9,1,1,1,1,1,1,1,1,1,1,15,16,2,13,1,12,14,9,4,10,2,0,3,3,15,5,1,7,3,3,7,8,11,0,0,0,5,2,0,6,5,6,6,1,6,1,1,1,3,6
25,18,7,16,14,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,18,6,5,15,3,9,13,8,10,12,14,13,11,0,12,7,8,10,11,12,0,5,11,15,6,2,3,3,2,2,2,2,2,2,2
26,18,7,16,14,10,18,7,10,19,3,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,16,6,5,13,3,13,9,1,1,15,7,12,15,8,15,14,8,10,11,12,10,5,11,14,6,3,4,4,3,3,3,3,3,3,3
27,18,7,16,14,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,16,6,5,15,3,2,1,2,7,11,6,9,17,0,15,14,8,10,11,12,10,5,11,14,6,3,4,4,3,3,3,3,3,3,3
28,18,7,16,14,10,18,7,12,3,3,4,4,4,1,4,4,4,1,1,1,18,10,7,14,7,18,6,5,15,3,9,13,8,10,12,3,13,11,12,12,14,8,10,11,12,10,5,11,14,6,3,4,4,3,3,3,3,3,3,3
29,19,3,3,6,11,10,8,6,12,19,4,7,4,4,4,4,7,4,4,4,15,16,2,13,1,12,3,9,11,10,9,12,17,10,14,17,15,11,12,16,7,0,11,0,0,0,4,2,0,2,5,2,1,1,1,1,1,1,3,6
30,6,1,14,6,11,10,8,8,14,4,7,7,7,7,7,7,7,7,7,7,16,6,2,13,14,12,3,9,11,10,9,3,2,3,9,14,0,1,0,0,7,0,11,0,0,0,5,2,0,6,4,2,1,4,1,1,4,3,1,1
31,6,1,14,6,4,15,14,8,4,9,7,7,7,7,7,7,7,7,4,4,16,6,11,8,3,4,5,2,1,17,6,3,2,3,9,13,0,1,0,0,14,8,10,11,12,10,5,11,14,6,3,4,4,3,3,3,3,3,3,3
32,10,18,16,17,10,18,7,12,3,3,4,4,4,4,4,4,4,4,4,4,16,6,2,13,3,4,5,2,1,15,3,3,2,3,2,6,0,1,0,18,7,8,11,0,0,0,5,2,0,6,3,4,4,3,3,3,3,3,3,3
33,10,18,14,17,4,15,14,8,4,9,3,3,3,3,3,3,3,3,3,3,7,13,11,8,3,4,5,2,1,15,6,3,2,3,2,6,0,1,0,0,14,8,10,11,12,10,5,11,14,6,4,5,5,5,5,5,5,4,5,5
34,18,7,16,14,10,18,7,12,3,3,3,4,3,3,3,3,4,3,3,3,18,10,7,14,7,18,6,5,15,3,14,16,18,13,11,15,14,18,10,15,14,8,10,11,12,10,5,11,14,6,3,4,4,3,3,3,3,3,3,3
35,18,7,16,14,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,18,6,5,15,3,14,13,13,13,7,15,13,9,0,15,14,8,10,11,12,10,5,11,14,6,3,4,4,3,3,3,3,3,3,3
36,18,7,16,14,10,18,7,12,3,3,3,4,3,3,3,4,4,3,3,3,7,10,7,16,7,16,6,5,13,7,14,16,14,13,15,6,14,1,0,15,14,8,10,11,12,10,5,11,14,6,3,4,4,3,3,3,3,3,3,3
37,11,1,12,6,4,15,14,8,4,9,2,2,2,4,5,2,2,2,4,4,15,10,7,13,14,12,3,9,11,15,3,13,2,13,2,6,16,10,0,0,7,0,11,0,0,0,5,2,0,6,3,3,1,3,4,3,2,3,4,4
38,18,7,16,14,10,18,7,12,3,3,3,3,3,3,3,3,3,3,3,3,18,10,7,14,7,18,6,5,15,3,14,15,13,13,7,7,8,11,0,15,14,8,10,11,12,10,5,11,14,6,3,4,4,3,3,3,3,3,3,3
39,6,1,14,5,11,10,8,8,4,9,7,7,7,7,7,7,7,7,7,7,16,6,11,8,3,4,5,2,1,17,3,3,14,1,16,6,7,6,15,9,14,8,10,11,12,10,5,11,14,6,3,4,4,3,3,3,3,3,3,3
40,6,1,14,6,11,10,8,6,4,9,4,4,4,1,4,4,4,1,1,1,15,16,2,13,14,12,8,9,7,10,7,3,2,3,14,6,0,14,0,0,7,8,11,0,0,0,5,2,15,6,5,6,6,1,6,1,1,1,3,6
41,10,18,14,17,11,10,8,8,4,9,4,4,4,1,4,4,4,4,1,1,7,13,11,8,3,4,5,2,1,15,3,3,2,3,2,6,0,1,2,0,14,8,10,11,12,10,5,11,14,6,4,5,5,5,5,5,5,4,5,5
42,10,18,14,17,11,10,8,6,4,9,4,4,4,1,4,4,4,4,1,1,16,6,11,8,17,4,5,2,1,17,13,11,15,14,13,11,12,9,17,18,14,8,10,11,12,10,5,11,14,6,4,5,5,5,5,5,5,4,5,5
