,BASS_0,BASS_1,BASS_2,BASS_3,BASS_4,BASS_5,BASS_6,BASS_7,BASS_8,BASS_9,BayesSpace_0,BayesSpace_1,BayesSpace_2,BayesSpace_3,BayesSpace_4,BayesSpace_5,BayesSpace_6,BayesSpace_7,BayesSpace_8,BayesSpace_9,SpatialPCA_0,SpatialPCA_1,SpatialPCA_2,SpatialPCA_3,SpatialPCA_4,SpatialPCA_5,SpatialPCA_6,SpatialPCA_7,SpatialPCA_8,SpatialPCA_9,SEDR_0,SEDR_1,SEDR_2,SEDR_3,SEDR_4,SEDR_5,SEDR_6,SEDR_7,SEDR_8,SEDR_9,SpaGCN_0,SpaGCN_1,SpaGCN_2,SpaGCN_3,SpaGCN_4,SpaGCN_5,SpaGCN_6,SpaGCN_7,SpaGCN_8,SpaGCN_9,STAGATE_0,STAGATE_1,STAGATE_2,STAGATE_3,STAGATE_4,STAGATE_5,STAGATE_6,STAGATE_7,STAGATE_8,STAGATE_9
0,8,11,6,10,13,10,7,8,4,3,1,1,1,1,1,1,1,1,1,1,3,3,6,11,12,13,1,2,12,4,7,0,10,1,1,8,4,10,4,4,1,9,1,0,0,1,3,0,0,2,1,2,1,4,1,1,4,1,1,1
1,13,11,6,10,13,10,7,8,4,3,4,4,4,4,4,4,4,4,4,4,1,3,6,8,6,10,1,7,2,2,1,0,2,10,1,0,7,4,3,6,1,1,1,0,0,1,5,3,0,0,1,10,2,8,1,1,10,5,1,9
2,3,2,9,7,4,1,11,2,5,10,3,3,3,3,3,3,3,3,3,3,9,14,11,10,8,8,9,5,12,13,3,10,5,4,6,4,5,8,13,7,1,9,1,0,0,1,3,0,0,2,3,3,3,3,3,2,2,3,3,3
3,8,10,11,7,3,1,11,2,5,10,4,4,4,4,4,4,4,4,4,4,3,3,6,11,12,13,1,2,12,4,4,0,8,1,1,0,2,2,3,4,1,9,1,0,0,1,3,0,0,2,1,2,1,4,1,1,4,5,1,1
4,8,10,11,7,3,1,11,2,5,10,4,4,4,4,4,4,4,4,4,4,3,10,6,11,12,13,1,2,12,4,4,0,8,4,1,0,2,2,4,4,1,9,1,0,0,1,3,0,0,2,1,2,1,4,1,1,4,5,1,1
5,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,4,10,7,6,12,0,3,2,4,5,11,9,11,11,12,9,3,0,12,2,2,3,3,2,2,2,2,2,2,2
6,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,4,10,7,1,1,0,2,2,4,4,11,9,1,0,0,1,3,0,0,2,2,3,3,2,2,2,2,2,2,2
7,8,10,11,7,3,1,11,2,5,10,4,4,4,4,4,4,4,4,4,4,13,12,8,12,10,4,10,8,1,6,6,9,1,5,3,3,9,6,7,1,1,9,1,0,12,9,3,0,0,2,3,4,4,3,3,3,3,3,3,3
8,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,14,5,6,14,4,0,10,0,1,0,3,2,4,1,11,9,11,11,12,9,3,0,12,2,3,3,3,3,3,2,2,3,3,3
9,8,10,11,7,3,1,11,2,5,10,3,3,3,3,3,3,3,3,3,3,3,10,6,11,12,13,1,2,12,4,3,10,5,4,6,4,3,8,13,7,1,9,1,0,0,1,3,0,0,2,1,2,1,4,1,2,4,3,3,3
10,3,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,3,10,6,11,12,13,1,2,12,4,10,0,8,1,9,3,10,1,8,0,1,9,1,0,0,1,3,0,0,2,1,2,1,4,1,1,4,3,1,1
11,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,4,0,7,1,1,0,2,11,4,4,11,9,11,11,12,9,3,0,12,2,2,3,3,2,2,2,2,2,2,2
12,3,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,9,14,11,10,8,8,9,2,12,13,5,5,8,4,0,0,0,2,4,4,1,9,1,0,0,1,3,0,0,2,3,3,3,3,3,2,2,3,3,3
13,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,4,0,7,1,1,0,2,11,4,4,11,9,11,11,12,9,3,0,12,2,2,3,3,2,2,2,2,2,2,2
14,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,9,12,8,13,14,14,9,5,6,14,4,0,7,1,1,0,2,11,4,4,11,9,11,11,12,9,3,0,12,2,3,3,3,3,3,2,2,3,3,3
15,3,2,11,7,3,1,7,2,5,10,3,3,3,3,3,3,3,3,3,3,9,14,11,10,8,8,9,2,12,13,4,0,7,4,6,3,9,8,13,7,1,9,1,0,0,1,3,0,0,2,3,2,1,4,3,2,4,3,3,3
16,3,2,9,4,4,9,10,7,9,1,4,4,4,4,4,4,4,4,4,4,3,10,8,12,8,8,9,5,6,13,6,9,4,6,3,3,9,6,7,1,1,9,1,0,0,1,3,0,0,2,3,4,4,3,3,3,3,3,3,3
17,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,9,12,4,12,11,9,7,5,6,12,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
18,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,6,9,1,5,3,3,9,6,7,1,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
19,13,8,7,12,11,5,10,4,1,7,2,2,2,2,2,2,2,2,2,2,3,13,6,11,12,13,1,2,12,4,10,7,10,8,5,6,2,2,3,5,3,1,0,13,14,13,5,3,9,0,1,2,1,4,1,1,4,5,1,1
20,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,4,0,7,1,1,0,2,11,4,4,11,9,11,11,12,1,3,0,12,2,2,3,3,2,2,2,2,2,2,2
21,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,4,10,7,6,12,0,3,2,4,5,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
22,3,2,9,4,4,1,11,2,5,10,3,3,3,3,3,3,3,3,3,3,9,12,11,13,10,4,10,8,1,10,4,0,8,1,1,0,2,2,3,4,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
23,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,4,0,7,1,1,0,2,2,4,4,11,9,11,11,12,9,3,0,12,2,2,3,3,2,2,2,2,2,2,2
24,10,5,3,13,13,8,5,6,4,10,1,1,1,1,1,1,1,1,1,1,3,3,6,11,6,13,1,2,2,4,2,0,13,4,3,4,4,2,5,0,1,9,1,0,0,1,3,0,0,2,4,6,5,1,5,1,1,1,3,5
25,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,1,0,2,10,1,0,7,4,3,6,11,9,11,11,12,9,3,0,0,2,2,3,3,2,2,2,2,2,2,2
26,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,8,8,8,1,8,2,6,3,11,5,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
27,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,2,0,7,0,1,1,2,2,4,0,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
28,4,2,9,4,4,9,10,7,9,1,1,1,1,1,1,1,1,1,1,1,13,12,8,12,10,4,10,8,1,6,1,1,2,10,1,5,7,4,2,6,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
29,13,8,7,10,11,5,11,4,1,7,4,4,4,4,4,4,4,4,4,4,3,3,6,11,6,13,1,2,12,4,10,7,7,8,12,0,3,2,4,5,1,9,1,0,0,1,5,0,0,2,4,2,5,1,1,1,1,1,3,5
30,13,10,11,10,3,1,7,2,4,10,4,4,4,4,4,4,4,4,4,4,3,10,6,11,12,13,1,2,12,4,4,0,8,3,1,0,2,4,3,6,1,9,1,0,0,1,5,0,0,2,1,2,1,4,1,1,4,3,1,1
31,8,10,11,7,3,1,11,2,5,10,4,4,4,4,4,4,4,4,4,4,3,10,11,10,8,8,9,5,6,14,4,0,8,9,1,0,2,13,3,4,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
32,3,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,3,10,6,11,8,8,9,5,6,13,8,0,5,12,1,0,2,2,4,4,1,9,1,0,0,1,3,0,0,2,3,4,4,3,3,3,3,3,3,3
33,3,10,11,7,3,1,11,2,5,10,3,3,3,3,3,3,3,3,3,3,9,14,11,10,8,8,9,5,6,13,4,0,7,1,1,0,2,2,3,4,11,9,11,11,12,9,3,0,12,2,1,5,1,4,4,4,5,4,4,4
34,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,10,0,13,13,10,11,9,11,4,13,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
35,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,9,0,1,3,1,0,8,11,4,8,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
36,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,9,12,8,13,10,4,10,8,1,10,10,0,8,1,1,0,9,11,3,13,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
37,8,10,11,7,3,1,11,2,5,10,2,2,2,2,2,2,2,2,2,2,3,12,8,11,12,13,1,2,12,13,4,0,8,1,1,0,2,2,4,4,1,9,1,0,0,1,3,0,0,2,3,3,3,3,3,2,2,3,3,3
38,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,7,0,1,3,13,13,8,3,11,8,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
39,8,11,6,10,13,1,7,2,5,10,4,4,4,4,4,4,4,4,4,4,3,10,11,10,8,8,9,5,6,14,1,12,6,1,1,0,4,11,3,8,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
40,8,10,11,7,3,1,7,2,4,10,1,1,1,1,1,1,1,1,1,1,3,3,6,11,12,13,1,2,10,4,7,0,8,1,1,0,2,2,4,4,1,9,1,0,0,1,3,0,0,2,4,6,5,1,5,1,1,1,3,5
41,3,2,11,7,3,1,11,2,5,10,1,1,1,1,1,1,1,1,1,1,9,14,11,10,8,8,9,5,6,13,4,0,7,1,1,0,2,12,4,4,11,9,11,11,12,9,3,0,12,2,1,5,1,4,4,4,5,4,4,4
42,3,2,6,10,3,1,11,2,4,10,1,1,1,1,1,1,1,1,1,1,3,10,11,10,14,8,9,5,6,14,8,13,5,12,7,6,10,3,5,9,11,9,11,11,12,9,3,0,12,2,1,5,1,4,4,4,5,4,4,4
43,3,2,9,4,4,9,10,7,9,1,1,1,1,1,1,1,1,1,1,1,3,10,11,10,8,8,9,5,6,13,4,0,8,1,1,0,2,4,3,4,11,9,11,11,12,9,3,0,12,2,1,5,1,4,4,4,5,4,4,4
44,3,11,6,10,13,1,11,2,5,10,1,1,1,1,1,1,1,1,1,1,3,10,11,10,8,8,9,5,6,14,1,12,6,1,1,0,4,12,3,8,11,9,11,11,12,9,3,0,12,2,1,5,1,4,4,4,5,4,4,4
45,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,4,0,1,3,1,0,2,3,1,6,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
46,8,8,7,7,3,1,11,2,5,10,4,4,4,4,4,4,4,4,4,4,9,10,11,10,14,8,9,5,6,13,8,13,5,12,5,6,10,3,8,9,11,9,11,11,12,9,3,0,12,2,1,5,1,4,4,4,5,4,4,4
47,3,11,6,10,13,10,7,2,4,10,3,3,3,3,3,3,3,3,3,3,3,10,6,11,12,13,1,2,12,4,1,0,2,1,1,0,6,11,7,9,1,9,1,0,0,1,3,0,0,2,1,2,1,4,1,1,4,1,1,1
48,3,2,9,4,4,9,10,7,9,10,3,3,3,3,3,3,3,3,3,3,9,14,11,13,14,14,14,14,14,10,8,0,5,12,7,0,10,3,5,9,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
49,4,2,9,4,4,9,10,7,9,1,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,3,13,7,1,1,0,2,2,3,4,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
50,3,10,11,7,3,1,11,2,5,10,1,1,1,1,1,1,1,1,1,1,3,10,11,10,8,8,9,5,6,13,1,12,13,6,10,6,6,9,3,3,11,9,11,11,12,9,3,0,12,2,1,5,1,4,4,4,5,4,4,4
51,13,11,6,10,13,10,7,8,4,3,2,2,2,2,2,2,2,2,2,2,3,3,6,8,6,13,1,2,12,4,8,6,11,8,7,6,5,8,9,7,1,1,1,0,0,1,5,0,0,2,1,2,2,4,1,1,1,1,1,1
52,8,10,11,7,3,1,11,2,5,10,3,3,3,3,3,3,3,3,3,3,13,12,8,12,10,4,10,8,1,6,3,0,5,4,6,4,5,8,13,4,11,9,11,11,12,9,3,0,12,2,3,4,4,3,3,3,3,3,3,3
53,8,10,11,7,3,1,11,2,5,10,4,4,4,4,4,4,4,4,4,4,3,10,11,10,8,8,9,5,6,14,4,0,8,1,1,0,2,2,3,4,11,9,11,11,12,9,3,0,12,2,1,5,1,4,4,4,5,4,4,4
