sample	seed	ari_value
20180417_BZ5_control	1	0.06401439855060928
20180417_BZ5_control	2	0.08236813965597503
20180417_BZ5_control	3	0.058556429090790264
20180417_BZ5_control	4	0.0811471557651292
20180417_BZ5_control	5	0.09675760784759198
20180417_BZ5_control	6	0.10382788441414893
20180417_BZ5_control	7	0.07282466415747159
20180417_BZ5_control	8	0.066240255986382
20180417_BZ5_control	9	0.09698431232166171
20180417_BZ5_control	10	0.052382896553911144
20180419_BZ9_control	1	0.13597054850505688
20180419_BZ9_control	2	0.15872778118860748
20180419_BZ9_control	3	0.1664984939630923
20180419_BZ9_control	4	0.13494378889744507
20180419_BZ9_control	5	0.13395472947060394
20180419_BZ9_control	6	0.15543277418721163
20180419_BZ9_control	7	0.13114849209007362
20180419_BZ9_control	8	0.13491120005701854
20180419_BZ9_control	9	0.1301532288567715
20180419_BZ9_control	10	0.19071377837996972
20180424_BZ14_control	1	0.06391262568966412
20180424_BZ14_control	2	0.08060020084912452
20180424_BZ14_control	3	0.08089105854152853
20180424_BZ14_control	4	0.05754407753692364
20180424_BZ14_control	5	0.0682806256740369
20180424_BZ14_control	6	0.07074515876487733
20180424_BZ14_control	7	0.07433512097222605
20180424_BZ14_control	8	0.07291579487424249
20180424_BZ14_control	9	0.06529189008706189
20180424_BZ14_control	10	0.0721558119032426
