sample	seed	ari_value
20180417_BZ5_control	1	0.0541478908465752
20180417_BZ5_control	2	0.09774107420122036
20180417_BZ5_control	3	0.06149730616910482
20180417_BZ5_control	4	0.06384120671917412
20180417_BZ5_control	5	0.05867997067393344
20180417_BZ5_control	6	0.04905734964720797
20180417_BZ5_control	7	0.07895219189191585
20180417_BZ5_control	8	0.0870943673938319
20180417_BZ5_control	9	0.058266599589810536
20180417_BZ5_control	10	0.09830679995047834
20180419_BZ9_control	1	0.1702776285294571
20180419_BZ9_control	2	0.14106006517054606
20180419_BZ9_control	3	0.1820475111202324
20180419_BZ9_control	4	0.153927656479555
20180419_BZ9_control	5	0.13097936102769686
20180419_BZ9_control	6	0.18762556462705693
20180419_BZ9_control	7	0.13979593412334027
20180419_BZ9_control	8	0.14441136503862947
20180419_BZ9_control	9	0.1658727219196432
20180419_BZ9_control	10	0.1366935620526162
20180424_BZ14_control	1	0.09136484913426786
20180424_BZ14_control	2	0.09216518560985436
20180424_BZ14_control	3	0.0787036278011851
20180424_BZ14_control	4	0.07132369757062441
20180424_BZ14_control	5	0.07921735485219457
20180424_BZ14_control	6	0.09293197083562037
20180424_BZ14_control	7	0.08679109516841264
20180424_BZ14_control	8	0.06816087001463293
20180424_BZ14_control	9	0.07453542917598159
20180424_BZ14_control	10	-0.000809897212702918
