sample	seed	ari_value
20180417_BZ5_control	1	0.09933981593204018
20180417_BZ5_control	2	0.08250270763043578
20180417_BZ5_control	3	0.08905662856463982
20180417_BZ5_control	4	0.08455855639810668
20180417_BZ5_control	5	0.07465503947605834
20180417_BZ5_control	6	0.06010032872715436
20180417_BZ5_control	7	0.0799514652211707
20180417_BZ5_control	8	0.06927197914606321
20180417_BZ5_control	9	0.10438014654703201
20180417_BZ5_control	10	0.08268690853372361
20180419_BZ9_control	1	0.13517637577870284
20180419_BZ9_control	2	0.1452182462986655
20180419_BZ9_control	3	0.13774086506228228
20180419_BZ9_control	4	0.1321617356820184
20180419_BZ9_control	5	0.1446603344980195
20180419_BZ9_control	6	0.15532140572489422
20180419_BZ9_control	7	0.15929348205026103
20180419_BZ9_control	8	0.1439075936568719
20180419_BZ9_control	9	0.16635850776611216
20180419_BZ9_control	10	0.145325277035525
20180424_BZ14_control	1	0.08406768527069962
20180424_BZ14_control	2	0.06247278189303831
20180424_BZ14_control	3	0.07302140322128961
20180424_BZ14_control	4	0.08551373344491905
20180424_BZ14_control	5	0.08667368148270943
20180424_BZ14_control	6	0.09272614687822277
20180424_BZ14_control	7	0.07818529231806208
20180424_BZ14_control	8	0.07778424329062295
20180424_BZ14_control	9	0.09327955650485314
20180424_BZ14_control	10	0.08443024111847068
