sample	seed	ari_value
20180417_BZ5_control	1	0.09989896299890236
20180417_BZ5_control	2	0.08385068049784475
20180417_BZ5_control	3	0.08379519634775986
20180417_BZ5_control	4	0.08460995321116006
20180417_BZ5_control	5	0.06958114348907593
20180417_BZ5_control	6	0.07209757173795488
20180417_BZ5_control	7	0.1007436751728151
20180417_BZ5_control	8	0.06917777349890929
20180417_BZ5_control	9	0.0887350301786623
20180417_BZ5_control	10	0.08913225743457806
20180419_BZ9_control	1	0.12554879683588382
20180419_BZ9_control	2	0.15770070045359258
20180419_BZ9_control	3	0.11832142250542518
20180419_BZ9_control	4	0.13752201045117818
20180419_BZ9_control	5	0.1431657613680573
20180419_BZ9_control	6	0.14735915751695935
20180419_BZ9_control	7	0.12862294945808977
20180419_BZ9_control	8	0.1029542900601651
20180419_BZ9_control	9	0.13622153835268308
20180419_BZ9_control	10	0.15098841176252945
20180424_BZ14_control	1	0.08168830209788044
20180424_BZ14_control	2	0.08653674932319529
20180424_BZ14_control	3	0.08855489383191192
20180424_BZ14_control	4	0.08074627098942118
20180424_BZ14_control	5	0.0956865875495691
20180424_BZ14_control	6	0.08607601331897197
20180424_BZ14_control	7	0.06916400312667784
20180424_BZ14_control	8	0.10089315550394731
20180424_BZ14_control	9	0.09236147861952701
20180424_BZ14_control	10	0.07284690767544083
