"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",9,5,8,13,14,8,6,15,5,10
"2",2,5,8,9,14,8,6,15,5,10
"3",4,13,5,9,5,9,12,3,12,1
"4",9,3,6,12,5,9,12,3,12,1
"5",9,3,6,12,5,9,12,3,12,1
"6",15,13,5,9,9,4,5,11,14,15
"7",15,13,5,9,9,4,5,11,14,15
"8",9,3,6,12,5,9,12,3,12,1
"9",15,13,5,9,9,4,5,11,14,15
"10",9,3,6,12,5,9,12,3,12,1
"11",4,13,5,9,9,4,5,11,14,1
"12",15,13,5,9,9,4,5,11,14,15
"13",4,13,5,9,9,4,5,11,14,15
"14",15,13,5,9,9,4,5,11,14,15
"15",15,13,5,9,9,4,5,11,14,15
"16",4,3,6,12,5,8,6,3,12,1
"17",4,13,5,9,9,4,5,11,14,15
"18",15,13,5,9,9,4,5,11,14,15
"19",15,13,5,9,9,4,5,11,14,15
"20",2,13,14,3,11,11,12,6,1,5
"21",15,13,5,9,9,4,5,11,14,15
"22",15,13,5,9,9,4,5,11,14,15
"23",4,13,5,9,9,9,12,3,12,1
"24",15,13,5,9,9,4,5,11,14,15
"25",3,2,12,14,7,5,11,13,13,1
"26",15,13,5,9,9,4,5,11,14,15
"27",15,13,5,9,9,4,5,11,14,15
"28",15,13,5,9,9,4,5,11,14,15
"29",15,13,5,9,9,4,5,11,14,15
"30",2,5,8,9,11,11,6,6,1,10
"31",2,3,6,12,5,8,12,3,12,1
"32",9,3,6,12,5,9,12,3,12,1
"33",4,13,5,9,9,4,5,11,14,15
"34",4,3,6,12,5,9,12,3,12,1
"35",15,13,5,9,9,4,5,11,14,15
"36",15,13,5,9,9,4,5,11,14,15
"37",15,13,5,9,9,4,5,11,14,15
"38",9,3,6,12,5,9,12,3,12,1
"39",15,13,5,9,9,4,5,11,14,15
"40",9,5,8,12,5,9,6,3,12,1
"41",9,3,6,12,5,9,6,3,12,1
"42",4,3,5,12,5,9,12,3,12,1
"43",4,13,8,12,5,9,6,3,12,1
"44",4,13,5,9,9,4,5,11,14,15
