"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",9,3,11,6,2,13,14,4,3,7
"2",11,3,11,6,2,13,14,4,3,7
"3",12,4,16,13,6,17,17,17,17,3
"4",17,9,9,10,15,9,7,7,15,16
"5",9,3,11,6,2,13,14,4,3,7
"6",17,9,9,10,15,9,7,7,15,16
"7",17,9,9,10,15,9,7,7,15,16
"8",9,3,11,6,2,13,14,4,3,7
"9",2,5,11,6,2,8,2,10,14,7
"10",9,3,11,6,2,13,14,4,3,7
"11",9,3,11,6,2,13,14,4,3,7
"12",11,3,11,6,9,13,14,4,3,7
"13",9,3,11,6,2,13,14,4,3,7
"14",9,3,11,6,2,13,14,4,3,7
"15",9,3,11,6,2,13,14,4,3,7
"16",9,3,11,6,2,13,14,4,3,7
"17",9,3,11,6,2,13,14,4,3,7
"18",9,3,11,6,2,13,14,4,3,7
"19",5,13,3,11,11,7,4,1,6,2
"20",9,3,11,6,2,13,14,4,11,7
"21",9,3,14,6,2,13,14,4,3,7
"22",17,9,9,10,15,9,7,7,15,16
"23",10,3,11,6,2,13,14,4,3,7
"24",9,3,11,6,2,13,14,4,3,7
"25",11,6,14,14,2,2,9,6,5,13
"26",5,13,3,11,11,7,4,1,6,2
"27",9,3,11,6,2,13,14,4,3,7
"28",16,11,5,2,17,17,16,9,11,15
"29",9,6,14,6,3,2,9,6,5,13
"30",17,9,9,10,15,9,7,7,15,16
"31",9,3,11,6,2,13,14,4,3,7
"32",10,3,11,6,2,13,14,4,3,7
"33",17,11,5,2,17,17,16,9,11,15
"34",5,13,3,11,11,7,4,1,6,2
"35",9,3,11,6,2,13,14,4,3,7
"36",5,13,3,11,11,7,4,1,6,2
"37",5,13,3,11,11,7,4,1,6,2
"38",5,13,3,11,11,7,4,1,6,2
"39",10,3,11,6,2,13,14,4,3,7
"40",9,3,11,6,2,13,14,4,3,7
"41",10,3,11,6,2,13,14,4,3,7
"42",5,13,3,11,11,7,4,1,6,2
"43",5,13,3,11,11,7,4,1,6,2
"44",17,11,5,2,17,17,16,9,11,15
"45",5,13,5,12,10,3,16,3,11,15
"46",17,11,5,2,17,17,16,9,11,15
"47",5,13,3,11,11,7,4,1,6,2
"48",5,13,3,11,11,7,4,1,6,2
"49",5,13,3,11,11,7,4,1,6,2
"50",10,3,11,6,2,13,14,4,3,7
"51",10,3,11,6,2,13,14,4,3,7
"52",5,13,3,11,11,7,4,1,6,2
"53",17,11,5,2,17,17,16,9,11,15
"54",10,3,11,6,2,13,14,4,3,7
"55",10,3,3,12,11,3,4,1,6,9
"56",5,13,3,11,11,7,4,1,6,2
"57",5,13,3,11,11,7,4,1,6,2
"58",5,13,3,11,11,7,4,1,6,2
"59",5,13,3,11,11,7,4,1,6,2
"60",17,11,5,2,17,17,16,9,11,15
"61",5,13,3,11,11,3,4,1,6,2
"62",5,13,3,11,11,7,4,1,6,2
"63",5,13,3,11,11,7,4,1,6,2
"64",10,3,11,6,2,13,14,4,3,7
"65",5,13,3,11,11,7,4,1,6,2
"66",10,17,3,12,11,3,4,3,6,2
"67",5,13,3,11,11,7,4,1,6,2
"68",5,13,3,11,11,7,4,1,6,2
"69",5,13,3,11,11,7,4,1,6,2
"70",5,9,9,11,9,9,7,7,15,2
"71",5,13,3,11,11,7,4,1,6,2
"72",2,3,11,6,2,13,14,4,3,7
"73",10,3,11,6,2,13,14,4,3,7
"74",5,13,3,11,11,7,4,1,6,2
"75",5,13,3,11,11,7,4,1,6,2
"76",10,3,11,6,2,13,14,4,3,7
"77",5,6,14,12,3,3,4,3,6,2
"78",5,13,3,11,11,7,4,1,6,2
"79",2,5,2,12,5,3,13,3,10,9
"80",5,13,3,11,11,7,4,1,6,2
"81",8,13,3,11,11,7,4,1,6,2
"82",9,3,11,6,2,13,14,4,3,7
"83",5,13,3,11,11,7,4,1,6,2
"84",5,13,3,12,11,7,4,3,6,2
"85",2,5,2,11,11,7,4,1,6,2
"86",5,13,3,11,11,7,4,1,6,2
"87",5,13,3,11,11,7,4,1,6,2
"88",5,13,3,11,11,7,4,1,6,2
"89",5,13,12,5,11,8,2,10,14,2
"90",15,13,12,5,16,14,6,12,12,14
"91",2,5,2,10,5,6,15,16,16,5
"92",5,13,3,11,11,7,4,1,6,2
"93",5,13,3,11,11,7,4,1,6,2
"94",5,13,3,11,11,7,4,1,6,2
"95",5,17,17,17,14,17,17,17,17,3
"96",5,13,3,11,11,7,4,1,6,2
"97",5,13,3,11,11,7,4,1,6,2
"98",15,17,17,17,17,17,17,9,11,3
"99",17,17,17,17,14,17,17,17,17,3
"100",17,17,17,17,14,17,17,17,17,3
"101",10,3,11,6,2,13,14,4,3,9
"102",5,13,3,11,11,7,4,1,6,2
"103",5,13,3,12,11,7,4,1,6,2
"104",5,13,3,12,11,7,4,1,6,2
"105",5,13,3,11,11,7,4,1,6,2
"106",5,13,3,11,11,7,4,1,6,2
"107",5,13,3,11,11,7,4,1,6,2
"108",5,13,3,11,11,7,4,1,6,2
"109",5,13,3,12,11,3,4,3,6,9
"110",2,5,7,10,5,6,15,16,16,5
"111",5,13,3,11,11,7,4,1,6,2
"112",5,5,2,12,11,3,13,3,6,9
"113",5,13,3,11,11,7,4,1,6,2
"114",8,13,3,11,11,7,4,1,6,2
"115",5,13,3,11,11,7,4,1,6,2
"116",2,13,2,11,11,7,4,1,6,2
"117",5,13,3,11,11,7,4,1,6,2
"118",5,13,3,11,11,7,4,1,6,2
"119",11,9,9,10,9,9,7,7,15,7
"120",5,13,3,11,11,7,4,1,6,2
"121",12,4,16,13,6,12,3,15,7,4
"122",8,1,6,11,11,1,4,1,6,2
"123",8,16,2,12,11,3,13,3,10,9
"124",5,13,3,11,11,7,4,1,6,2
"125",5,13,3,11,11,7,4,1,6,2
"126",5,13,2,11,11,7,4,1,6,2
"127",5,13,3,11,11,7,4,1,6,2
"128",11,6,14,14,3,2,9,6,5,13
"129",5,13,3,11,11,7,4,1,6,2
"130",5,13,3,11,11,7,4,1,6,2
"131",12,4,16,13,6,12,3,15,7,4
"132",5,13,3,11,11,7,4,1,6,2
