"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",9,3,6,12,5,9,12,3,12,1
"2",4,3,6,12,5,9,12,3,12,1
"3",3,2,12,14,7,15,15,12,15,6
"4",15,13,5,9,9,4,5,11,14,15
"5",9,3,6,12,5,9,12,3,12,1
"6",15,13,5,9,9,4,5,11,14,15
"7",15,13,5,9,9,4,5,11,14,15
"8",9,3,6,12,5,9,12,3,12,1
"9",15,9,6,12,5,9,4,3,12,1
"10",9,3,6,12,5,9,12,3,12,1
"11",9,3,6,12,5,9,12,3,12,1
"12",4,3,6,12,5,9,12,3,12,1
"13",9,3,6,12,5,9,12,3,12,1
"14",9,3,6,12,5,9,12,3,12,1
"15",9,3,6,12,5,9,12,3,12,1
"16",9,3,6,12,5,9,12,3,12,1
"17",9,3,6,12,5,9,12,3,12,1
"18",9,3,6,12,5,9,12,3,12,1
"19",12,10,4,4,1,10,2,1,6,8
"20",9,3,6,12,5,9,12,3,2,1
"21",9,3,6,12,5,9,12,3,12,1
"22",15,13,5,9,9,4,5,11,14,15
"23",10,3,6,12,5,9,12,3,12,1
"24",9,3,6,12,5,9,12,3,12,1
"25",4,5,8,9,14,8,6,15,5,10
"26",12,10,4,4,1,10,2,1,6,8
"27",9,3,6,12,5,9,12,3,12,1
"28",5,14,9,8,8,14,3,14,2,12
"29",9,3,8,13,5,8,6,15,5,10
"30",15,13,5,9,9,4,5,11,14,15
"31",9,3,6,12,5,9,12,3,12,1
"32",10,3,6,12,5,9,12,3,12,1
"33",5,14,9,8,8,14,3,14,2,12
"34",12,10,4,4,1,10,2,1,6,8
"35",9,3,6,12,5,9,12,3,12,1
"36",12,10,4,4,1,10,2,1,6,8
"37",12,10,4,4,1,10,2,1,6,8
"38",12,10,4,4,1,10,2,1,6,8
"39",10,3,6,12,5,9,12,3,12,1
"40",9,3,6,12,5,9,12,3,12,1
"41",10,3,6,12,5,9,12,3,12,1
"42",12,10,4,4,1,10,2,1,6,8
"43",12,10,4,4,1,10,2,1,6,8
"44",5,14,9,8,8,14,3,14,2,12
"45",12,10,9,8,8,14,2,14,2,8
"46",5,14,9,8,8,14,3,14,2,12
"47",12,10,4,4,1,10,2,1,6,8
"48",12,10,4,4,1,10,2,1,6,8
"49",12,10,4,4,1,10,2,1,6,8
"50",10,3,6,12,5,9,12,3,12,1
"51",10,3,6,12,5,9,12,3,12,1
"52",12,10,4,4,1,10,2,1,6,8
"53",5,14,9,8,8,14,3,14,2,12
"54",10,3,6,12,5,9,12,3,12,1
"55",10,3,6,4,1,10,2,1,12,8
"56",12,10,4,4,1,10,2,1,6,8
"57",12,10,4,4,1,10,2,1,6,8
"58",12,10,4,4,1,10,2,1,6,8
"59",12,10,4,4,1,10,2,1,6,8
"60",5,14,9,8,8,14,3,14,2,12
"61",12,10,4,4,1,10,2,1,6,8
"62",12,10,4,4,1,10,2,1,6,8
"63",12,10,4,4,1,10,2,1,6,8
"64",10,3,6,12,5,9,12,3,12,1
"65",12,10,4,4,1,10,2,1,6,8
"66",10,15,4,4,1,10,2,1,6,8
"67",12,10,4,4,1,10,2,1,6,8
"68",12,10,4,4,1,10,2,1,6,8
"69",12,10,4,4,1,10,2,1,6,8
"70",12,13,5,4,9,10,5,11,6,8
"71",12,10,4,4,1,10,2,1,6,8
"72",9,3,6,12,5,9,12,3,12,1
"73",10,3,6,12,5,9,12,3,12,1
"74",12,10,4,4,1,10,2,1,6,8
"75",12,10,4,4,1,10,2,1,6,8
"76",10,3,6,12,5,9,12,3,12,1
"77",12,5,4,4,14,10,2,1,6,8
"78",12,10,4,4,1,10,2,1,6,8
"79",7,6,4,4,3,10,2,1,6,8
"80",12,10,4,4,1,10,2,1,6,8
"81",7,10,4,4,1,10,2,1,6,8
"82",9,3,6,12,5,9,12,3,12,1
"83",12,10,4,4,1,10,2,1,6,8
"84",7,10,4,4,10,10,2,1,6,8
"85",12,10,4,4,1,10,2,1,6,8
"86",12,10,4,4,1,10,2,1,6,8
"87",12,10,4,4,1,10,2,1,6,8
"88",12,10,4,4,1,10,2,1,6,8
"89",12,13,14,3,1,10,2,1,6,8
"90",2,13,14,3,11,11,12,6,1,5
"91",15,9,10,6,3,12,4,7,8,7
"92",12,10,4,4,1,10,2,1,6,8
"93",12,10,4,4,1,10,2,1,6,8
"94",12,10,4,4,1,10,2,1,6,8
"95",12,15,9,15,15,15,15,12,15,6
"96",12,10,4,4,1,10,2,1,6,8
"97",12,10,4,4,1,10,2,1,6,8
"98",5,15,9,8,8,14,3,14,15,6
"99",5,15,9,15,15,15,15,12,15,6
"100",5,15,9,15,15,15,15,12,15,6
"101",10,3,6,4,5,9,12,3,12,1
"102",12,10,4,4,1,10,2,1,6,8
"103",12,10,4,4,1,10,2,1,6,8
"104",12,10,4,4,1,10,2,1,6,8
"105",12,10,4,4,1,10,2,1,6,8
"106",12,10,4,4,1,10,2,1,6,8
"107",12,10,4,4,1,10,2,1,6,8
"108",12,10,4,4,1,10,2,1,6,8
"109",12,10,4,4,1,10,2,1,6,8
"110",15,9,10,6,3,12,4,7,8,7
"111",12,10,4,4,1,10,2,1,6,8
"112",12,9,4,4,1,10,2,1,6,8
"113",12,10,4,4,1,10,2,1,6,8
"114",7,10,4,4,1,10,2,1,6,8
"115",12,10,4,4,1,10,2,1,6,8
"116",15,10,4,4,1,10,2,1,6,8
"117",12,10,4,4,1,10,2,1,6,8
"118",12,10,4,4,1,10,2,1,6,8
"119",4,13,5,9,9,4,5,11,14,1
"120",12,10,4,4,1,10,2,1,6,8
"121",3,2,12,14,7,5,11,13,13,14
"122",7,10,4,4,10,3,7,9,11,8
"123",7,10,10,4,1,10,7,9,11,11
"124",12,10,4,4,1,10,2,1,6,8
"125",12,10,4,4,1,10,2,1,6,8
"126",12,10,4,4,1,10,2,1,6,8
"127",12,10,4,4,1,10,2,1,6,8
"128",4,5,8,9,14,8,6,15,5,10
"129",12,10,4,4,1,10,2,1,6,8
"130",12,10,4,4,1,10,2,1,6,8
"131",3,2,12,14,7,5,11,13,13,14
"132",12,10,4,4,1,10,2,1,6,8
"133",11,1,7,11,4,6,1,10,3,2
"134",10,3,6,12,5,9,12,3,12,1
"135",12,10,4,4,1,10,2,1,6,8
"136",7,6,2,2,10,3,7,9,11,11
"137",12,10,4,4,1,10,2,1,6,8
"138",12,10,4,4,1,10,2,1,6,8
"139",13,11,7,14,2,13,14,8,7,4
"140",12,10,4,4,1,10,2,1,6,8
"141",12,10,4,4,1,10,2,1,6,8
"142",12,10,4,4,1,10,2,1,6,8
"143",5,4,13,5,14,7,10,2,9,14
"144",12,10,4,4,1,10,2,1,6,8
"145",8,10,4,4,1,10,2,4,6,3
"146",15,5,5,9,9,4,5,11,5,10
"147",12,10,4,4,1,10,2,1,6,8
"148",7,10,4,4,1,10,2,1,6,8
"149",5,15,9,15,15,15,15,12,15,6
"150",7,6,2,2,10,3,7,9,11,11
"151",12,10,4,4,1,10,2,1,6,8
"152",15,9,10,6,3,12,4,7,8,7
"153",12,10,4,4,1,10,2,1,6,8
"154",12,10,4,4,1,10,2,1,6,8
"155",7,6,2,2,10,3,7,9,11,11
"156",15,9,10,6,3,12,4,7,8,7
"157",12,10,4,4,1,10,2,1,6,8
"158",12,10,4,4,1,10,2,1,6,8
"159",15,9,10,6,10,12,7,7,8,7
"160",12,10,4,4,1,10,2,1,6,8
"161",12,10,4,4,1,10,2,1,6,8
"162",7,8,4,4,6,1,2,4,4,3
"163",12,10,4,4,1,10,2,1,6,8
"164",12,10,4,4,1,10,2,1,6,8
"165",10,3,6,12,5,9,12,3,12,1
"166",7,10,4,4,1,10,2,9,11,8
"167",7,8,7,1,6,13,8,4,4,3
"168",7,10,4,4,1,10,2,1,6,8
"169",3,2,12,14,7,5,11,13,13,14
"170",15,10,4,4,1,10,2,1,6,8
"171",15,4,13,5,14,7,10,2,9,14
"172",13,11,7,14,2,13,14,8,7,4
"173",13,11,7,14,2,13,14,8,7,4
"174",12,10,4,4,1,10,2,1,6,8
"175",15,9,10,6,3,12,4,7,8,7
"176",7,6,2,2,10,3,7,9,11,11
"177",12,10,4,4,1,10,2,1,6,8
"178",12,10,4,4,1,10,2,1,6,8
"179",12,10,4,4,1,10,2,1,6,8
"180",12,10,4,4,1,10,2,1,6,8
"181",7,6,2,2,10,3,7,9,11,11
"182",5,4,13,5,14,7,10,2,9,14
"183",15,13,5,9,9,4,5,11,14,15
"184",7,10,4,4,1,10,2,1,6,8
"185",4,5,8,13,14,8,6,15,5,10
"186",12,10,4,4,1,10,2,1,6,8
"187",3,4,13,5,14,7,10,2,9,14
"188",12,10,4,4,1,10,2,1,6,8
"189",7,8,11,1,6,1,8,4,4,3
"190",12,10,4,4,1,10,2,1,6,8
"191",15,9,10,6,3,12,4,7,8,7
"192",7,3,2,2,10,3,7,9,11,11
"193",3,2,12,14,7,5,11,13,13,14
"194",12,10,4,4,1,10,2,1,6,8
"195",15,9,10,6,3,10,2,1,6,7
"196",12,13,4,4,1,10,2,1,6,8
"197",12,10,4,4,1,10,2,1,6,8
"198",15,9,10,6,10,3,7,9,11,11
"199",7,5,8,9,14,6,1,7,5,10
"200",12,10,4,4,1,10,2,1,6,8
"201",3,2,12,14,7,5,11,13,13,14
"202",12,10,4,4,1,10,2,9,11,11
"203",7,10,4,4,1,10,2,9,6,8
"204",7,8,11,4,1,13,2,1,6,3
"205",13,11,7,14,2,13,14,8,7,4
"206",7,6,2,2,10,3,7,9,11,11
"207",7,8,11,1,10,1,8,4,4,3
"208",12,10,4,4,1,10,2,1,6,8
"209",3,2,12,14,7,5,11,13,13,14
"210",1,8,11,1,6,1,8,4,4,3
"211",15,9,10,6,3,12,4,7,8,7
"212",15,9,10,6,3,1,4,4,4,3
"213",8,8,11,1,6,1,8,4,4,3
"214",7,6,2,2,10,3,7,9,11,11
"215",3,4,13,5,14,7,10,2,9,14
"216",7,10,4,4,1,10,2,1,6,8
"217",15,9,10,6,3,12,4,7,8,7
"218",10,3,6,12,5,9,12,3,12,1
"219",13,11,7,14,2,13,14,8,7,2
"220",13,11,7,14,2,13,14,8,7,4
"221",3,2,12,14,7,5,11,13,13,14
"222",1,8,11,1,6,1,8,4,4,3
"223",15,13,5,9,9,4,5,11,14,15
"224",7,6,2,2,10,3,7,9,11,11
"225",7,6,2,2,10,3,7,9,11,11
"226",8,8,11,1,6,1,8,4,4,3
"227",7,8,11,1,6,1,8,4,4,3
"228",13,11,11,1,6,1,8,4,4,3
"229",10,3,6,4,5,9,12,3,12,1
"230",12,10,4,4,1,10,2,1,6,8
"231",7,6,2,2,10,1,7,9,11,3
"232",7,6,4,2,10,3,2,9,6,11
"233",7,15,9,15,15,15,15,12,15,6
"234",13,11,7,14,2,13,14,8,7,4
"235",8,8,11,1,6,1,8,4,4,3
"236",15,9,10,6,3,12,4,7,8,7
"237",1,9,11,1,6,1,8,4,4,3
"238",7,6,2,2,10,3,7,9,11,11
"239",15,9,10,6,3,12,4,7,8,7
"240",5,4,13,5,14,7,10,2,9,14
"241",13,11,7,2,10,13,7,9,11,11
"242",11,1,1,11,4,6,1,10,3,2
"243",7,6,2,4,10,3,7,9,11,11
"244",4,5,8,9,14,8,6,15,5,10
"245",7,6,2,2,10,3,7,9,11,11
"246",7,6,2,2,10,3,7,9,11,11
"247",15,13,5,9,9,4,5,11,14,15
"248",7,6,2,2,10,3,7,9,11,11
"249",8,8,11,1,6,1,8,4,4,3
"250",5,4,13,5,14,7,10,2,9,14
"251",7,9,10,6,3,12,8,9,4,8
"252",7,6,2,2,10,3,7,9,11,11
"253",3,2,12,14,7,5,11,13,13,14
"254",8,8,11,1,6,1,8,4,4,3
"255",7,9,10,6,10,12,4,9,11,11
"256",15,13,5,9,9,4,5,11,14,15
"257",7,6,2,2,10,3,7,9,11,11
"258",15,9,10,6,3,12,4,1,6,7
"259",2,5,8,9,14,8,6,15,5,10
"260",7,6,2,2,10,3,7,9,11,11
"261",7,6,4,4,1,10,2,9,11,11
"262",8,8,11,1,6,1,8,4,4,3
"263",7,10,4,4,1,10,2,1,6,8
"264",15,13,5,9,9,4,5,11,14,15
"265",3,15,9,15,15,15,15,12,15,6
"266",10,3,6,12,5,9,4,3,12,1
"267",7,6,2,2,10,3,7,9,11,11
"268",7,8,11,1,6,1,8,4,4,3
"269",8,8,11,1,6,1,8,4,4,3
"270",7,11,7,14,2,13,7,8,7,4
"271",8,8,11,1,6,1,8,4,4,3
"272",7,11,7,14,6,13,14,8,7,4
"273",7,10,4,4,10,10,7,9,6,11
"274",13,11,7,14,2,13,14,8,7,4
"275",1,8,11,1,6,1,8,4,4,3
"276",13,11,7,14,2,13,14,8,7,4
"277",10,2,12,12,5,9,11,3,12,1
"278",10,5,6,12,14,8,6,15,5,10
"279",7,5,2,2,10,3,7,9,11,11
"280",8,8,11,1,6,1,8,4,4,3
"281",15,13,5,9,9,4,5,11,14,15
"282",8,4,13,5,14,14,8,2,9,14
"283",7,6,2,2,10,3,7,9,11,11
"284",8,8,11,1,6,1,8,4,4,3
"285",8,8,11,1,6,1,8,4,4,3
"286",5,4,13,5,14,14,10,2,2,14
"287",3,8,11,1,6,1,8,4,4,3
"288",8,8,11,1,6,1,8,4,4,3
"289",8,8,2,1,10,3,7,9,11,11
"290",7,6,2,2,10,3,7,9,11,11
"291",1,8,11,1,6,1,8,4,4,3
"292",10,3,6,12,5,9,12,3,12,1
"293",15,9,10,6,3,1,8,4,4,3
"294",8,6,2,2,6,3,8,4,4,3
"295",10,3,6,12,5,9,12,3,12,1
"296",4,5,8,9,14,8,6,15,5,10
"297",5,4,13,5,14,7,10,2,9,14
"298",15,13,5,9,9,4,5,11,14,15
"299",15,6,2,2,10,3,7,9,11,11
"300",3,5,8,13,7,8,11,15,5,10
"301",10,3,6,12,5,9,12,3,12,1
"302",15,9,10,6,3,12,4,7,8,7
"303",8,8,11,1,6,1,8,4,4,3
"304",7,6,2,2,10,3,7,9,11,11
"305",1,8,11,1,6,1,8,4,4,3
"306",1,8,11,1,6,1,8,4,4,3
"307",7,6,2,2,10,3,7,9,11,11
"308",3,2,12,14,7,5,11,13,13,14
"309",3,2,12,14,7,5,11,13,13,14
"310",1,8,11,1,6,1,8,4,4,3
"311",7,6,2,2,10,13,7,9,11,11
"312",8,8,11,1,6,1,8,4,4,3
"313",4,8,11,1,6,1,6,4,5,3
"314",1,9,14,3,11,11,12,6,1,5
"315",5,4,13,5,14,7,10,2,9,14
"316",8,8,11,1,6,1,8,4,4,3
"317",15,13,5,9,9,4,5,11,14,15
"318",15,9,10,6,3,12,4,7,8,7
"319",5,4,13,5,14,7,10,2,9,14
"320",1,8,11,1,6,1,8,4,4,3
"321",8,8,11,1,6,1,8,4,4,3
"322",1,8,11,1,3,1,4,4,4,3
"323",1,8,11,1,6,1,8,4,4,3
"324",8,8,11,1,6,1,8,4,4,3
"325",8,8,11,1,6,1,8,4,4,3
"326",5,14,9,8,8,14,3,9,11,12
"327",10,8,11,1,6,1,8,4,4,3
"328",8,8,11,1,6,1,8,4,4,3
"329",4,3,11,1,6,9,12,3,12,1
"330",1,8,11,1,6,1,8,4,4,3
"331",8,8,7,1,6,1,8,4,7,4
"332",7,5,8,9,14,8,6,15,5,10
"333",7,6,2,2,10,3,7,9,11,11
"334",5,4,13,5,7,5,11,13,13,14
"335",7,11,7,14,2,13,14,8,7,4
"336",4,13,5,1,10,9,7,11,11,11
"337",8,8,11,1,6,1,8,4,4,3
"338",7,6,2,2,10,3,7,9,11,11
"339",7,11,7,14,2,13,14,8,7,4
"340",8,8,11,1,6,1,8,4,4,3
"341",8,8,11,1,6,1,8,4,4,3
"342",11,1,1,11,4,6,1,10,3,2
"343",3,4,13,5,14,5,11,13,13,14
"344",8,8,11,1,6,1,8,4,4,3
"345",1,9,10,6,3,12,4,7,8,7
"346",1,9,10,6,6,1,4,7,8,7
