"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",8,11,6,10,13,10,7,8,4,3
"2",13,11,6,10,13,10,7,8,4,3
"3",3,2,9,7,4,1,11,2,5,10
"4",8,10,11,7,3,1,11,2,5,10
"5",8,10,11,7,3,1,11,2,5,10
"6",4,2,9,4,4,9,10,7,9,1
"7",4,2,9,4,4,9,10,7,9,1
"8",8,10,11,7,3,1,11,2,5,10
"9",4,2,9,4,4,9,10,7,9,1
"10",8,10,11,7,3,1,11,2,5,10
"11",3,2,9,4,4,9,10,7,9,1
"12",4,2,9,4,4,9,10,7,9,1
"13",3,2,9,4,4,9,10,7,9,1
"14",4,2,9,4,4,9,10,7,9,1
"15",4,2,9,4,4,9,10,7,9,1
"16",3,2,11,7,3,1,7,2,5,10
"17",3,2,9,4,4,9,10,7,9,1
"18",4,2,9,4,4,9,10,7,9,1
"19",4,2,9,4,4,9,10,7,9,1
"20",13,8,7,12,11,5,10,4,1,7
"21",4,2,9,4,4,9,10,7,9,1
"22",4,2,9,4,4,9,10,7,9,1
"23",3,2,9,4,4,1,11,2,5,10
"24",4,2,9,4,4,9,10,7,9,1
"25",10,5,3,13,13,8,5,6,4,10
"26",4,2,9,4,4,9,10,7,9,1
"27",4,2,9,4,4,9,10,7,9,1
"28",4,2,9,4,4,9,10,7,9,1
"29",4,2,9,4,4,9,10,7,9,1
"30",13,8,7,10,11,5,11,4,1,7
"31",13,10,11,10,3,1,7,2,4,10
"32",8,10,11,7,3,1,11,2,5,10
"33",3,2,9,4,4,9,10,7,9,1
"34",3,10,11,7,3,1,11,2,5,10
"35",4,2,9,4,4,9,10,7,9,1
"36",4,2,9,4,4,9,10,7,9,1
"37",4,2,9,4,4,9,10,7,9,1
"38",8,10,11,7,3,1,11,2,5,10
"39",4,2,9,4,4,9,10,7,9,1
"40",8,11,6,10,13,1,7,2,5,10
"41",8,10,11,7,3,1,7,2,4,10
"42",3,2,11,7,3,1,11,2,5,10
"43",3,2,6,10,3,1,11,2,4,10
"44",3,2,9,4,4,9,10,7,9,1
"45",3,11,6,10,13,1,11,2,5,10
"46",4,2,9,4,4,9,10,7,9,1
"47",8,8,7,7,3,1,11,2,5,10
"48",3,11,6,10,13,10,7,2,4,10
"49",3,2,9,4,4,9,10,7,9,10
"50",4,2,9,4,4,9,10,7,9,1
"51",3,10,11,7,3,1,11,2,5,10
"52",13,11,6,10,13,10,7,8,4,3
"53",8,10,11,7,3,1,11,2,5,10
"54",8,10,11,7,3,1,11,2,5,10
"55",8,10,11,7,3,1,11,2,5,10
"56",4,2,6,10,4,10,7,8,4,3
"57",3,2,9,4,4,9,10,7,9,1
"58",3,10,11,7,3,9,10,2,5,10
"59",8,10,11,7,3,1,11,2,5,10
"60",3,2,6,10,13,10,7,8,4,10
"61",8,10,11,7,3,1,11,2,5,10
"62",8,10,11,7,3,1,11,2,5,10
"63",8,10,11,7,3,1,7,2,5,10
"64",3,5,3,13,13,8,5,6,10,13
"65",8,10,11,7,3,1,11,2,5,10
"66",13,10,11,10,13,10,7,2,4,10
"67",8,10,11,7,3,1,11,2,5,10
"68",12,8,7,12,11,5,10,4,5,10
"69",8,10,11,7,3,1,11,2,5,10
"70",8,10,11,7,3,1,11,2,5,10
"71",10,5,3,13,13,8,5,6,10,10
"72",8,10,11,7,3,1,11,2,5,10
"73",11,10,7,7,3,1,11,2,5,10
"74",2,13,5,6,14,14,13,14,13,13
"75",10,5,3,13,13,8,5,6,10,13
"76",10,5,3,12,11,5,10,4,1,7
"77",8,10,11,7,3,1,11,2,5,10
"78",8,10,11,7,3,1,11,2,5,10
"79",2,5,3,13,13,8,5,6,10,13
"80",2,13,5,6,14,14,13,14,13,13
"81",3,13,5,6,14,14,13,14,13,13
"82",2,13,5,6,14,14,13,14,13,13
"83",5,7,13,2,5,12,8,10,14,14
"84",5,7,8,11,7,7,9,1,3,2
"85",10,5,3,13,13,8,5,6,10,13
"86",8,10,11,7,3,1,11,2,5,10
"87",11,7,13,7,5,12,8,10,5,10
"88",3,2,9,13,13,8,7,6,4,10
"89",3,11,6,10,3,10,7,2,4,10
"90",3,10,8,7,7,1,9,1,5,2
"91",5,7,8,11,7,7,9,1,3,2
"92",5,7,8,11,7,7,9,1,3,2
"93",8,10,11,7,3,1,11,2,5,10
"94",8,8,7,12,3,1,11,2,5,10
"95",13,10,11,7,3,1,11,2,5,10
"96",8,10,11,7,3,1,11,2,5,10
"97",5,7,8,11,7,7,9,1,3,2
"98",11,10,11,7,3,1,11,2,5,10
"99",11,7,8,11,7,7,9,1,3,2
"100",14,4,10,9,2,11,2,12,11,2
"101",5,7,8,11,7,7,9,1,3,2
"102",8,10,11,7,3,1,11,2,5,10
"103",5,7,8,11,7,7,9,1,3,2
"104",14,4,10,9,7,7,9,1,3,2
"105",11,10,11,7,3,1,11,2,5,10
"106",8,10,11,7,3,1,11,2,5,10
"107",5,7,13,2,5,12,8,10,14,14
"108",5,7,8,11,7,7,9,1,3,2
"109",5,7,8,11,7,7,9,1,3,2
"110",2,13,5,6,14,14,13,14,13,13
"111",14,8,10,9,2,11,2,12,11,11
"112",5,7,8,11,7,7,9,1,3,2
"113",5,7,8,11,7,7,9,1,3,2
"114",2,13,5,6,14,14,13,14,13,13
"115",5,7,8,11,7,7,9,1,3,2
"116",5,7,8,5,6,1,9,1,5,10
"117",5,7,8,11,7,7,9,1,3,2
"118",3,11,6,10,13,10,7,8,4,10
"119",5,7,8,11,7,7,9,1,3,2
"120",1,3,2,5,6,13,1,5,6,8
"121",14,7,13,2,5,12,8,10,14,14
"122",11,10,11,7,3,1,11,2,5,10
"123",2,13,13,2,5,12,8,10,14,14
"124",5,7,8,11,7,7,9,1,3,2
"125",5,7,8,11,7,7,9,1,3,2
"126",1,4,10,9,2,11,2,12,11,11
"127",11,7,8,11,7,7,9,1,3,2
"128",5,7,8,11,7,7,9,1,3,2
"129",5,7,8,11,7,7,9,1,3,2
"130",5,7,8,11,7,7,9,1,3,2
"131",2,13,5,6,14,14,13,14,13,13
"132",14,4,10,9,2,11,2,12,11,11
"133",13,8,7,7,3,1,11,2,5,10
"134",11,7,8,11,13,7,7,8,3,3
"135",8,10,11,10,13,10,7,2,4,10
"136",5,7,8,11,7,7,9,1,3,2
"137",2,5,12,13,9,8,5,6,10,13
"138",5,7,8,11,7,7,9,1,3,2
"139",5,7,8,11,7,7,9,1,3,2
"140",5,7,8,11,7,7,9,1,3,2
"141",2,13,5,6,14,14,13,14,13,13
"142",8,10,11,7,3,1,11,2,5,10
"143",5,7,8,11,7,7,9,1,3,2
