"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",11,10,15,3,14,1,14,3,13,5
"2",11,10,15,3,14,1,14,3,13,5
"3",1,9,7,5,9,2,12,2,3,12
"4",2,1,11,14,9,2,12,6,3,12
"5",2,1,11,14,9,2,12,6,3,12
"6",9,9,7,5,6,14,9,2,8,16
"7",9,9,7,5,6,14,9,2,8,16
"8",2,1,11,14,9,2,12,6,3,12
"9",9,9,7,5,6,14,9,2,8,16
"10",2,1,11,14,9,2,12,6,3,12
"11",1,9,7,5,6,14,9,2,8,12
"12",9,9,7,5,6,14,9,2,8,16
"13",1,9,7,5,6,14,9,2,8,16
"14",9,9,7,5,6,14,9,2,8,16
"15",9,9,7,5,6,14,9,2,8,16
"16",1,9,7,14,9,2,12,6,3,12
"17",1,9,7,5,6,14,9,2,8,16
"18",9,9,7,5,6,14,9,2,8,16
"19",9,9,7,5,6,14,9,2,8,16
"20",16,6,14,15,3,7,15,4,11,3
"21",9,9,7,5,6,14,9,2,8,16
"22",9,9,7,5,6,14,9,2,8,16
"23",1,9,7,5,9,2,12,6,3,12
"24",9,9,7,5,6,14,9,2,8,16
"25",5,5,10,10,11,4,8,15,4,12
"26",9,9,7,5,6,14,9,2,8,16
"27",9,9,7,5,6,14,9,2,8,16
"28",9,9,7,5,6,14,9,2,8,16
"29",9,9,7,5,6,14,9,2,8,16
"30",11,6,15,3,3,7,14,4,11,5
"31",16,1,11,14,9,2,12,3,12,12
"32",2,1,11,14,9,2,12,6,3,12
"33",1,9,7,5,6,14,9,2,8,16
"34",1,1,11,14,9,2,12,6,3,12
"35",9,9,7,5,6,14,9,2,8,16
"36",9,9,7,5,6,14,9,2,8,16
"37",9,9,7,5,6,14,9,2,8,16
"38",2,1,11,14,9,2,12,6,3,12
"39",9,9,7,5,6,14,9,2,8,16
"40",2,10,15,3,14,2,12,6,3,12
"41",2,1,15,14,9,2,12,3,3,12
"42",1,1,7,14,9,2,12,6,3,12
"43",1,9,15,14,9,2,14,3,3,12
"44",1,9,7,5,6,14,9,2,8,16
"45",1,10,15,3,9,2,12,6,3,12
"46",9,9,7,5,6,14,9,2,8,16
"47",2,6,14,14,9,2,12,6,3,12
"48",1,10,15,3,14,1,14,3,3,12
"49",1,9,7,5,6,14,9,2,3,12
"50",9,9,7,5,6,14,9,2,8,16
"51",1,1,15,14,9,2,12,6,3,12
"52",11,10,15,3,14,1,14,3,13,5
"53",2,1,11,14,9,2,12,6,3,12
"54",2,1,11,14,9,2,12,6,3,12
"55",2,1,15,14,9,2,12,6,3,12
"56",9,9,15,3,14,1,14,3,13,5
"57",1,9,7,5,6,14,9,2,8,16
"58",1,1,7,14,6,2,12,6,3,12
"59",2,1,11,14,9,2,12,6,3,12
