"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,15,9,15,15,15,15,12,15,6
"2",2,5,8,12,14,9,6,3,5,1
"3",9,3,6,12,5,9,12,3,12,1
"4",9,3,6,12,5,9,12,3,12,1
"5",15,13,5,9,9,4,5,11,14,15
"6",5,14,9,8,8,14,3,14,2,12
"7",9,3,6,12,5,9,12,3,12,1
"8",5,14,9,8,8,14,3,14,2,12
"9",4,13,5,9,9,4,5,11,14,15
"10",5,14,9,8,8,14,3,14,2,12
"11",2,3,6,12,5,9,6,3,12,1
"12",4,5,8,9,14,8,6,3,5,10
"13",9,3,6,12,5,9,12,3,12,1
"14",4,5,8,9,14,8,6,15,5,10
"15",9,3,6,12,5,9,12,3,12,1
"16",15,13,5,9,9,4,5,11,14,15
"17",5,13,14,3,11,11,10,2,9,14
"18",4,5,8,9,14,8,6,15,5,10
"19",15,13,5,9,9,4,5,11,14,15
"20",15,13,5,9,9,4,5,11,14,15
"21",4,13,5,9,9,4,5,11,14,15
"22",9,3,6,12,5,9,12,3,12,1
"23",4,5,8,9,14,8,6,15,5,10
"24",5,14,9,8,8,14,3,14,2,12
"25",9,3,6,12,5,9,12,3,12,1
"26",9,3,6,12,5,9,12,3,12,1
"27",9,3,6,12,5,9,12,3,12,1
"28",4,5,8,9,14,8,6,15,5,10
"29",5,14,9,8,8,14,3,14,2,12
"30",5,14,9,8,8,14,3,14,2,12
"31",9,3,6,12,5,9,12,3,12,1
"32",9,3,6,12,5,9,12,3,12,1
"33",9,3,6,12,5,9,12,3,12,1
"34",9,3,6,12,5,9,12,3,12,1
"35",9,3,6,12,5,9,12,3,12,1
"36",9,3,6,12,5,9,12,3,12,1
"37",9,3,6,12,5,9,6,3,12,1
"38",9,3,6,12,5,9,12,3,12,1
"39",4,13,5,9,9,4,5,11,14,15
"40",9,3,6,12,5,9,12,3,12,1
"41",9,3,6,12,5,9,12,3,12,1
"42",9,3,6,12,5,9,12,3,12,1
"43",9,3,6,12,5,9,12,3,12,1
"44",9,3,6,12,5,9,12,3,12,1
"45",9,3,6,12,5,9,12,3,12,1
"46",9,3,6,12,5,9,6,3,12,1
"47",9,3,8,12,5,9,6,3,12,1
"48",15,13,5,9,9,4,5,11,14,15
"49",5,14,9,8,8,14,3,14,2,12
"50",4,13,14,3,11,11,12,6,1,15
"51",4,13,5,9,9,4,5,11,14,15
"52",4,3,6,12,5,9,12,3,12,1
"53",9,13,14,3,5,8,6,3,5,1
"54",9,3,6,12,5,9,12,3,12,1
"55",15,13,5,9,9,4,5,11,14,15
"56",15,13,5,9,9,4,5,11,14,15
"57",9,3,6,12,5,9,12,3,12,1
"58",15,13,5,9,9,4,5,11,14,15
"59",15,13,5,9,9,4,5,11,14,15
"60",15,13,5,9,9,4,5,11,14,15
"61",15,13,5,9,9,4,5,11,14,15
"62",4,13,5,9,9,4,5,11,14,15
"63",4,13,5,9,9,4,5,11,14,15
"64",9,3,6,12,5,9,12,3,12,1
"65",10,3,6,12,5,9,12,3,12,1
"66",9,3,6,12,5,9,12,3,12,1
"67",4,13,5,9,9,4,5,3,12,1
"68",15,13,5,9,9,4,5,11,14,15
"69",5,4,13,5,14,7,10,2,9,14
"70",3,3,6,12,5,5,12,3,12,1
"71",4,13,5,9,14,8,6,11,5,15
"72",9,3,6,12,5,9,12,3,12,1
"73",5,14,9,8,8,14,3,14,2,12
"74",4,5,8,9,14,8,6,15,5,10
"75",9,3,6,12,5,9,12,3,12,1
"76",4,5,8,9,14,8,6,4,5,3
"77",9,3,6,12,5,9,12,3,12,1
"78",3,2,12,14,7,5,11,13,13,14
"79",4,3,6,12,5,9,12,3,12,1
"80",1,8,11,1,6,1,8,4,4,3
"81",5,14,9,8,8,14,3,14,2,12
"82",12,10,4,4,1,10,2,1,6,8
"83",9,3,6,12,5,9,6,3,12,1
"84",15,9,4,4,1,10,2,1,6,8
"85",12,10,4,4,1,10,2,9,11,11
"86",10,3,6,12,5,9,12,3,12,1
"87",9,3,6,12,5,9,6,3,12,1
"88",1,8,11,1,6,1,8,4,4,3
"89",5,14,9,8,8,14,3,14,2,12
"90",4,5,5,9,14,4,5,11,14,15
"91",12,10,4,4,1,10,2,1,6,8
"92",12,10,4,4,1,10,2,1,6,8
"93",9,3,6,12,5,9,6,3,12,1
"94",12,10,4,4,1,10,2,1,6,8
"95",5,4,2,5,14,3,12,3,12,1
"96",15,9,10,6,3,12,4,7,8,7
"97",12,10,4,4,1,10,2,1,6,8
"98",12,10,4,4,1,10,2,1,6,8
"99",12,10,4,4,1,10,2,1,6,8
"100",15,9,10,6,3,12,4,7,8,7
"101",5,14,9,8,8,14,3,14,2,12
"102",12,10,4,4,1,10,2,1,6,8
"103",10,13,14,4,1,10,2,1,6,8
"104",10,10,4,3,5,10,2,1,6,1
"105",7,6,4,4,10,10,2,1,6,8
"106",5,14,9,8,8,14,3,14,2,12
"107",12,10,4,4,1,10,2,1,6,8
"108",12,10,4,4,1,10,2,1,6,8
"109",12,10,4,4,1,10,2,1,6,8
"110",15,9,4,6,1,10,2,1,6,8
"111",12,10,4,4,1,10,2,1,6,8
"112",7,6,2,2,10,3,7,9,11,11
"113",15,9,10,6,3,12,4,7,8,7
"114",12,10,4,4,1,10,2,1,6,8
"115",12,10,4,4,1,10,2,1,6,8
"116",12,10,4,4,1,10,2,1,6,8
"117",10,3,6,12,5,9,12,3,12,1
"118",12,10,4,4,1,10,2,1,6,8
"119",12,10,4,4,1,10,2,1,6,8
"120",12,10,4,4,1,10,2,1,6,8
"121",12,10,4,4,1,10,2,1,6,8
"122",12,10,4,4,1,10,2,1,6,8
