"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",18,12,19,20,12,16,8,20,19,18
"2",13,7,4,13,17,12,9,19,20,9
"3",15,9,11,9,17,5,2,1,11,4
"4",15,9,11,9,1,5,2,1,11,4
"5",20,18,2,14,2,7,19,8,10,10
"6",19,17,20,19,19,20,18,14,9,11
"7",15,9,11,9,1,5,2,1,11,4
"8",10,17,20,19,19,20,18,14,9,11
"9",17,19,2,10,2,7,9,8,10,10
"10",19,17,20,19,19,20,18,14,9,11
"11",15,9,11,9,17,5,2,1,11,4
"12",3,7,4,13,17,12,9,4,12,14
"13",15,9,11,9,1,5,2,1,11,4
"14",17,19,4,13,17,12,9,4,12,14
"15",15,9,11,9,1,5,2,1,11,4
"16",20,18,2,10,2,7,19,8,10,10
"17",10,3,9,18,7,8,13,3,5,7
"18",3,7,4,13,17,12,9,4,12,14
"19",20,18,2,14,2,7,19,8,10,10
"20",20,18,2,10,2,7,19,8,10,10
"21",17,19,2,10,17,12,9,8,10,10
"22",15,9,11,9,1,5,2,1,11,4
"23",3,7,4,13,15,19,20,19,20,9
"24",19,17,20,19,19,20,18,14,9,11
"25",15,9,11,9,1,5,2,1,11,4
"26",15,9,11,9,17,5,2,1,11,4
"27",15,9,11,9,1,5,2,1,11,4
"28",3,7,4,13,17,12,9,4,12,14
"29",19,17,20,19,19,20,18,14,9,11
"30",19,20,20,19,19,20,18,14,9,11
"31",15,9,11,9,1,5,2,1,11,4
"32",15,9,11,9,1,5,2,1,11,4
"33",15,9,11,9,1,5,2,1,11,4
"34",15,9,11,9,1,5,2,1,11,4
"35",15,9,11,9,1,5,2,1,11,4
"36",15,9,11,18,7,8,13,3,5,7
"37",15,9,11,9,17,5,2,1,11,4
"38",15,9,11,9,1,5,2,1,11,4
"39",17,19,2,10,2,7,19,8,10,10
"40",15,9,11,9,1,5,2,1,11,4
"41",15,9,11,9,1,5,2,1,11,4
"42",15,9,11,9,1,5,2,1,11,4
"43",15,9,11,9,1,5,2,1,11,4
"44",15,9,11,8,17,5,2,1,11,4
"45",15,9,11,18,7,8,13,3,5,7
"46",15,9,11,9,17,5,2,1,11,4
"47",17,9,11,10,17,12,9,4,11,4
"48",20,18,2,14,2,7,19,8,10,10
"49",19,17,20,19,19,20,18,14,9,11
"50",17,19,18,10,20,10,11,12,10,10
"51",17,19,2,10,2,7,19,8,10,10
"52",17,19,11,10,1,5,9,1,11,4
"53",15,3,9,8,17,12,9,4,18,20
"54",15,9,11,9,1,5,2,1,11,4
"55",20,18,2,14,2,7,19,8,10,10
"56",17,18,2,14,2,7,19,8,10,10
"57",15,9,11,9,1,5,2,1,11,4
"58",20,18,2,14,2,7,19,8,10,10
"59",20,19,2,14,2,7,19,8,10,10
"60",20,18,2,14,2,7,19,8,10,10
"61",20,18,2,14,2,7,19,8,10,10
"62",17,19,2,10,2,7,19,8,10,10
"63",17,19,2,10,17,12,19,8,10,10
"64",15,9,11,9,1,5,2,1,11,4
"65",9,9,11,9,1,5,2,1,11,4
"66",15,9,11,18,7,8,13,3,5,7
"67",17,19,11,10,17,12,9,4,5,7
"68",20,18,2,10,2,7,19,8,10,10
"69",10,13,6,16,16,6,4,17,8,1
"70",18,9,11,9,1,5,13,3,11,4
"71",17,19,2,10,17,12,9,4,12,10
"72",15,9,11,9,1,5,2,1,11,4
"73",19,17,20,19,19,20,18,14,9,11
"74",17,19,4,10,17,12,9,4,12,14
"75",17,19,11,10,1,12,2,1,11,4
"76",3,7,4,13,15,18,12,6,6,5
"77",15,9,11,9,1,5,2,1,11,4
"78",18,1,16,15,5,3,6,4,16,3
"79",17,19,11,10,1,12,9,1,11,4
"80",5,2,5,12,14,18,12,6,4,6
"81",19,17,20,19,19,20,18,14,9,11
"82",14,8,10,11,8,11,5,5,3,17
"83",15,9,11,9,17,5,9,1,11,4
