"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,1,11,14,9,2,12,6,3,12
"2",1,1,11,14,9,2,12,6,3,12
"3",5,5,10,10,11,9,16,16,16,7
"4",9,9,7,5,6,14,9,2,8,16
"5",2,1,11,14,9,2,12,6,3,12
"6",9,9,7,5,6,14,9,2,8,16
"7",9,9,7,5,6,14,9,2,8,16
"8",2,1,11,14,9,2,12,6,3,12
"9",4,14,5,14,9,2,12,6,3,12
"10",2,1,11,14,9,2,12,6,3,12
"11",2,1,11,14,9,2,12,6,3,12
"12",1,1,11,14,9,2,12,6,3,12
"13",2,1,11,14,9,2,12,6,3,12
"14",2,1,11,14,9,2,12,6,3,12
"15",2,1,11,14,9,2,12,6,3,12
"16",2,1,11,14,9,2,12,6,3,12
"17",2,1,11,14,9,2,12,6,3,12
"18",2,1,11,14,9,2,12,6,3,12
"19",6,12,6,11,1,13,7,11,1,1
"20",2,1,11,14,9,2,12,6,3,12
"21",2,1,15,14,9,2,12,6,3,12
"22",9,9,7,5,6,14,9,2,8,16
"23",14,1,11,14,9,2,12,6,3,12
"24",2,1,11,14,9,2,12,6,3,12
"25",1,10,15,3,14,1,14,3,13,5
"26",6,12,6,11,1,13,7,11,1,1
"27",2,1,11,14,9,2,12,6,3,12
"28",10,15,16,16,16,12,15,14,15,14
"29",2,10,15,3,9,1,14,3,13,5
"30",9,9,7,5,6,14,9,2,8,16
"31",2,1,11,14,9,2,12,6,3,12
"32",14,1,11,14,9,5,12,6,3,12
"33",10,15,16,16,16,12,15,14,15,14
"34",6,12,6,11,1,13,7,11,1,1
"35",2,1,11,14,9,2,12,6,3,12
"36",6,12,6,11,1,13,7,11,1,1
"37",6,12,6,11,1,13,7,11,1,1
"38",6,12,6,11,1,13,7,11,1,1
"39",14,1,11,14,9,2,12,6,3,12
"40",2,1,11,14,9,2,12,6,3,12
"41",14,1,11,14,9,2,12,6,3,12
"42",6,12,6,11,1,13,7,11,1,1
