"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,3,8,1,3,9,1,9,3,6
"2",4,3,8,1,3,9,1,9,3,6
"3",8,4,5,1,3,9,1,1,7,9
"4",11,11,3,9,10,11,2,2,9,7
"5",2,3,8,1,3,9,1,9,3,6
"6",11,11,3,9,10,11,2,2,9,7
"7",11,11,3,9,10,11,2,2,9,7
"8",2,3,8,1,3,9,1,9,3,6
"9",7,9,8,1,3,9,1,6,3,6
"10",2,3,8,1,3,9,1,9,3,6
"11",2,3,8,1,3,9,1,9,3,6
"12",4,3,8,1,3,9,1,9,3,6
"13",2,3,8,1,3,9,1,9,3,6
"14",2,3,8,1,3,9,1,9,3,6
"15",2,3,8,1,3,9,1,9,3,6
"16",2,3,8,1,3,9,1,9,3,6
"17",2,3,8,1,3,9,1,9,3,6
"18",2,3,8,1,3,9,1,9,3,6
"19",10,10,6,9,6,1,5,5,8,1
"20",2,3,8,1,3,9,1,9,3,6
"21",2,3,8,5,3,9,1,9,3,6
"22",11,11,3,9,10,11,2,2,9,7
"23",2,3,8,1,3,9,1,9,3,6
"24",2,3,8,1,3,9,1,9,3,6
"25",4,4,8,5,8,4,9,9,3,6
"26",10,10,6,9,6,1,5,5,8,1
"27",2,3,8,1,3,9,1,9,3,6
"28",1,1,1,3,7,3,3,9,4,2
"29",2,3,8,5,8,4,9,9,3,6
"30",11,11,3,9,10,11,2,2,9,7
"31",2,3,8,1,3,9,1,9,3,6
"32",2,3,8,1,3,9,1,1,3,6
"33",1,1,1,3,7,3,3,9,4,2
"34",10,10,6,9,6,1,5,5,8,1
"35",2,3,8,1,3,9,1,9,3,6
"36",10,10,6,9,6,1,5,5,8,1
"37",10,10,6,9,6,1,5,5,8,1
"38",10,10,6,9,6,1,5,5,8,1
"39",2,3,8,1,3,9,1,9,3,6
"40",2,3,8,1,3,9,1,9,3,6
"41",2,3,8,1,3,9,1,9,3,6
"42",10,10,6,9,6,1,5,5,8,1
"43",10,10,6,9,6,1,5,5,8,1
"44",1,1,1,3,7,3,3,9,4,2
"45",10,1,1,9,6,3,3,9,4,1
"46",1,1,1,3,7,3,3,9,4,2
"47",10,10,6,9,6,1,5,5,8,1
"48",10,10,6,9,6,1,5,5,8,1
"49",10,10,6,9,6,1,5,5,8,1
"50",2,3,8,1,3,9,1,9,3,6
"51",2,3,8,1,3,9,1,9,3,6
"52",10,10,6,9,6,1,5,5,8,1
