sample	seed	ari_value
20180417_BZ5_control	0	0.22655834671345246
20180417_BZ5_control	1	0.2191557465362608
20180417_BZ5_control	2	0.2138673960478305
20180417_BZ5_control	3	0.2092615482153028
20180417_BZ5_control	4	0.22306234180271103
20180417_BZ5_control	5	0.2150678347214651
20180417_BZ5_control	6	0.1874199627344557
20180417_BZ5_control	7	0.21535173079160683
20180417_BZ5_control	8	0.232201056523009
20180417_BZ5_control	9	0.2433993829101723
20180419_BZ9_control	0	0.24549046864805724
20180419_BZ9_control	1	0.27733790048726303
20180419_BZ9_control	2	0.2732624697044633
20180419_BZ9_control	3	0.2701490402619555
20180419_BZ9_control	4	0.2423615788548209
20180419_BZ9_control	5	0.27319844449891306
20180419_BZ9_control	6	0.24908952750174096
20180419_BZ9_control	7	0.27009145614144386
20180419_BZ9_control	8	0.2579739508686779
20180419_BZ9_control	9	0.25250125924777705
20180424_BZ14_control	0	0.1944033767310856
20180424_BZ14_control	1	0.18799754293098636
20180424_BZ14_control	2	0.1890484262448717
20180424_BZ14_control	3	0.24535247868120952
20180424_BZ14_control	4	0.23376893139985758
20180424_BZ14_control	5	0.2094912428635343
20180424_BZ14_control	6	0.2209226442796505
20180424_BZ14_control	7	0.19794082287749926
20180424_BZ14_control	8	0.22907596170918804
20180424_BZ14_control	9	0.20320008191534308
