,20180417_BZ5_control_0,20180417_BZ5_control_1,20180417_BZ5_control_2,20180417_BZ5_control_3,20180417_BZ5_control_4,20180417_BZ5_control_5,20180417_BZ5_control_6,20180417_BZ5_control_7,20180417_BZ5_control_8,20180417_BZ5_control_9
69x4486,1,2,1,2,1,1,4,1,1,1
93x1063,1,5,7,1,1,3,8,8,9,7
143x3445,3,3,1,3,3,2,2,3,3,3
88x4092,1,2,1,1,1,1,4,1,1,1
120x4293,1,2,1,1,1,1,4,1,1,1
104x2648,2,3,1,3,2,2,2,2,2,2
105x2425,2,3,1,3,2,2,2,2,2,2
146x5387,3,4,3,3,3,2,3,3,3,3
107x3104,3,3,1,3,3,2,2,3,3,3
127x3822,3,2,1,2,1,1,4,1,3,3
259x4507,1,2,1,2,1,1,4,1,1,1
210x2935,2,3,1,3,2,2,2,2,2,2
241x3271,3,3,1,3,3,2,2,3,3,3
239x2631,2,3,1,3,2,2,2,2,2,2
281x3080,3,3,1,3,3,2,2,3,3,3
224x3566,3,2,1,2,3,1,4,3,3,3
221x4872,3,4,3,3,3,2,3,3,3,3
290x5270,3,4,3,3,3,2,3,3,3,3
276x5435,3,4,3,3,3,2,3,3,3,3
321x3949,1,2,1,2,1,1,4,1,1,1
339x2790,2,3,1,3,2,2,2,2,2,2
317x5119,3,4,3,3,3,2,3,3,3,3
342x5600,3,4,3,3,3,2,3,3,3,3
352x2563,2,3,1,3,2,2,2,2,2,2
372x1693,1,1,2,1,4,1,1,1,1,1
311x2357,2,3,1,3,2,2,2,2,2,2
385x5503,3,4,3,3,3,2,3,3,3,3
396x4972,3,4,3,3,3,2,3,3,3,3
388x5349,3,4,3,3,3,2,3,3,3,3
402x1331,1,1,2,1,1,1,1,1,1,1
409x4543,1,2,1,2,1,1,4,1,1,1
413x5757,3,4,3,2,3,2,3,3,3,3
393x4808,3,4,3,3,3,2,3,3,3,3
446x5944,3,2,1,2,3,1,4,1,3,1
462x5091,3,4,3,3,3,2,3,3,3,3
482x5413,3,4,3,3,3,2,3,3,3,3
482x5581,3,4,3,3,3,2,3,3,3,3
461x3050,3,3,1,3,3,2,2,3,3,3
471x5246,3,4,3,3,3,2,3,3,3,3
526x5768,3,4,3,2,3,2,3,3,3,3
555x1786,1,1,2,1,4,1,1,1,1,1
563x5971,1,2,1,2,3,1,4,1,1,1
526x6243,1,2,1,2,1,1,4,1,1,1
548x6495,1,2,1,2,1,1,4,1,1,1
554x6386,1,2,1,2,1,1,4,1,1,1
558x5137,3,4,3,3,3,2,3,3,3,3
561x6118,1,2,1,2,1,1,4,1,1,1
581x4471,1,2,1,2,1,1,4,1,1,1
599x5622,3,4,3,3,3,2,3,3,3,3
604x5412,3,4,3,3,3,2,3,3,3,3
598x6567,1,2,1,2,1,1,4,1,1,1
578x286,1,1,2,2,1,1,1,1,1,1
616x5239,3,4,3,3,3,2,3,3,3,3
652x6228,1,2,1,2,1,1,4,1,1,1
705x1715,1,1,2,1,4,1,1,1,1,1
732x5330,3,4,3,3,3,2,3,3,3,3
835x5264,3,4,1,3,3,2,3,3,3,3
871x1075,1,2,1,2,1,2,4,1,3,3
847x241,1,1,2,2,1,1,1,1,1,1
887x5359,3,4,1,3,3,2,3,3,3,3
949x787,1,2,1,2,1,2,4,1,3,3
906x2244,1,8,2,1,1,1,1,1,1,1
898x92,1,1,2,2,1,1,1,1,1,1
1023x284,1,1,2,2,1,1,1,1,1,1
1022x5565,3,2,1,2,3,1,4,1,3,1
1107x4892,1,8,2,1,1,1,1,1,1,1
1155x352,1,1,2,2,1,1,1,1,1,1
1219x6017,1,1,2,1,4,1,1,1,1,1
1225x5122,1,8,2,1,1,1,1,1,1,1
1249x136,1,1,2,2,1,1,1,1,1,1
1251x4565,8,8,2,1,5,1,1,7,8,7
1338x2782,1,4,2,1,4,7,1,1,3,1
1373x6021,1,1,2,1,4,1,1,1,1,1
1382x2384,1,1,2,5,4,1,1,1,1,1
1474x1644,1,1,3,2,1,1,3,1,1,1
1500x293,1,1,2,1,1,1,1,1,1,1
1580x763,1,1,2,1,1,1,1,1,1,1
1588x535,1,1,2,1,1,1,1,1,1,1
1627x5761,1,1,2,1,4,1,1,1,1,7
1707x565,1,1,2,1,1,1,1,1,1,1
1677x5560,1,1,2,1,4,1,1,1,1,7
1779x5697,1,1,2,1,4,1,1,1,1,7
1773x4571,1,6,2,5,6,1,1,1,1,5
1790x4707,4,6,5,5,6,4,6,5,4,5
1830x5552,1,1,2,1,4,1,1,1,1,7
1794x5436,1,1,2,1,4,1,1,1,1,7
1911x4654,1,6,2,5,6,1,1,1,1,5
1932x5445,1,1,2,1,4,1,1,1,1,7
1978x5613,1,1,2,4,4,1,1,1,1,7
1980x6074,4,6,5,5,6,4,6,5,4,5
2003x3832,4,6,5,5,6,4,6,5,4,5
2040x5814,4,6,5,5,6,4,6,5,4,5
2050x4659,1,6,2,5,6,1,1,1,1,7
2066x2105,1,1,2,1,1,1,1,1,1,1
2085x390,1,5,7,4,5,3,5,8,5,6
2097x4378,1,6,2,5,6,1,1,1,1,7
2152x5956,4,6,5,5,6,4,6,5,4,5
2160x4870,1,6,2,4,6,1,1,1,1,7
2221x5691,4,6,5,5,6,4,6,5,4,5
2217x6516,4,6,5,5,6,4,6,5,4,5
2248x5871,4,6,5,5,6,4,6,5,4,5
2239x1154,1,1,2,1,1,1,1,1,1,1
2297x3080,4,6,5,5,6,4,6,5,4,5
2302x3966,4,6,5,5,6,4,6,5,4,5
2343x1019,1,1,2,1,1,1,1,1,1,1
2374x198,1,5,2,4,1,3,5,8,5,6
2362x3504,4,6,5,5,6,4,6,5,4,5
2390x3361,4,6,5,5,6,4,6,5,4,5
2433x2760,4,6,5,5,6,4,6,5,4,5
2393x1440,1,1,2,1,1,1,1,1,1,1
2458x2908,4,6,6,5,6,4,6,5,4,5
2438x4101,4,6,5,5,6,4,6,5,4,5
2474x3930,4,6,5,5,6,4,6,5,4,5
2469x1334,1,1,2,1,1,1,1,1,1,1
2497x4564,4,6,5,5,6,4,6,5,4,5
2536x3651,4,6,5,5,6,4,6,5,4,5
2465x4370,4,6,5,5,6,4,6,5,4,5
2523x1100,1,1,2,5,1,1,1,1,1,1
2552x6051,4,6,5,5,6,4,6,5,4,5
2566x445,4,6,5,5,6,4,6,5,4,5
2558x2591,5,5,6,4,7,5,7,4,5,6
2607x167,1,8,2,1,1,1,1,1,1,1
2602x2274,5,5,6,4,7,5,7,4,5,6
2625x6297,4,6,5,5,6,4,6,5,4,5
2661x4921,4,6,5,5,6,4,6,5,4,5
2671x2028,5,5,6,4,7,5,7,4,5,6
2647x5842,4,6,5,5,6,4,6,5,4,5
2698x4476,4,6,5,5,6,4,6,5,4,5
2725x1229,4,6,5,5,6,4,6,5,4,5
2729x2571,5,5,6,4,7,5,7,5,5,6
2717x5480,4,1,5,5,1,1,1,1,8,5
2739x2192,5,5,6,4,7,5,7,4,5,6
2724x5212,4,1,5,5,1,1,1,1,8,5
2771x925,4,6,5,5,6,4,6,5,4,5
2779x3387,4,6,5,5,6,4,6,5,4,5
2794x549,4,6,5,5,6,4,6,5,4,5
2825x158,4,6,2,5,1,4,6,5,4,1
2818x3935,4,6,5,5,6,4,6,5,4,5
2825x353,4,6,5,5,6,4,6,5,4,5
2835x4736,4,6,5,5,6,4,6,5,4,5
2852x5446,4,1,5,5,1,1,1,1,8,5
2877x61,1,8,2,5,1,1,6,5,1,1
2863x4900,4,6,5,5,6,4,6,5,4,5
2862x3238,4,6,5,5,6,4,6,5,4,5
2867x6410,4,6,5,5,6,4,6,5,4,5
2912x2915,4,6,5,5,6,4,6,5,4,5
2863x6239,4,6,5,5,6,4,6,5,4,5
2882x1230,4,6,5,5,6,4,6,5,4,5
2854x6016,4,6,5,5,6,4,6,5,4,5
2892x3781,4,6,5,5,6,4,6,5,4,5
2900x4518,4,6,5,5,6,4,6,5,4,5
2944x3399,4,6,5,5,6,4,6,5,4,5
2908x1593,4,6,5,5,6,4,6,5,4,5
2933x2191,5,5,6,4,7,5,7,4,5,6
3023x6550,4,6,5,5,6,4,6,5,4,5
2927x3132,4,6,5,5,6,4,6,5,4,5
2971x1902,5,5,6,4,7,5,7,1,5,6
2957x960,4,6,5,5,6,4,6,5,4,5
2975x4177,4,6,5,5,6,4,6,5,4,5
2997x392,4,6,5,5,6,4,6,5,4,5
2984x795,4,6,5,5,6,4,6,5,4,5
3005x607,4,6,5,5,6,4,6,5,4,5
3008x6107,4,6,5,5,6,4,6,5,4,5
3015x2375,4,6,5,5,6,4,6,5,4,5
3035x4607,4,6,5,5,6,4,6,5,4,5
3010x5742,4,6,5,5,6,4,6,5,4,5
3051x5364,4,6,5,5,6,4,6,5,4,5
3088x4056,4,6,5,5,6,4,6,5,4,5
3088x5969,4,6,5,5,6,4,6,5,4,5
3098x269,4,6,5,5,6,4,6,5,4,5
3085x1874,5,5,6,4,7,5,7,1,5,6
3073x2687,4,6,5,5,6,4,6,5,4,5
3074x3903,4,6,5,5,6,4,6,5,4,5
3112x704,4,6,5,5,6,4,6,5,4,5
3112x1238,4,6,5,5,6,4,6,5,4,5
3100x1519,4,6,5,5,6,4,6,5,4,5
3096x4775,4,6,5,5,6,4,6,5,4,5
3113x5229,4,6,5,5,6,4,6,5,4,5
3130x3026,4,6,5,5,6,4,6,5,4,5
3143x1724,5,6,6,5,7,5,7,5,5,6
3143x4443,4,6,5,5,6,4,6,5,4,5
3176x1111,4,6,5,5,6,4,6,5,4,5
3167x4598,4,6,5,5,6,4,6,5,4,5
3194x6122,4,6,5,5,6,4,6,5,4,5
3192x1436,4,6,5,5,6,4,6,5,4,5
3202x973,4,6,5,5,6,4,6,5,4,5
3179x2424,4,6,5,5,6,4,6,5,4,5
3203x3174,4,6,5,5,6,4,6,5,4,5
3190x4995,4,6,5,5,6,4,6,5,4,5
3234x4222,4,6,5,5,6,4,6,5,4,5
3259x2762,4,6,5,5,6,4,6,5,4,5
3263x3474,4,6,5,5,6,4,6,5,4,5
3262x3332,4,6,5,5,6,4,6,5,4,5
3277x2545,4,6,5,5,6,4,6,5,4,5
3268x5634,4,6,5,5,6,4,6,5,4,5
3294x327,4,6,5,5,6,4,6,5,4,5
3274x5349,4,6,5,5,6,4,6,5,4,5
3308x5144,4,6,5,5,6,4,6,5,4,5
3320x3713,4,6,5,5,6,4,6,5,4,5
3336x3835,4,6,5,5,6,4,6,5,4,5
3341x655,4,6,5,5,6,4,6,5,4,5
3380x2391,4,6,5,5,6,4,6,5,4,5
3362x4758,4,6,5,5,6,4,6,5,4,5
3383x1553,4,6,6,4,6,5,7,5,4,5
3373x6292,4,6,5,5,6,4,6,5,4,5
3406x3143,4,6,5,5,6,4,6,5,4,5
3396x4003,5,5,6,5,7,5,7,8,5,6
3427x4113,5,5,6,4,7,5,7,8,5,6
3421x873,4,6,5,5,6,4,6,5,4,5
3425x528,4,6,5,5,6,4,6,5,4,5
3434x376,4,6,5,5,6,4,6,5,4,5
3431x4466,4,6,5,5,6,4,6,5,4,5
3420x5073,4,6,5,5,6,4,6,5,4,5
3421x1822,5,5,6,4,7,5,7,8,5,6
3441x6025,4,6,5,5,6,4,6,5,4,5
3421x6152,4,6,5,5,6,4,6,5,4,5
3464x2983,4,6,5,5,6,4,6,5,4,5
3580x1656,5,5,6,4,7,5,7,8,5,6
3587x397,4,6,5,5,6,4,6,5,4,5
3628x1800,5,5,6,4,7,5,7,8,5,6
3619x6082,5,5,6,4,6,5,7,5,5,5
3641x5149,5,5,5,5,6,5,7,5,4,5
3645x4345,5,5,6,4,7,5,7,5,5,5
3613x2488,7,6,5,5,6,4,6,4,4,5
3648x3506,4,6,5,5,6,4,6,5,4,5
3630x6532,5,5,6,4,7,5,7,8,5,6
3659x4953,4,6,5,5,6,4,6,5,4,5
3653x3697,5,5,6,4,7,5,7,5,5,6
3686x4486,4,6,5,5,6,4,7,5,4,5
3655x1397,7,6,6,6,6,4,8,8,6,6
3702x5848,5,5,6,4,7,5,7,8,5,5
3655x6350,5,5,6,5,6,5,7,8,5,5
3690x5449,5,5,6,4,7,5,7,5,5,5
3698x105,4,6,5,5,6,4,6,6,4,5
3719x752,4,6,5,5,6,4,6,5,4,5
3706x4678,4,6,5,5,6,4,7,5,4,5
3787x317,4,6,5,5,6,4,6,6,4,5
3790x3862,5,5,6,4,7,5,7,4,5,6
3759x2286,7,8,7,4,5,3,5,4,5,6
3803x4061,5,5,6,4,7,5,7,4,5,6
3792x6474,5,5,6,4,7,5,7,8,5,6
3789x971,5,5,6,4,7,5,7,4,5,6
3786x2622,5,5,6,4,7,5,7,4,5,6
3848x2821,5,5,6,4,7,5,7,4,5,6
3879x3094,5,5,6,4,7,5,7,4,5,6
3877x6004,5,5,6,4,7,5,7,8,5,6
3863x2947,5,5,6,4,7,5,7,4,5,6
3852x6212,5,5,6,4,7,5,7,8,5,6
3885x44,5,5,5,5,7,4,7,4,4,5
3910x4988,5,5,6,4,7,5,7,5,5,6
3906x162,4,6,5,5,6,4,6,6,4,5
3935x1658,5,5,6,4,7,5,7,8,5,6
3949x2550,7,5,6,4,7,3,5,4,5,6
3929x866,5,5,6,4,7,5,7,4,5,6
3942x5852,5,5,6,4,7,5,7,8,5,6
3921x521,5,5,5,5,7,5,7,6,5,5
3946x3418,4,5,5,5,6,4,7,4,5,5
4046x6156,5,5,6,4,7,5,7,8,5,6
4010x2199,7,8,7,4,5,3,5,4,5,6
4011x1856,5,5,6,4,7,5,7,8,5,6
4104x3176,5,5,6,4,7,5,7,4,5,6
4110x3916,5,5,6,4,7,5,7,4,5,6
4148x4731,5,5,6,4,7,5,7,4,5,6
4134x2938,5,5,6,4,7,5,7,4,5,6
4193x1414,5,5,6,4,7,5,7,4,5,6
4111x1126,5,5,6,4,7,5,7,4,5,6
4147x817,5,5,6,4,7,5,7,4,5,6
4170x5234,5,5,6,4,7,5,7,8,5,6
4193x581,5,5,6,4,7,5,7,4,5,6
4177x391,6,7,6,4,8,4,7,4,5,6
4222x6445,5,5,6,4,7,5,7,8,5,6
4264x3064,5,5,6,4,7,5,7,4,5,6
4317x2949,5,5,6,4,7,5,7,4,5,6
4251x3369,7,5,7,6,5,3,5,4,5,4
