sample	seed	ari_value
20180417_BZ5_control	0	0.20611598080392504
20180417_BZ5_control	1	0.2155307417572619
20180417_BZ5_control	2	0.20423998616132158
20180417_BZ5_control	3	0.17318890659641276
20180417_BZ5_control	4	0.19892304093479662
20180417_BZ5_control	5	0.20695302732282567
20180417_BZ5_control	6	0.17651349925984974
20180417_BZ5_control	7	0.17801515604528295
20180417_BZ5_control	8	0.22402212857147455
20180417_BZ5_control	9	0.2232488036922591
20180419_BZ9_control	0	0.2231577631475199
20180419_BZ9_control	1	0.24422589668290867
20180419_BZ9_control	2	0.27016191563599024
20180419_BZ9_control	3	0.2639161368990405
20180419_BZ9_control	4	0.24219568594746688
20180419_BZ9_control	5	0.21332227816814262
20180419_BZ9_control	6	0.221664187960364
20180419_BZ9_control	7	0.22717798838025677
20180419_BZ9_control	8	0.26205897205840806
20180419_BZ9_control	9	0.22771436623732488
20180424_BZ14_control	0	0.19708705050428368
20180424_BZ14_control	1	0.1992855320802032
20180424_BZ14_control	2	0.1579243188959797
20180424_BZ14_control	3	0.19947351135797425
20180424_BZ14_control	4	0.22695180800731143
20180424_BZ14_control	5	0.19630828515182747
20180424_BZ14_control	6	0.2250848019054143
20180424_BZ14_control	7	0.21522481548712044
20180424_BZ14_control	8	0.17850218604829837
20180424_BZ14_control	9	0.206936376933281
