,20180417_BZ5_control_0,20180417_BZ5_control_1,20180417_BZ5_control_2,20180417_BZ5_control_3,20180417_BZ5_control_4,20180417_BZ5_control_5,20180417_BZ5_control_6,20180417_BZ5_control_7,20180417_BZ5_control_8,20180417_BZ5_control_9
69x4486,4,2,1,4,1,1,4,1,1,1
93x1063,1,10,2,8,1,9,7,5,1,9
143x3445,3,3,1,3,4,2,2,3,3,4
88x4092,4,2,1,4,1,1,4,5,1,1
120x4293,4,2,1,4,1,1,4,1,1,1
104x2648,2,3,3,2,2,2,2,2,2,2
105x2425,2,3,3,2,2,2,2,2,2,2
146x5387,3,4,4,3,3,3,3,3,3,3
107x3104,3,3,1,3,3,2,2,3,3,4
127x3822,4,2,1,4,4,2,4,3,3,4
259x4507,4,2,1,4,1,1,4,3,1,1
210x2935,3,3,3,2,2,2,2,2,2,2
241x3271,3,3,1,3,3,2,2,3,3,4
239x2631,2,3,3,2,2,2,2,2,2,2
281x3080,3,3,1,3,3,2,2,3,3,4
224x3566,3,2,1,4,4,2,4,3,3,4
221x4872,3,4,4,3,3,3,3,3,3,3
290x5270,3,4,4,3,3,3,3,3,3,3
276x5435,3,4,4,3,3,3,3,3,3,3
321x3949,4,2,1,4,4,1,4,5,1,4
339x2790,2,3,3,2,2,2,2,2,2,2
317x5119,3,4,4,3,3,3,3,3,3,3
342x5600,3,4,4,3,3,3,3,3,3,3
352x2563,2,3,3,2,2,2,2,2,2,2
372x1693,5,6,6,1,6,1,1,1,3,6
311x2357,2,3,3,2,2,2,2,2,2,2
385x5503,3,4,4,3,3,3,3,3,3,3
396x4972,3,4,4,3,3,3,3,3,3,3
388x5349,3,4,4,3,3,3,3,3,3,3
402x1331,5,2,1,1,1,1,1,1,3,6
409x4543,4,2,1,4,1,1,4,3,1,1
413x5757,3,4,4,3,3,3,3,3,3,3
393x4808,3,4,4,3,3,3,3,3,3,3
446x5944,4,5,5,4,5,4,5,4,4,5
462x5091,3,4,4,3,3,3,3,3,3,3
482x5413,3,4,4,3,3,3,3,3,3,3
482x5581,3,4,4,3,3,3,3,3,3,3
461x3050,3,3,1,3,3,2,2,3,3,4
471x5246,3,4,4,3,3,3,3,3,3,3
526x5768,3,4,4,3,3,3,3,3,3,3
555x1786,5,6,6,1,6,1,1,1,3,6
563x5971,4,5,5,4,5,4,5,4,4,5
526x6243,4,5,5,4,5,4,5,4,4,5
548x6495,4,5,5,4,5,4,5,4,4,5
554x6386,4,5,5,4,5,4,5,4,4,5
558x5137,3,4,4,3,3,3,3,3,3,3
561x6118,4,5,5,4,5,4,5,4,4,5
581x4471,4,2,1,4,1,1,4,3,1,1
599x5622,3,4,4,3,3,3,3,3,3,3
604x5412,3,4,4,3,3,3,3,3,3,3
598x6567,4,5,5,4,5,4,5,4,4,5
578x286,1,2,2,4,1,1,1,1,1,1
616x5239,3,4,4,3,3,3,3,3,3,3
652x6228,4,5,5,4,5,4,5,4,4,5
705x1715,5,6,6,1,6,1,1,1,3,6
732x5330,3,4,4,3,3,3,3,3,3,3
835x5264,3,4,1,3,3,3,3,3,3,3
871x1075,1,2,1,4,4,3,4,1,3,4
847x241,1,2,2,4,1,1,1,1,1,1
887x5359,3,4,1,3,3,3,3,3,3,3
949x787,1,2,1,4,4,3,4,1,3,4
906x2244,1,10,2,8,11,6,1,1,1,1
898x92,1,2,2,4,1,1,1,1,1,1
1023x284,1,2,2,4,1,1,1,1,1,1
1022x5565,3,4,1,3,3,3,5,3,3,6
1107x4892,1,1,2,1,1,1,1,1,1,1
1155x352,1,2,2,4,1,1,1,1,1,1
1219x6017,1,6,2,6,6,1,6,1,5,1
1225x5122,1,1,2,1,1,1,1,1,1,1
