,20180419_BZ9_control_0,20180419_BZ9_control_1,20180419_BZ9_control_2,20180419_BZ9_control_3,20180419_BZ9_control_4,20180419_BZ9_control_5,20180419_BZ9_control_6,20180419_BZ9_control_7,20180419_BZ9_control_8,20180419_BZ9_control_9
44x5377,1,1,1,1,1,1,1,1,1,1
68x4194,1,9,1,1,1,1,1,1,1,1
84x5959,1,1,1,1,1,1,1,1,1,1
80x5764,1,1,1,1,1,1,1,1,1,1
114x1974,2,2,2,2,2,2,2,2,2,2
168x531,13,1,1,1,1,1,1,1,1,1
185x4559,1,9,1,1,1,1,1,1,1,1
177x3654,11,11,9,11,11,12,12,12,12,13
241x2001,2,2,2,2,2,2,2,2,2,2
270x3116,8,3,1,5,1,5,1,3,1,11
309x5302,1,1,1,1,1,1,1,1,1,1
275x628,1,1,1,1,1,1,1,1,1,1
294x5628,1,1,1,1,1,1,1,1,1,1
349x1994,2,2,2,2,2,2,2,2,2,2
377x4455,11,9,1,1,1,1,1,1,1,1
410x1893,2,2,2,2,2,2,2,2,2,2
387x3267,1,1,1,1,1,1,1,1,1,1
476x669,1,1,1,1,1,1,1,1,1,1
446x1536,7,2,2,2,2,2,8,2,7,2
485x1779,2,2,2,2,2,2,2,2,2,2
501x2036,2,2,2,2,2,2,2,2,2,2
527x937,1,1,1,1,1,1,1,1,1,1
450x4160,1,9,1,1,1,1,1,1,1,1
548x4572,1,9,1,1,1,1,1,1,1,1
544x2540,1,1,1,1,1,1,1,1,1,1
591x3577,1,1,1,1,1,1,1,1,1,1
603x6364,1,1,1,1,1,1,1,1,1,1
651x4418,11,9,1,1,1,1,1,1,1,1
663x2654,1,1,1,1,1,1,1,1,1,1
665x5629,1,1,1,1,1,1,1,1,1,1
852x3642,1,1,1,1,1,1,1,1,1,1
1085x4223,1,1,1,1,1,1,1,1,1,1
1110x6096,1,1,1,1,1,1,1,1,1,1
1139x5599,1,1,1,1,1,1,1,1,1,1
1120x5436,1,1,1,1,1,1,1,1,1,1
1184x4281,1,1,1,1,1,1,1,1,1,1
1126x4550,1,1,1,1,1,1,1,1,1,1
1151x6524,1,1,1,1,1,1,1,1,1,1
1177x1565,7,7,3,7,8,3,8,8,7,7
1187x4426,1,1,1,1,1,1,1,1,1,1
1180x5746,1,1,1,1,1,1,1,1,1,1
1180x5077,1,1,1,1,1,1,1,1,1,1
1205x5367,1,1,1,1,1,1,1,1,1,1
1184x3703,1,1,1,1,1,1,1,1,1,1
1187x3879,1,1,1,1,1,1,1,1,1,1
1229x3321,1,1,1,1,1,1,1,1,1,1
1212x1071,7,7,3,7,8,3,8,8,1,7
1214x1248,7,7,3,7,8,3,8,8,7,7
1224x2691,7,7,3,1,8,3,8,8,7,7
1215x2845,7,1,3,1,1,1,8,1,1,1
1221x2460,7,7,3,7,8,3,8,8,7,7
1252x828,7,7,3,7,2,3,6,8,1,7
1261x3491,1,1,1,1,1,1,1,1,1,1
1299x2992,1,1,1,1,1,1,1,1,1,1
1244x1819,7,7,3,7,8,3,8,8,7,7
1271x2371,7,7,3,7,8,3,8,8,7,7
1339x4144,1,1,1,1,1,1,1,1,1,1
1324x1018,7,7,3,7,8,3,8,8,7,7
1361x2480,7,7,3,7,8,3,8,8,7,7
1348x1921,7,7,3,7,8,3,8,8,7,7
1644x997,7,7,3,7,8,3,8,8,7,7
1778x1015,7,7,3,7,8,3,8,8,7,7
1807x1991,2,7,3,7,2,3,2,8,7,7
1787x4503,1,1,1,1,1,1,1,1,1,1
1878x6520,10,14,1,10,10,11,2,1,1,12
1989x1653,2,7,3,7,2,3,2,12,1,7
1963x1937,2,7,3,7,2,3,2,8,7,7
2114x1968,2,7,3,7,2,3,2,8,7,7
2100x5513,11,11,9,11,11,12,11,12,12,13
2169x1422,1,3,1,4,1,1,1,12,1,10
2201x2033,2,7,3,7,2,3,2,8,7,7
2196x3567,1,1,16,1,1,1,1,1,1,1
2316x578,1,1,1,1,1,1,1,1,1,1
2336x4662,7,7,8,7,10,11,6,11,7,12
2359x1998,2,7,1,7,2,3,2,1,1,7
2440x5942,11,8,4,5,6,12,4,4,8,4
2494x1911,2,7,1,1,2,3,2,1,1,7
2512x6574,3,4,5,3,5,5,3,3,3,3
2533x2102,2,7,1,1,2,3,2,1,1,7
2613x5940,4,8,7,5,6,6,4,5,4,4
2576x2620,3,4,1,3,1,5,1,3,3,3
2591x6509,3,4,5,3,5,5,3,3,3,3
2600x752,1,1,1,1,1,1,1,1,1,1
2635x3853,3,5,7,4,9,10,5,5,4,11
2610x5600,4,8,7,5,4,6,10,5,4,4
2690x5500,4,5,7,4,4,6,10,1,4,5
2697x2166,2,7,1,1,2,1,2,1,1,1
2770x3565,3,8,7,4,4,10,3,5,4,11
2748x217,1,1,1,1,1,1,1,1,1,1
2875x491,1,1,1,1,1,1,1,1,1,1
2753x4334,3,4,5,3,5,5,3,3,3,3
2803x6419,3,4,5,3,5,5,3,3,3,3
2866x125,1,1,1,1,1,1,1,1,1,1
2880x4466,3,4,5,3,5,5,3,3,3,3
2916x5260,4,4,7,3,4,6,5,3,1,5
2927x4651,3,4,5,3,5,5,3,3,3,3
2926x2674,3,4,5,3,5,5,3,3,3,3
2960x6102,3,4,5,3,5,5,3,3,3,3
2973x5110,4,4,7,3,4,5,9,3,1,5
3025x3692,3,4,5,3,5,5,3,3,3,3
3074x5257,4,4,7,3,4,5,3,3,3,5
3080x5841,3,4,5,3,5,5,3,3,3,3
3126x2749,3,4,5,3,5,5,3,3,3,3
3071x3935,3,4,5,3,5,5,3,3,3,3
3096x4369,3,4,5,3,5,5,3,3,3,3
3120x1105,3,4,8,3,9,5,13,3,3,13
3122x4726,3,4,5,3,5,5,3,3,3,3
3111x6412,3,4,5,3,5,5,3,3,3,3
3084x3109,3,4,5,3,5,5,3,3,3,3
3166x5661,3,4,5,3,5,5,3,3,3,3
3203x1510,3,4,5,3,5,5,3,3,3,3
3148x2309,12,13,7,9,10,11,10,11,11,12
3222x5513,4,4,5,3,5,5,3,3,3,3
3197x2950,3,4,5,3,5,5,3,3,3,3
3214x5916,3,4,5,3,5,5,3,3,3,3
3218x4490,3,4,5,3,5,5,3,3,3,3
3228x5280,4,4,5,3,5,5,3,3,3,5
3270x4186,3,4,5,3,5,5,3,3,3,3
3300x4308,3,4,5,3,5,5,3,3,3,3
3260x3440,3,4,5,3,5,5,3,3,3,3
3324x4576,3,4,5,3,5,5,3,3,3,3
3301x3734,3,4,5,3,5,5,3,3,3,3
3320x6058,3,4,5,3,5,5,3,3,3,3
3352x4070,3,4,5,3,5,5,3,3,3,3
3335x5021,4,4,5,3,5,5,3,3,3,3
3359x1091,4,5,7,4,4,6,5,5,4,5
3323x6465,3,4,5,3,5,5,3,3,3,3
3364x5937,3,4,5,3,5,5,3,3,3,3
3359x5256,4,4,5,3,5,5,3,3,3,5
3362x3568,3,4,5,3,5,5,3,3,3,3
3385x6253,3,4,5,3,5,5,3,3,3,3
3383x5417,4,4,5,3,5,5,3,3,3,3
3414x4881,3,4,5,3,5,5,3,3,3,3
3386x1833,3,4,5,3,5,5,3,3,3,3
3389x3123,3,4,5,3,5,5,3,3,3,3
3416x4672,3,4,5,3,5,5,3,3,3,3
3411x5640,3,4,5,3,5,5,3,3,3,3
3427x4528,3,4,5,3,5,5,3,3,3,3
3453x878,4,5,7,4,4,6,5,5,4,5
3466x2740,3,4,5,3,5,5,3,3,3,3
3466x3930,3,4,5,3,5,5,3,3,3,3
3511x5866,3,4,5,3,5,5,3,3,3,3
3493x6025,3,4,5,3,5,5,3,3,3,3
