sample	seed	ari_value
20180417_BZ5_control	0	0.20389780996666385
20180417_BZ5_control	1	0.21492744242747866
20180417_BZ5_control	2	0.2094794901939206
20180417_BZ5_control	3	0.1762658155063293
20180417_BZ5_control	4	0.20041948205670554
20180417_BZ5_control	5	0.20650467856185592
20180417_BZ5_control	6	0.1870401182784033
20180417_BZ5_control	7	0.16912808047047068
20180417_BZ5_control	8	0.2243314236795568
20180417_BZ5_control	9	0.22688944901033506
20180419_BZ9_control	0	0.21466916743105263
20180419_BZ9_control	1	0.24309806563749875
20180419_BZ9_control	2	0.2637272051612464
20180419_BZ9_control	3	0.27456805238357807
20180419_BZ9_control	4	0.2372440864822239
20180419_BZ9_control	5	0.21344560191524353
20180419_BZ9_control	6	0.2317742996649408
20180419_BZ9_control	7	0.2230254670810781
20180419_BZ9_control	8	0.25825313243623776
20180419_BZ9_control	9	0.21850064786257492
20180424_BZ14_control	0	0.17405283707885236
20180424_BZ14_control	1	0.19736078533423104
20180424_BZ14_control	2	0.16232431873726255
20180424_BZ14_control	3	0.18495249926922927
20180424_BZ14_control	4	0.20717071130237996
20180424_BZ14_control	5	0.1945332800647588
20180424_BZ14_control	6	0.2227349592889972
20180424_BZ14_control	7	0.21147578806866055
20180424_BZ14_control	8	0.17878551590866218
20180424_BZ14_control	9	0.20555734683340207
