sample	seed	ari_value
20180417_BZ5_control	0	0.2152266287493617
20180417_BZ5_control	1	0.22005422276891423
20180417_BZ5_control	2	0.2158508177005346
20180417_BZ5_control	3	0.17363631165612825
20180417_BZ5_control	4	0.2008953814815437
20180417_BZ5_control	5	0.21409871949346151
20180417_BZ5_control	6	0.17743899635243854
20180417_BZ5_control	7	0.18674644126842443
20180417_BZ5_control	8	0.22726113347273338
20180417_BZ5_control	9	0.23192071977339504
20180419_BZ9_control	0	0.22330270805825694
20180419_BZ9_control	1	0.24838986367172705
20180419_BZ9_control	2	0.27473812115631796
20180419_BZ9_control	3	0.2674217767587946
20180419_BZ9_control	4	0.24183674715884457
20180419_BZ9_control	5	0.25473872423190114
20180419_BZ9_control	6	0.2448030456644223
20180419_BZ9_control	7	0.22148969492562315
20180419_BZ9_control	8	0.25978582406311934
20180419_BZ9_control	9	0.24501028919616627
20180424_BZ14_control	0	0.2117675618422329
20180424_BZ14_control	1	0.19952926443256164
20180424_BZ14_control	2	0.1624990050557153
20180424_BZ14_control	3	0.20542048590693013
20180424_BZ14_control	4	0.20661088243067532
20180424_BZ14_control	5	0.19688773514806418
20180424_BZ14_control	6	0.20147117097117764
20180424_BZ14_control	7	0.2041853486219135
20180424_BZ14_control	8	0.2251873728219105
20180424_BZ14_control	9	0.20557783423632103
