"","BayesSpace_1","BayesSpace_2","BayesSpace_3","BayesSpace_4","BayesSpace_5","BayesSpace_6","BayesSpace_7","BayesSpace_8","BayesSpace_9","BayesSpace_10"
"1",1,1,1,1,1,1,1,1,1,1
"2",6,4,6,6,4,6,6,4,6,6
"3",3,3,3,3,3,3,3,3,3,3
"4",6,4,4,6,4,6,6,4,6,6
"5",6,4,4,6,4,6,6,4,6,6
"6",3,3,3,3,3,3,3,3,3,3
"7",3,3,3,3,3,3,3,3,3,3
"8",6,4,4,6,4,6,6,4,6,6
"9",3,3,3,3,3,3,3,3,3,3
"10",3,3,3,3,3,3,3,3,3,3
"11",3,3,3,3,3,3,3,3,3,3
"12",3,3,3,3,3,3,3,3,3,3
"13",3,3,3,3,3,3,3,3,3,3
"14",3,3,3,3,3,3,3,3,3,3
"15",3,3,3,3,3,3,3,3,3,3
"16",3,3,3,3,3,3,3,3,3,3
"17",6,4,4,6,4,6,6,4,6,6
"18",3,3,3,3,3,3,3,3,3,3
"19",3,3,3,3,3,3,3,3,3,3
"20",2,6,2,4,6,4,4,6,4,2
"21",3,3,3,3,3,3,3,3,3,3
"22",3,3,3,3,3,3,3,3,3,3
"23",3,3,3,3,3,3,3,3,3,3
"24",3,3,3,3,3,3,3,3,3,3
"25",1,1,1,1,1,1,1,1,1,1
"26",3,3,3,3,3,3,3,3,3,3
"27",3,3,3,3,3,3,3,3,3,3
"28",3,3,3,3,3,3,3,3,3,3
"29",1,1,1,1,1,1,1,1,1,1
"30",4,4,4,6,4,6,6,4,6,6
"31",6,4,6,6,6,6,6,4,6,6
"32",6,4,4,6,4,6,6,4,6,6
"33",3,4,4,3,4,3,3,3,3,3
"34",3,3,3,3,3,3,3,3,3,3
"35",3,3,3,3,3,3,3,3,3,3
"36",3,3,3,3,3,3,3,3,3,3
"37",3,3,3,3,3,3,3,3,3,3
"38",4,5,4,4,4,4,4,2,4,4
"39",3,3,3,3,3,3,3,3,3,3
"40",6,4,6,6,6,6,6,4,6,6
"41",1,1,1,1,1,1,1,1,1,1
"42",1,1,1,1,1,1,1,1,1,1
"43",1,1,1,1,1,1,1,1,1,1
"44",1,1,1,1,1,1,1,1,1,1
"45",1,1,1,1,1,1,1,1,1,1
"46",3,3,3,3,3,3,3,3,3,3
"47",6,4,6,6,4,6,6,4,6,6
"48",3,3,3,3,3,3,3,3,3,3
"49",3,3,3,3,3,3,3,3,3,3
"50",3,3,3,3,3,3,3,3,3,3
"51",1,1,1,1,1,1,1,1,1,1
"52",2,6,2,4,6,4,4,6,4,2
"53",3,3,3,3,3,3,3,3,3,3
"54",6,4,6,6,6,6,6,4,6,6
"55",1,1,1,1,1,1,1,1,1,1
"56",1,1,1,1,1,1,1,1,1,1
"57",3,3,3,3,3,3,3,3,3,3
"58",6,4,3,6,4,6,6,4,6,6
"59",6,4,4,6,4,6,6,4,6,6
"60",1,1,1,1,1,1,1,1,1,1
"61",6,4,4,6,4,6,6,4,6,6
"62",2,6,2,4,6,4,4,6,4,2
"63",6,4,6,6,6,6,6,4,6,6
"64",3,3,3,3,3,3,3,3,3,3
"65",6,4,4,6,4,6,6,4,6,6
"66",1,1,1,1,1,1,1,1,1,1
"67",3,3,3,3,3,3,3,3,3,3
"68",2,6,2,4,4,4,4,6,4,2
"69",6,4,6,6,4,6,6,4,6,6
"70",6,4,4,6,4,6,6,4,6,6
"71",10,10,10,10,10,10,10,10,10,10
"72",1,1,1,1,1,1,1,1,1,1
"73",6,4,4,6,4,6,6,4,6,6
"74",11,11,11,11,11,11,11,11,11,11
"75",6,4,6,6,6,6,6,4,6,6
"76",10,10,10,10,10,10,10,10,10,10
"77",4,5,4,4,5,4,4,2,4,4
"78",6,4,6,6,4,6,6,4,6,6
"79",4,5,2,4,5,4,4,2,4,4
"80",11,11,11,11,11,11,11,11,11,11
