"","BayesSpace_1","BayesSpace_2","BayesSpace_3","BayesSpace_4","BayesSpace_5","BayesSpace_6","BayesSpace_7","BayesSpace_8","BayesSpace_9","BayesSpace_10"
"1",7,7,7,7,7,7,7,7,7,7
"2",2,1,1,1,2,2,1,2,1,3
"3",1,4,4,4,4,1,4,1,8,1
"4",4,4,4,4,4,1,4,4,4,4
"5",8,8,8,8,8,8,8,8,3,8
"6",6,6,6,6,6,6,6,6,6,6
"7",2,2,2,2,2,2,2,2,2,2
"8",6,6,6,6,6,6,6,6,6,6
"9",8,8,8,8,8,8,8,8,3,8
"10",6,6,6,6,6,6,6,6,6,6
"11",1,4,4,4,4,1,4,1,8,1
"12",6,6,6,6,6,6,6,6,6,6
"13",7,7,7,7,7,7,7,7,7,7
"14",8,8,8,8,8,8,8,8,3,8
"15",2,2,2,2,2,2,2,2,2,2
"16",8,8,8,8,8,8,8,8,3,8
"17",7,7,7,7,7,7,7,7,7,7
"18",1,4,4,4,4,1,4,1,8,1
"19",8,8,8,8,8,8,8,8,3,8
"20",5,5,5,5,5,5,5,5,5,5
"21",8,8,8,8,8,8,8,8,3,8
"22",7,7,7,7,7,7,7,7,7,7
"23",4,6,6,6,4,6,6,4,4,4
"24",6,6,6,6,6,6,6,6,6,6
"25",7,7,7,7,7,7,7,7,7,7
"26",1,4,4,4,4,1,4,1,8,1
"27",4,7,7,7,7,7,7,7,4,4
"28",1,4,4,4,4,1,4,1,8,1
"29",6,6,6,6,6,6,6,6,6,6
"30",6,6,6,6,6,6,6,6,6,6
"31",4,7,7,7,7,7,7,4,4,4
"32",7,7,7,7,7,7,7,7,7,7
"33",7,7,7,7,7,7,7,7,7,7
"34",10,10,10,10,10,10,10,10,10,10
"35",10,7,10,7,7,7,10,10,10,10
"36",1,4,4,4,4,1,4,1,8,1
"37",1,4,4,4,4,1,4,1,8,1
"38",1,4,4,4,4,1,4,1,8,1
"39",8,8,8,8,8,8,8,8,3,8
"40",4,9,8,9,9,9,9,9,4,4
"41",10,7,10,7,7,10,10,10,10,10
"42",8,8,8,8,8,8,8,8,3,8
"43",10,7,10,7,7,10,10,10,10,10
"44",10,10,10,10,10,10,10,10,10,10
"45",8,1,1,1,8,8,1,8,1,3
"46",1,4,4,4,4,1,4,1,8,1
"47",8,8,8,8,8,8,8,8,3,8
"48",8,8,8,8,8,8,8,8,3,8
"49",6,6,6,6,6,6,6,6,6,6
"50",10,10,10,10,10,10,10,10,10,10
"51",8,8,8,8,8,8,8,8,3,8
"52",12,1,1,1,12,12,1,12,1,3
"53",4,4,4,4,4,1,4,1,8,4
"54",7,7,7,7,7,7,7,7,7,7
"55",5,5,5,5,5,5,5,5,5,5
"56",8,8,8,8,8,8,8,8,3,8
"57",2,2,2,2,2,2,2,2,2,2
"58",8,8,8,8,8,8,8,8,3,8
"59",8,8,8,8,8,8,8,8,3,8
"60",5,5,5,5,5,5,5,5,5,5
"61",5,5,5,5,5,5,5,5,5,5
"62",8,8,8,8,8,8,8,8,3,8
"63",5,5,5,5,5,5,5,5,5,5
"64",7,7,7,7,7,7,7,7,7,7
"65",4,4,4,4,4,1,4,1,4,4
"66",3,3,13,13,1,3,13,3,13,13
"67",8,8,8,8,8,8,8,8,3,8
"68",5,5,5,5,5,5,5,5,5,5
"69",6,6,6,6,6,6,6,6,6,6
"70",1,4,4,4,4,1,4,1,8,1
"71",8,8,5,8,5,8,8,8,3,8
"72",2,2,2,2,2,2,2,2,2,2
"73",6,6,6,6,6,6,6,6,6,6
"74",8,8,8,8,8,8,8,8,3,8
"75",8,8,8,8,8,8,8,8,3,8
"76",7,7,7,7,7,7,7,7,7,7
"77",7,7,7,7,7,7,7,7,7,7
"78",12,12,12,12,12,12,12,12,12,12
"79",8,8,8,8,8,8,8,8,3,8
"80",14,14,14,14,14,14,14,14,14,14
"81",6,6,6,6,6,6,6,6,6,6
"82",10,10,10,10,10,10,10,10,10,10
"83",1,4,4,4,4,1,4,1,8,1
"84",15,15,15,15,15,15,15,15,15,15
"85",9,9,9,9,9,9,9,9,9,2
"86",4,4,4,4,4,4,4,4,4,4
"87",4,4,4,4,4,1,4,1,4,4
"88",14,14,14,14,14,14,14,14,14,14
"89",6,6,6,6,6,6,6,6,6,6
"90",8,8,8,8,8,8,8,8,3,8
"91",9,9,9,9,9,9,9,9,9,9
