"","BayesSpace_1","BayesSpace_2","BayesSpace_3","BayesSpace_4","BayesSpace_5","BayesSpace_6","BayesSpace_7","BayesSpace_8","BayesSpace_9","BayesSpace_10"
"1",7,7,7,7,7,7,7,7,7,7
"2",19,2,19,2,2,2,2,1,1,19
"3",1,1,4,1,1,1,1,9,4,9
"4",4,4,4,4,4,4,4,9,4,9
"5",9,9,9,9,9,9,9,4,9,4
"6",6,6,6,6,6,6,6,6,6,6
"7",2,2,2,2,2,2,2,2,2,2
"8",8,8,8,8,8,8,8,8,8,8
"9",9,9,9,9,9,9,9,4,9,4
"10",6,6,6,6,6,6,6,6,6,6
"11",1,1,4,1,1,1,1,9,4,9
"12",6,6,6,6,6,6,6,6,6,6
"13",7,7,7,7,7,7,7,7,7,7
"14",9,9,9,9,9,9,9,4,9,4
"15",2,2,2,2,2,2,2,9,2,2
"16",9,9,9,9,9,9,9,4,9,4
"17",7,7,7,7,7,7,7,7,7,7
"18",1,1,4,1,1,1,1,9,4,9
"19",9,9,9,9,9,9,9,4,9,4
"20",5,5,5,5,5,5,5,5,5,5
"21",9,9,9,9,9,9,9,4,9,4
"22",7,7,7,7,7,7,7,7,7,7
"23",4,4,6,4,4,4,4,6,6,6
"24",6,6,6,6,6,6,6,6,6,6
"25",7,7,7,7,7,7,7,7,7,7
"26",1,1,4,1,1,1,1,9,4,9
"27",4,4,7,4,4,4,4,7,7,7
"28",1,1,4,1,1,1,1,9,4,9
"29",6,6,6,6,6,6,6,6,6,6
"30",6,6,6,6,6,6,6,6,6,6
"31",4,4,7,4,4,4,7,7,7,7
"32",7,7,7,7,7,7,7,7,7,7
"33",7,7,7,7,7,7,7,7,7,7
"34",11,11,11,11,11,11,11,11,11,11
"35",7,7,7,7,7,7,7,7,7,7
"36",1,1,4,1,1,1,1,9,4,9
"37",1,1,4,1,1,1,1,9,4,9
"38",1,1,4,1,1,1,1,9,4,9
"39",9,9,9,9,9,9,9,4,9,4
"40",4,4,10,4,4,4,4,10,10,10
"41",7,11,7,7,7,11,11,7,11,7
"42",9,9,9,9,9,9,9,4,9,4
"43",11,11,7,7,7,11,7,7,11,7
"44",11,11,11,11,11,11,11,11,11,11
"45",19,9,19,9,9,9,9,1,1,19
"46",1,1,4,1,1,1,1,9,4,9
"47",9,9,9,9,9,9,9,4,9,4
"48",9,9,9,9,9,9,9,4,9,4
"49",6,6,6,6,6,6,6,6,6,6
"50",11,11,11,11,11,11,11,11,11,11
"51",9,9,9,9,9,9,9,4,9,4
"52",19,13,19,13,13,3,13,1,1,19
"53",4,4,4,4,4,4,4,9,4,9
"54",7,7,7,7,7,7,7,7,7,7
"55",5,5,5,5,5,5,5,5,5,5
"56",9,9,9,9,9,9,9,4,9,4
"57",2,2,2,2,2,2,2,2,2,2
"58",9,9,9,9,9,9,9,4,9,4
"59",9,9,9,9,9,9,9,4,9,4
"60",5,5,5,5,5,5,5,5,5,5
"61",5,5,5,5,5,5,5,5,5,5
"62",9,9,9,9,9,9,9,4,9,4
"63",5,5,5,5,5,5,5,5,5,5
"64",7,7,7,7,7,7,7,7,7,7
"65",4,4,4,4,4,4,4,9,4,9
"66",3,3,1,3,3,17,3,3,17,17
"67",9,9,9,9,9,9,9,4,9,4
"68",5,5,5,5,5,5,5,5,5,5
"69",8,8,8,8,8,8,8,8,8,8
"70",1,1,4,1,1,1,1,9,4,9
"71",9,9,9,5,5,5,9,4,5,4
"72",2,2,2,2,2,2,2,2,2,2
"73",6,6,6,6,6,6,6,6,6,6
"74",9,9,9,9,9,9,9,4,9,4
"75",9,9,9,9,9,9,9,4,9,4
"76",7,7,7,7,7,7,7,7,7,7
"77",7,7,7,7,7,7,7,7,7,7
"78",13,13,13,13,13,13,13,13,13,13
"79",4,4,9,4,4,4,4,4,9,4
"80",15,15,15,15,15,15,15,15,15,15
"81",6,6,6,6,6,6,6,6,6,6
"82",11,11,11,11,11,11,11,11,11,11
"83",1,1,4,1,1,1,1,9,4,9
"84",16,16,16,16,16,16,16,16,16,16
"85",10,10,10,10,10,10,10,10,10,10
"86",4,4,18,4,4,4,4,18,18,9
"87",4,4,4,4,4,4,4,9,4,9
"88",15,15,15,15,15,15,15,15,15,15
"89",6,6,6,6,6,6,6,6,6,6
"90",9,9,9,9,9,9,9,4,9,4
"91",10,10,10,10,10,10,10,10,10,10
"92",10,10,10,10,10,10,10,10,10,10
