"","BayesSpace_1","BayesSpace_2","BayesSpace_3","BayesSpace_4","BayesSpace_5","BayesSpace_6","BayesSpace_7","BayesSpace_8","BayesSpace_9","BayesSpace_10"
"1",1,1,3,1,3,1,1,1,1,3
"2",7,7,7,7,7,7,7,1,7,7
"3",3,3,3,3,3,3,3,3,3,3
"4",3,3,3,3,3,3,3,3,3,3
"5",4,4,4,4,4,4,4,4,4,4
"6",5,5,5,5,5,5,5,5,5,5
"7",1,1,3,1,3,1,1,1,1,3
"8",5,5,5,5,5,5,5,5,5,5
"9",4,4,4,4,4,4,4,4,4,4
"10",5,5,5,5,5,5,5,5,5,5
"11",3,3,3,3,3,3,3,3,3,3
"12",5,5,5,5,5,5,5,5,5,5
"13",1,1,3,1,3,1,1,1,1,3
"14",4,4,4,4,4,4,4,4,4,4
"15",3,3,3,3,3,3,3,3,3,3
"16",4,4,4,4,4,4,4,4,4,4
"17",1,1,2,1,2,1,1,2,1,2
"18",3,3,3,3,3,3,3,3,3,3
"19",4,4,4,4,4,4,4,4,4,4
"20",4,4,4,4,4,4,4,4,4,4
"21",4,4,4,4,4,4,4,4,4,4
"22",1,1,3,1,3,1,1,3,1,3
"23",5,5,5,5,5,5,5,5,5,5
"24",5,5,5,5,5,5,5,5,5,5
"25",1,1,3,1,3,1,1,3,1,3
"26",3,3,3,3,3,3,3,3,3,3
"27",3,3,3,3,3,3,3,3,3,3
"28",3,3,3,3,3,3,3,3,3,3
"29",5,5,5,5,5,5,5,5,5,5
"30",5,5,5,5,5,5,5,5,5,5
"31",3,3,3,3,3,3,3,3,3,3
"32",1,1,3,1,3,1,1,6,1,3
"33",1,1,3,1,3,1,1,1,1,3
"34",2,2,2,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,2,2,2
"36",3,3,3,3,3,3,3,3,3,3
"37",3,3,3,3,3,3,3,3,3,8
"38",3,3,3,3,3,3,3,3,3,3
"39",4,4,4,4,4,4,4,4,4,4
"40",3,3,6,3,6,3,3,3,3,6
"41",1,1,2,1,2,2,2,2,1,2
"42",3,3,3,3,4,3,3,3,3,4
"43",2,2,2,2,2,2,2,2,2,2
"44",2,2,2,2,2,2,2,2,2,2
"45",6,6,6,6,6,6,6,6,6,6
"46",3,3,3,3,3,3,3,3,3,3
"47",3,3,4,3,4,3,3,3,3,4
"48",4,4,4,4,4,4,4,4,4,4
"49",5,5,5,5,5,5,5,5,5,5
"50",2,2,2,2,2,2,2,2,2,2
"51",4,4,4,4,4,4,4,4,4,4
"52",7,7,7,7,7,7,7,7,7,7
"53",3,3,3,3,2,3,3,3,3,2
"54",1,1,3,1,3,1,1,1,1,3
"55",4,4,4,4,4,4,4,4,4,4
"56",4,4,4,4,4,4,4,4,4,4
"57",1,1,3,1,3,1,1,1,1,3
"58",4,4,4,4,4,4,4,4,4,4
"59",4,4,4,4,4,4,4,4,4,4
"60",4,4,4,4,4,4,4,4,4,4
"61",4,4,4,4,4,4,4,4,4,4
"62",4,4,4,4,4,4,4,4,4,4
"63",4,4,4,4,4,4,4,4,4,4
"64",1,1,1,1,3,1,1,1,1,3
"65",3,3,3,3,1,3,3,3,3,1
"66",8,8,8,8,8,8,8,8,8,8
"67",4,4,4,4,4,4,4,4,4,4
"68",4,4,4,4,4,4,4,4,4,4
"69",5,5,5,5,5,5,5,5,5,5
"70",3,3,3,3,3,3,3,3,3,3
"71",4,4,4,4,4,4,4,4,4,4
"72",1,1,1,1,3,1,1,1,1,3
"73",5,5,5,5,5,5,5,5,5,5
"74",4,4,4,4,4,4,4,4,4,4
"75",4,4,4,4,4,4,4,4,4,4
"76",1,1,3,1,3,1,1,1,1,3
"77",1,1,3,1,3,1,1,1,1,3
"78",7,7,7,7,7,7,7,7,7,7
"79",3,3,3,3,4,3,3,3,3,4
"80",9,9,9,9,9,9,9,9,9,9
