"","BayesSpace_1","BayesSpace_2","BayesSpace_3","BayesSpace_4","BayesSpace_5","BayesSpace_6","BayesSpace_7","BayesSpace_8","BayesSpace_9","BayesSpace_10"
"1",1,1,1,1,1,1,1,1,1,1
"2",2,2,2,2,2,2,2,2,2,2
"3",1,1,1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1,1
"5",2,2,2,2,2,2,2,2,2,2
"6",1,1,1,1,1,1,1,1,1,1
"7",1,1,1,1,1,1,1,1,1,1
"8",2,2,2,2,2,2,2,2,2,2
"9",1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,1
"11",1,1,1,1,1,1,1,1,1,1
"12",1,1,1,1,1,1,1,1,1,1
"13",1,1,1,1,1,1,1,1,1,1
"14",1,1,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,1,1,1,1,1
"16",1,1,1,1,1,1,1,1,1,1
"17",2,2,2,2,2,2,2,2,2,2
"18",1,1,1,1,1,1,1,1,1,1
"19",1,1,1,1,1,1,1,1,1,1
"20",10,10,10,10,10,10,10,10,10,10
"21",1,1,1,1,1,1,1,1,1,1
"22",1,1,1,1,1,1,1,1,1,1
"23",1,1,1,1,1,1,1,1,1,1
"24",1,1,1,1,1,1,1,1,1,1
"25",1,1,1,1,1,1,1,1,1,1
"26",1,1,1,1,1,1,1,1,1,1
"27",1,1,1,1,1,1,1,1,1,1
"28",1,1,1,1,1,1,1,1,1,1
"29",1,1,1,1,1,1,1,1,1,1
"30",2,2,2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2,3,2
"32",2,2,2,2,2,2,2,2,2,2
"33",1,1,1,1,1,1,1,1,1,1
"34",1,1,1,1,1,1,1,1,1,1
"35",1,1,1,1,1,1,1,1,1,1
"36",1,1,1,1,1,1,1,1,1,1
"37",1,1,1,1,1,1,1,1,1,1
"38",2,2,2,2,2,2,2,2,2,2
"39",1,1,1,1,1,1,1,1,1,1
"40",2,2,2,2,2,2,2,2,2,2
"41",1,1,1,1,1,1,1,1,1,1
