"","BayesSpace_1","BayesSpace_2","BayesSpace_3","BayesSpace_4","BayesSpace_5","BayesSpace_6","BayesSpace_7","BayesSpace_8","BayesSpace_9","BayesSpace_10"
"1",7,7,7,7,7,7,7,7,7,1
"2",1,2,2,2,2,2,2,2,2,2
"3",7,4,4,4,4,1,4,1,1,4
"4",7,4,4,4,4,1,4,1,1,4
"5",5,8,8,8,8,8,8,8,8,8
"6",6,6,6,6,6,6,6,6,6,6
"7",2,2,2,2,2,2,2,2,2,2
"8",6,6,6,6,6,6,6,6,6,6
"9",8,8,8,8,8,8,8,8,8,8
"10",6,6,6,6,6,6,6,6,6,6
"11",7,4,4,4,4,1,4,1,1,4
"12",6,6,6,6,6,6,6,6,6,6
"13",7,7,7,7,7,7,7,7,7,1
"14",8,8,8,8,8,8,8,8,8,8
"15",2,2,2,2,2,2,2,2,2,2
"16",8,8,8,8,8,8,8,8,8,8
"17",7,7,7,7,7,7,7,7,7,1
"18",7,4,4,4,4,1,4,1,1,4
"19",8,8,8,8,8,8,8,8,8,8
"20",5,5,5,5,5,5,5,5,5,5
"21",8,8,8,8,8,8,8,8,8,8
"22",7,7,7,7,7,7,7,7,7,1
"23",6,6,6,6,6,6,6,6,6,6
"24",6,6,6,6,6,6,6,6,6,6
"25",7,7,7,7,7,7,7,7,7,1
"26",7,4,4,4,4,1,4,1,1,4
"27",7,7,7,7,7,7,7,7,7,1
"28",8,4,4,4,4,1,4,1,1,4
"29",6,6,6,6,6,6,6,6,6,6
"30",6,6,6,6,6,6,6,6,6,6
"31",7,7,7,7,7,7,7,7,7,1
"32",7,7,7,7,7,7,7,7,7,1
"33",7,7,7,7,7,7,7,7,7,1
"34",10,10,10,10,10,10,10,10,10,10
"35",10,7,10,7,10,10,10,7,10,10
"36",8,4,4,4,4,1,4,1,1,4
"37",13,4,4,4,4,1,4,1,1,4
"38",7,4,4,4,4,1,4,1,1,4
"39",5,8,8,8,8,8,8,8,8,8
"40",8,9,9,9,9,9,9,9,9,9
"41",10,10,10,10,10,10,10,10,10,10
"42",8,8,8,8,8,8,8,8,8,8
"43",10,10,10,10,10,10,10,10,10,10
"44",10,10,10,10,10,10,10,10,10,10
"45",1,8,8,8,8,8,8,8,8,8
"46",7,4,4,4,4,1,4,1,1,4
"47",8,8,8,8,8,8,8,8,8,8
"48",5,8,8,8,8,8,8,8,8,8
"49",6,6,6,6,6,6,6,6,6,6
"50",10,10,10,10,10,10,10,10,10,10
"51",8,8,8,8,8,8,8,8,8,8
"52",1,12,12,12,12,12,12,12,12,12
"53",10,4,4,4,4,1,4,1,1,4
"54",7,7,7,7,7,7,7,7,7,1
"55",5,5,5,5,5,5,5,5,5,5
"56",5,8,8,8,8,8,8,8,8,8
"57",2,2,2,2,2,2,2,2,2,2
"58",8,8,8,8,8,8,8,8,8,8
