"","BayesSpace_1","BayesSpace_2","BayesSpace_3","BayesSpace_4","BayesSpace_5","BayesSpace_6","BayesSpace_7","BayesSpace_8","BayesSpace_9","BayesSpace_10"
"1",1,1,1,1,1,1,1,1,1,1
"2",2,2,2,2,2,2,2,2,2,2
"3",1,1,1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1,1
"5",5,5,5,5,5,5,5,5,5,5
"6",6,6,6,6,6,6,6,6,6,6
"7",2,2,2,2,2,2,2,2,2,2
"8",6,6,6,6,6,6,6,6,6,6
"9",4,4,5,4,4,4,4,4,4,4
"10",6,6,6,6,6,6,6,6,6,6
"11",1,1,1,1,1,1,1,1,1,1
"12",6,6,6,6,6,6,6,6,6,6
"13",1,1,1,1,1,1,1,1,1,1
"14",4,4,4,4,4,4,4,4,4,4
"15",2,2,2,2,2,2,2,2,2,2
"16",4,4,5,4,4,4,4,4,4,4
"17",1,1,1,1,1,1,1,1,1,1
"18",1,1,4,4,1,1,1,1,1,1
"19",5,5,5,5,5,4,4,5,5,4
"20",5,5,5,5,5,5,5,5,5,5
"21",4,4,4,4,4,4,4,4,4,4
"22",1,1,1,1,1,1,1,1,1,1
"23",6,6,6,6,6,6,6,6,6,6
"24",6,6,6,6,6,6,6,6,6,6
"25",1,1,1,1,1,1,1,1,1,1
"26",1,1,1,1,1,1,1,1,1,1
"27",1,1,1,1,1,1,1,1,1,1
"28",4,4,4,4,4,4,4,4,4,4
"29",6,6,6,6,6,6,6,6,6,6
"30",6,6,6,6,6,6,6,6,6,6
"31",1,1,1,1,1,1,1,1,1,1
"32",1,1,1,1,1,1,1,1,1,1
"33",1,1,1,1,1,1,1,1,1,1
"34",9,9,9,9,9,9,9,9,9,9
"35",9,9,9,9,9,9,9,9,9,9
"36",4,4,4,4,4,4,4,4,4,4
"37",11,11,4,11,11,11,11,11,11,11
"38",1,1,1,1,1,1,1,1,1,1
"39",5,5,5,5,5,5,5,5,5,5
"40",4,4,4,4,4,4,4,4,4,4
"41",9,9,9,9,9,9,9,9,9,9
