"","BayesSpace_1","BayesSpace_2","BayesSpace_3","BayesSpace_4","BayesSpace_5","BayesSpace_6","BayesSpace_7","BayesSpace_8","BayesSpace_9","BayesSpace_10"
"1",1,1,1,1,1,14,9,1,1,1
"2",1,1,1,1,1,14,1,1,1,1
"3",1,1,1,1,1,14,1,1,1,1
"4",2,2,2,2,2,2,2,2,2,2
"5",1,1,1,1,1,14,1,1,1,1
"6",1,1,1,1,1,14,1,1,1,1
"7",2,2,2,2,2,2,2,2,2,2
"8",1,1,1,1,1,14,1,1,1,1
"9",1,1,1,1,1,14,1,1,1,1
"10",1,1,1,1,1,14,1,1,1,1
"11",1,1,1,1,1,14,1,1,1,1
"12",9,14,9,14,9,1,9,9,9,9
"13",1,1,1,1,1,14,1,1,1,1
"14",1,1,1,1,1,14,1,1,1,1
"15",5,5,5,5,5,5,5,5,5,5
"16",1,1,1,1,1,14,1,1,9,1
"17",9,14,9,14,9,1,9,9,9,9
"18",9,14,9,14,9,1,9,9,9,9
"19",7,7,7,7,7,7,7,7,7,7
"20",1,1,1,1,1,14,1,1,1,1
"21",1,1,1,1,1,14,1,1,1,1
"22",2,2,2,2,2,2,2,2,2,2
"23",4,4,4,12,4,12,12,12,12,12
"24",1,1,1,1,1,14,1,1,1,1
"25",2,2,2,2,2,2,2,2,2,2
"26",7,7,7,7,7,7,7,7,7,7
"27",1,1,9,14,1,1,9,9,9,9
"28",8,8,8,8,8,8,8,8,8,8
"29",1,1,1,1,1,14,1,1,1,1
"30",1,1,1,1,1,14,1,1,1,1
"31",9,14,9,14,9,1,9,9,9,9
"32",1,1,1,1,1,14,1,1,9,9
"33",8,8,8,8,8,8,8,8,8,8
"34",7,7,7,7,7,7,7,7,7,7
"35",1,1,1,1,1,14,1,1,1,1
"36",7,7,7,7,7,7,7,7,7,7
"37",9,14,9,10,9,1,13,13,13,9
"38",7,7,7,7,7,7,7,7,7,7
"39",9,14,9,14,9,1,9,9,9,9
"40",1,1,1,1,1,14,1,1,1,1
"41",9,14,9,14,9,1,9,9,9,9
"42",7,7,7,7,7,7,7,7,7,7
"43",7,7,7,7,7,7,7,7,7,7
"44",8,8,8,8,8,8,8,8,8,8
"45",9,14,9,14,9,1,9,9,9,9
"46",8,8,8,8,8,8,8,8,8,8
"47",7,7,7,7,7,7,7,7,7,7
"48",7,7,7,7,7,7,7,7,7,7
