"","BayesSpace_1","BayesSpace_2","BayesSpace_3","BayesSpace_4","BayesSpace_5","BayesSpace_6","BayesSpace_7","BayesSpace_8","BayesSpace_9","BayesSpace_10"
"1",6,6,6,6,6,6,6,6,6,6
"2",8,8,8,8,8,8,8,8,8,8
"3",3,3,3,3,3,3,3,3,3,3
"4",3,3,6,3,3,6,3,3,6,3
"5",4,4,4,4,4,4,4,4,4,4
"6",5,5,5,5,5,5,5,5,5,5
"7",6,6,6,6,6,6,6,6,6,6
"8",5,5,5,5,5,5,5,5,5,5
"9",4,4,4,4,4,4,4,4,4,4
"10",5,5,5,5,5,5,5,5,5,5
"11",3,3,3,3,3,3,3,3,3,3
"12",5,5,5,5,5,5,5,5,5,5
"13",6,6,6,6,6,6,6,6,6,6
"14",3,3,3,3,3,3,3,4,3,4
"15",3,3,3,3,3,3,3,3,3,3
"16",4,4,4,4,4,4,4,4,4,4
"17",6,6,6,6,6,6,6,6,6,6
"18",3,3,3,3,3,3,3,3,3,3
"19",4,4,4,4,4,4,4,4,4,4
"20",4,4,4,4,4,4,4,4,4,4
"21",4,4,4,4,4,4,4,4,4,4
"22",6,6,6,6,6,6,6,6,6,6
"23",5,5,5,5,5,5,5,5,5,5
"24",5,5,5,5,5,5,5,5,5,5
"25",6,6,6,6,6,6,6,6,6,6
"26",3,3,3,3,3,3,3,3,3,3
"27",6,6,6,6,6,6,6,6,6,6
"28",3,3,3,3,3,3,3,3,3,3
"29",5,5,5,5,5,5,5,5,5,5
"30",5,5,5,5,5,5,5,5,5,5
"31",6,6,6,6,6,6,6,6,6,6
"32",6,6,6,6,6,6,6,6,6,6
"33",6,6,6,6,6,6,6,6,6,6
"34",2,2,2,2,2,2,2,2,2,2
"35",6,6,6,6,6,6,6,6,6,6
"36",3,3,3,3,3,3,3,3,3,3
"37",3,3,3,3,3,3,3,3,3,3
"38",6,6,6,6,6,6,6,6,6,6
"39",4,4,4,4,4,4,4,4,4,4
"40",3,3,3,3,3,3,3,3,3,3
"41",2,2,2,2,2,2,2,2,2,2
"42",3,3,3,3,3,3,3,3,3,3
"43",6,6,6,6,6,6,6,6,6,6
"44",2,2,2,2,2,2,2,2,2,2
"45",3,3,3,3,3,3,3,7,3,7
"46",3,3,3,3,3,3,3,3,3,3
"47",3,3,3,3,3,3,3,3,3,3
"48",4,4,4,4,4,4,4,4,4,4
"49",5,5,5,5,5,5,5,5,5,5
"50",2,2,2,2,2,2,2,2,2,2
"51",4,4,4,4,4,4,4,4,4,4
"52",8,8,8,8,8,8,8,8,8,8
"53",3,3,3,3,3,3,3,3,3,3
"54",6,6,6,6,6,6,6,6,6,6
"55",4,4,4,4,4,4,4,4,4,4
"56",4,4,4,4,4,4,4,4,4,4
"57",6,6,6,6,6,6,6,6,6,6
"58",4,4,4,4,4,4,4,4,4,4
"59",4,4,4,4,4,4,4,4,4,4
"60",4,4,4,4,4,4,4,4,4,4
"61",4,4,4,4,4,4,4,4,4,4
"62",4,4,4,4,4,4,4,4,3,4
"63",4,4,4,4,4,4,4,4,4,4
"64",6,6,6,6,6,6,6,6,6,6
"65",3,3,3,3,3,3,3,3,3,3
