"","BayesSpace_1","BayesSpace_2","BayesSpace_3","BayesSpace_4","BayesSpace_5","BayesSpace_6","BayesSpace_7","BayesSpace_8","BayesSpace_9","BayesSpace_10"
"1",1,1,1,1,6,6,1,1,1,1
"2",7,7,7,7,7,7,7,7,7,7
"3",3,3,3,3,3,3,3,3,3,3
"4",4,4,4,4,1,7,4,4,4,4
"5",7,4,4,7,7,7,4,7,7,7
"6",3,3,3,3,3,3,3,3,3,3
"7",3,3,3,3,3,3,3,3,3,3
"8",7,4,4,7,7,7,4,7,7,7
"9",3,3,3,3,3,3,3,3,3,3
"10",3,4,4,3,3,3,4,3,3,3
"11",4,3,3,4,1,1,3,4,4,4
"12",3,3,3,3,3,3,3,3,3,3
"13",3,3,3,3,3,3,3,3,3,3
"14",3,3,3,3,3,3,3,3,3,3
"15",3,3,3,3,3,3,3,3,3,3
"16",3,3,3,3,3,3,3,3,3,3
"17",4,4,4,7,7,7,4,7,7,7
"18",3,3,3,3,3,3,3,3,3,3
"19",3,3,3,3,3,3,3,3,3,3
"20",6,5,2,5,2,5,6,2,5,2
"21",3,3,3,3,3,3,3,3,3,3
"22",4,3,3,4,1,1,3,4,4,4
"23",4,3,3,4,1,1,3,4,4,4
"24",3,3,3,3,3,3,3,3,3,3
"25",1,1,1,1,6,6,1,1,1,1
"26",3,3,3,3,3,3,3,3,3,3
"27",3,3,3,3,3,3,3,3,3,3
"28",3,3,3,3,3,3,3,3,3,3
"29",4,1,1,4,1,1,1,4,4,4
"30",4,4,4,4,4,7,4,6,7,4
"31",7,7,7,7,7,7,7,7,7,7
"32",7,4,4,7,7,7,4,7,7,7
"33",4,4,4,4,1,4,4,4,4,4
"34",3,3,3,3,3,3,3,3,3,3
"35",3,3,3,3,1,1,3,4,4,3
"36",3,3,3,3,3,3,3,3,3,3
"37",3,3,3,4,1,1,3,4,4,4
"38",2,4,4,5,4,4,4,6,2,2
"39",3,3,3,3,3,3,3,3,3,3
"40",7,7,7,7,7,7,7,7,7,7
"41",4,1,1,4,1,1,1,4,4,4
"42",4,1,1,4,1,1,1,4,4,4
"43",4,1,1,4,1,1,1,4,4,4
"44",4,1,1,4,1,1,1,4,4,4
"45",1,1,1,1,6,6,1,1,1,1
"46",3,3,3,3,3,3,3,3,3,3
"47",4,4,7,4,1,1,4,4,7,4
"48",3,3,3,3,3,3,3,3,3,3
"49",4,3,3,4,1,1,3,4,4,4
"50",3,3,3,3,3,3,3,3,3,3
"51",4,1,1,4,1,1,1,4,4,4
"52",6,5,2,5,2,4,6,2,5,2
"53",4,3,3,4,1,1,4,4,4,4
"54",7,7,7,7,7,7,7,7,7,7
"55",4,1,1,4,1,1,1,4,4,4
"56",1,1,1,1,6,6,1,1,1,1
"57",3,3,3,3,1,3,3,3,4,3
"58",4,4,4,4,1,1,4,4,4,4
"59",7,4,4,7,7,7,4,7,7,7
"60",1,1,1,1,6,6,1,1,1,1
"61",4,4,4,4,1,7,4,4,4,4
"62",6,5,2,5,2,10,6,2,5,2
"63",7,7,7,7,7,7,7,7,7,7
"64",3,3,3,3,3,3,3,3,3,3
"65",7,4,4,7,7,7,4,7,7,7
"66",7,1,1,7,1,1,1,4,4,4
"67",3,3,3,3,3,3,4,3,3,3
"68",6,5,2,5,2,4,6,2,2,2
"69",7,7,7,7,7,7,7,7,7,7
"70",4,4,4,7,4,7,4,6,7,7
"71",11,11,11,11,11,11,11,11,11,11
"72",4,1,1,4,1,1,4,4,4,4
"73",4,4,4,2,4,7,4,6,7,7
"74",12,12,12,12,12,12,12,12,12,12
"75",7,7,7,7,7,7,7,7,7,7
"76",11,11,11,11,11,11,11,11,11,11
"77",2,2,2,2,4,4,5,6,2,6
"78",7,7,7,7,7,7,7,7,7,7
"79",2,2,2,2,4,4,5,6,2,6
"80",12,12,12,4,1,1,12,4,4,4
"81",1,1,1,1,6,6,1,1,1,1
"82",12,12,12,12,12,12,12,12,12,12
"83",6,5,13,13,13,13,13,13,13,13
"84",13,13,13,13,13,13,13,13,13,13
"85",12,12,12,12,12,12,12,12,12,12
"86",1,1,1,1,1,6,1,1,1,1
"87",9,9,6,9,9,9,20,9,20,9
"88",1,1,1,1,6,6,1,1,1,1
"89",4,1,1,4,1,1,1,4,4,4
"90",7,7,7,7,7,2,7,7,7,7
"91",13,13,13,13,13,13,13,13,13,13
"92",15,15,15,15,15,15,15,15,15,15
"93",2,2,2,2,4,4,5,6,2,6
"94",7,7,7,7,7,7,7,7,7,7
"95",1,1,1,1,6,6,1,1,1,1
"96",11,11,11,11,11,11,7,11,11,11
"97",15,15,15,15,15,15,15,15,15,15
"98",4,4,4,2,4,4,4,6,7,6
"99",1,1,1,1,6,6,1,1,1,1
"100",14,14,14,14,14,14,14,14,6,14
"101",15,15,15,15,15,15,15,15,15,15
