"","BayesSpace_1","BayesSpace_2","BayesSpace_3","BayesSpace_4","BayesSpace_5","BayesSpace_6","BayesSpace_7","BayesSpace_8","BayesSpace_9","BayesSpace_10"
"1",1,1,1,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,1,1,1
"4",2,2,2,2,2,2,2,2,2,2
"5",1,1,1,1,1,1,1,1,1,1
"6",1,6,6,6,1,6,6,6,6,6
"7",2,2,2,2,2,2,2,2,2,2
"8",1,1,1,1,1,1,1,1,1,1
"9",1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,1
"11",1,1,1,1,1,1,1,1,1,1
"12",9,1,1,1,9,1,1,1,1,1
"13",1,1,1,1,1,1,1,1,1,1
"14",1,1,1,1,1,1,1,1,1,1
"15",5,1,5,1,5,5,5,1,1,1
"16",1,1,1,1,1,1,1,1,1,1
"17",9,1,1,1,9,1,1,1,1,1
"18",9,1,1,1,9,1,1,1,1,1
"19",7,7,7,7,7,7,7,7,7,7
"20",1,1,1,1,1,1,1,1,1,1
"21",1,1,1,1,1,1,1,1,1,1
"22",2,2,2,2,2,2,2,2,2,2
"23",8,4,4,4,8,4,4,4,4,9
"24",1,1,1,1,1,1,1,1,1,1
"25",2,2,2,2,2,2,2,2,2,2
"26",7,7,7,7,7,7,7,7,7,7
"27",9,1,1,1,1,1,1,1,1,1
"28",8,8,8,8,8,8,8,8,8,8
"29",1,1,1,1,1,1,1,1,1,1
"30",2,1,1,1,1,1,1,1,1,1
"31",9,1,1,1,9,1,1,1,1,1
"32",1,1,1,1,1,1,1,1,1,1
"33",8,8,8,8,8,8,8,8,8,8
"34",7,7,7,7,7,7,7,7,7,7
"35",1,1,1,1,1,1,1,1,1,1
"36",7,7,7,7,7,7,7,7,7,7
"37",11,11,5,11,9,5,5,11,11,11
"38",7,7,7,7,7,7,7,7,7,7
"39",9,1,1,1,9,1,1,1,1,1
"40",1,1,1,1,1,1,1,1,1,1
"41",9,1,1,1,9,1,1,1,1,1
"42",7,7,7,7,7,7,7,7,7,7
"43",7,7,7,7,7,7,7,7,7,7
"44",8,8,8,8,8,8,8,8,8,8
"45",8,8,8,8,9,8,8,8,8,8
"46",8,8,8,8,8,8,8,8,8,8
"47",7,7,7,7,7,7,7,7,7,7
"48",7,7,7,7,7,7,7,7,7,7
"49",7,7,7,7,7,7,7,7,7,7
"50",9,5,5,1,9,5,5,1,5,1
"51",9,1,1,1,9,1,1,1,1,1
"52",7,7,7,7,7,7,7,7,7,7
"53",8,8,8,8,8,8,8,8,8,8
"54",9,1,1,1,9,1,1,1,1,1
"55",5,5,5,5,5,5,5,5,5,5
"56",7,7,7,7,7,7,7,7,7,7
"57",7,7,7,7,7,7,7,7,7,7
"58",7,7,7,7,7,7,7,7,7,7
"59",7,7,7,7,7,7,7,7,7,7
"60",8,8,8,8,8,8,8,8,8,8
"61",2,2,2,2,2,2,2,2,2,2
"62",14,9,9,9,14,9,9,9,9,9
"63",7,7,7,7,9,7,7,7,7,7
"64",1,1,1,1,1,1,1,1,1,1
"65",7,7,7,7,7,7,7,7,7,7
"66",8,8,8,8,8,8,8,8,8,8
"67",9,7,7,7,9,7,7,7,7,7
"68",11,11,11,11,7,11,7,11,11,7
"69",7,7,7,7,7,7,7,7,7,7
"70",11,2,2,11,11,2,2,11,11,11
"71",7,7,7,7,7,7,7,7,7,7
"72",9,1,1,1,9,1,1,1,1,1
"73",14,9,9,9,14,9,9,9,9,4
"74",9,7,7,7,9,7,7,7,7,7
"75",11,11,11,11,11,11,11,11,11,11
"76",5,5,5,5,5,5,5,5,5,11
"77",8,8,8,8,8,8,8,8,8,8
"78",7,7,7,7,7,7,7,7,7,9
"79",10,10,10,10,10,10,10,10,10,10
"80",11,11,5,11,11,5,5,11,11,11
"81",11,11,11,11,11,11,11,11,11,11
"82",9,1,1,1,9,1,1,1,1,1
"83",7,7,7,7,7,7,7,7,7,7
"84",11,11,11,11,11,11,11,11,11,11
"85",10,10,10,10,10,10,10,10,10,10
"86",7,7,7,7,7,7,7,7,7,7
"87",7,7,7,7,7,7,7,7,7,7
"88",7,7,7,7,7,7,7,7,7,7
"89",7,7,7,7,7,7,7,7,7,7
"90",12,12,12,12,12,12,12,12,12,12
"91",10,10,10,10,10,10,10,10,10,10
"92",7,7,7,7,7,7,7,7,7,7
"93",7,7,7,7,7,7,7,7,7,7
"94",7,7,7,7,7,7,7,7,7,7
"95",7,7,7,7,7,7,7,7,7,7
"96",7,7,7,7,7,7,7,7,7,7
"97",7,7,7,7,7,7,7,7,7,7
"98",8,8,8,8,8,8,8,8,8,8
"99",14,9,4,9,14,4,4,9,9,9
"100",8,8,8,8,8,8,8,8,8,8
"101",9,1,1,1,9,1,1,1,1,1
"102",7,9,9,9,7,9,9,9,9,9
"103",11,11,11,11,11,11,11,11,11,11
"104",14,9,9,9,14,9,9,9,9,9
"105",7,7,7,7,7,7,7,7,7,7
"106",7,7,7,7,7,7,7,7,7,7
"107",7,7,7,7,7,7,7,7,7,7
"108",7,7,7,7,7,7,7,7,7,7
"109",10,9,9,9,13,9,9,9,9,9
"110",10,10,10,10,10,10,10,10,10,10
"111",11,11,11,11,11,11,11,11,11,11
"112",14,9,9,9,14,9,9,9,9,9
