"","BayesSpace_1","BayesSpace_2","BayesSpace_3","BayesSpace_4","BayesSpace_5","BayesSpace_6","BayesSpace_7","BayesSpace_8","BayesSpace_9","BayesSpace_10"
"1",7,7,7,7,7,7,7,7,7,7
"2",2,2,2,2,2,2,2,2,2,2
"3",4,1,7,1,4,1,7,7,7,1
"4",4,1,7,1,4,1,7,7,7,1
"5",1,4,5,4,1,4,5,5,5,4
"6",6,6,6,6,6,6,6,6,6,6
"7",2,2,2,2,2,2,2,2,2,2
"8",6,6,6,6,6,6,6,6,6,6
"9",1,4,5,4,1,4,1,1,1,4
"10",6,6,6,6,6,6,6,6,6,6
"11",4,1,7,1,4,1,7,7,7,1
"12",6,6,6,6,6,6,6,6,6,6
"13",7,7,7,7,7,7,7,7,7,7
"14",1,4,4,4,1,4,1,1,1,4
"15",2,2,2,2,2,2,2,2,2,2
"16",1,4,4,4,1,4,1,1,1,4
"17",7,7,7,7,7,7,7,7,7,7
"18",4,1,4,1,4,1,7,7,7,1
"19",1,4,5,4,1,4,1,1,1,4
"20",5,5,5,5,5,5,5,5,5,5
"21",1,4,4,4,1,4,1,1,1,4
"22",7,7,7,7,7,7,7,7,7,7
"23",6,6,6,6,6,6,6,6,6,6
"24",6,6,6,6,6,6,6,6,6,6
"25",7,7,7,7,7,7,7,7,7,7
"26",4,1,7,1,4,1,7,7,7,1
"27",7,7,7,7,7,7,7,7,7,7
"28",4,1,4,1,4,1,1,1,1,1
"29",6,6,6,6,6,6,6,6,6,6
"30",6,6,6,6,6,6,6,6,6,6
"31",7,7,12,7,7,7,4,4,4,7
"32",7,7,7,7,7,7,7,7,7,7
"33",7,7,7,7,7,7,7,7,7,7
"34",10,10,10,10,10,10,10,10,10,10
"35",10,10,10,10,10,10,10,10,10,10
"36",4,1,4,1,4,1,1,1,1,1
"37",4,1,1,1,4,1,12,12,12,1
"38",4,1,7,1,4,1,7,7,7,1
"39",1,4,5,4,1,4,5,5,5,4
"40",9,9,4,9,9,9,1,1,1,9
"41",10,10,10,10,10,10,10,10,10,10
"42",1,4,4,4,1,4,1,1,1,4
"43",10,10,10,10,10,10,10,10,10,10
"44",10,10,10,10,10,10,10,10,10,10
"45",1,4,4,4,1,4,1,1,1,4
"46",4,1,7,1,4,1,7,7,7,1
"47",1,4,4,4,1,4,1,1,1,4
"48",1,4,5,4,1,4,5,5,5,4
"49",6,6,6,6,6,6,6,6,6,6
"50",10,10,10,10,10,10,10,10,10,10
"51",1,4,4,4,1,4,1,1,1,4
"52",11,11,11,11,11,11,11,11,11,11
"53",4,1,10,1,4,1,10,10,10,1
"54",7,7,7,7,7,7,7,7,7,7
"55",5,5,5,5,5,5,5,5,5,5
"56",1,4,5,4,1,4,5,5,5,4
"57",2,2,2,2,2,2,2,2,2,2
"58",1,4,5,4,1,4,1,1,1,4
"59",1,4,5,4,1,4,1,1,1,4
"60",5,5,5,5,5,5,5,5,5,5
"61",5,5,5,5,5,5,5,5,5,5
"62",1,4,4,4,1,4,1,1,1,4
"63",5,5,5,5,5,5,5,5,5,5
"64",7,7,7,7,7,7,7,7,7,7
"65",4,1,4,1,4,1,4,4,4,1
"66",12,12,1,12,12,12,12,12,12,12
"67",1,4,4,4,1,4,1,1,1,4
"68",5,5,5,5,5,5,5,5,5,5
"69",6,6,6,6,6,6,6,6,6,6
"70",4,1,7,1,4,1,7,7,7,1
"71",1,4,5,4,1,4,1,1,1,5
"72",2,2,2,2,2,2,2,2,2,2
"73",6,6,6,6,6,6,6,6,6,6
"74",1,4,5,4,1,4,5,1,5,4
"75",1,4,5,4,1,4,1,1,1,4
"76",7,7,7,7,7,7,7,2,7,7
"77",7,7,7,7,7,7,7,7,7,7
"78",11,11,11,11,11,11,11,11,11,11
"79",1,4,4,4,1,4,1,1,1,4
"80",13,13,13,13,13,13,13,13,13,13
"81",6,6,6,6,6,6,6,6,6,6
"82",10,10,12,10,10,10,4,4,4,10
"83",4,1,7,1,4,1,7,7,7,1
"84",3,3,3,3,3,3,3,3,3,3
"85",9,9,9,9,9,2,9,9,9,9
"86",4,1,12,1,4,3,4,4,4,3
"87",4,1,4,1,4,1,7,7,7,1
"88",13,13,13,13,13,13,13,13,13,13
"89",6,6,6,6,6,6,6,6,6,6
"90",1,4,4,4,1,4,1,1,1,4
"91",9,9,9,9,9,9,9,9,9,9
"92",9,9,9,9,9,9,9,9,9,9
"93",2,2,2,2,2,2,2,2,7,2
"94",3,3,3,3,3,3,3,4,3,3
"95",6,6,6,6,6,6,6,6,6,6
"96",13,13,13,13,13,13,13,13,13,13
"97",9,9,9,9,9,9,9,9,9,9
"98",9,9,9,9,9,9,9,9,9,9
"99",9,9,9,9,9,9,9,9,9,9
"100",13,13,13,13,13,13,13,13,13,13
"101",6,6,6,6,6,6,6,6,6,6
"102",9,9,9,9,9,9,9,9,9,9
"103",10,10,10,10,10,10,10,10,10,10
"104",2,2,2,2,2,2,2,10,2,2
"105",12,12,9,12,12,12,9,9,9,12
"106",6,6,6,6,6,6,6,6,6,6
"107",9,9,9,9,9,9,9,9,9,9
"108",9,9,9,9,9,9,9,9,9,9
"109",9,9,9,9,9,9,9,9,9,9
"110",9,9,9,9,9,9,9,9,9,9
"111",3,3,12,3,3,3,4,4,4,3
"112",4,1,12,1,4,1,4,4,4,1
"113",13,13,13,13,13,13,13,13,13,13
"114",9,9,9,9,9,9,9,9,9,9
"115",12,12,12,12,12,12,4,4,4,12
"116",9,9,9,9,9,9,9,9,9,9
"117",6,6,6,6,6,6,6,6,6,6
"118",9,9,9,9,9,9,9,9,9,9
"119",9,9,9,9,9,9,9,9,9,9
"120",9,9,9,9,9,9,9,9,9,9
"121",3,3,3,3,3,3,4,4,4,3
"122",9,9,9,9,9,9,9,9,9,9
"123",9,9,9,9,9,9,9,9,9,9
"124",9,9,9,9,9,9,9,9,9,9
"125",12,12,1,12,12,12,12,12,12,12
"126",9,9,9,9,9,9,9,9,9,9
"127",9,9,9,9,9,9,9,9,9,9
"128",9,9,9,9,9,9,9,9,9,9
"129",7,7,7,7,7,7,7,7,7,7
"130",9,9,9,9,9,9,9,9,9,9
"131",9,9,9,9,9,9,9,9,9,9
"132",12,12,1,12,12,12,12,12,12,12
