"","BayesSpace_1","BayesSpace_2","BayesSpace_3","BayesSpace_4","BayesSpace_5","BayesSpace_6","BayesSpace_7","BayesSpace_8","BayesSpace_9","BayesSpace_10"
"1",7,7,7,7,7,7,7,7,1,7
"2",2,18,2,3,3,1,18,18,3,18
"3",1,4,1,1,1,4,1,1,4,1
"4",4,4,4,4,1,4,4,4,4,4
"5",9,9,9,9,9,9,9,9,9,9
"6",6,6,6,6,6,6,6,6,6,6
"7",2,2,2,2,2,2,2,2,2,2
"8",8,8,8,8,8,8,8,8,8,8
"9",9,9,9,9,9,9,9,9,9,9
"10",6,6,6,6,6,6,6,6,6,6
"11",1,4,1,1,1,4,1,1,4,1
"12",6,6,6,6,6,6,6,6,6,6
"13",7,7,7,7,7,7,7,7,1,7
"14",9,9,9,9,9,9,9,9,9,9
"15",2,2,2,2,2,2,2,2,2,2
"16",9,9,9,9,9,9,9,9,9,9
"17",7,7,7,7,7,7,7,7,1,7
"18",1,4,1,1,1,4,1,1,4,1
"19",9,9,9,9,9,9,9,9,9,9
"20",5,5,5,5,5,5,5,5,5,5
"21",9,9,9,9,9,9,9,9,9,9
"22",7,7,7,7,7,7,7,7,1,7
"23",4,6,4,4,6,6,4,4,6,4
"24",6,6,6,6,6,6,6,6,6,6
"25",7,7,7,7,7,7,7,7,1,7
"26",1,4,1,1,1,4,1,1,4,1
"27",4,7,4,4,7,7,4,4,1,4
"28",1,4,1,1,1,4,1,1,4,1
"29",6,6,6,6,6,6,6,6,6,6
"30",6,6,6,6,6,6,6,6,6,6
"31",4,7,4,4,7,7,4,4,1,4
"32",7,7,7,7,7,7,7,7,1,7
"33",7,7,7,7,7,7,7,7,1,7
"34",11,11,11,11,11,11,11,11,11,11
"35",7,7,11,11,7,7,7,7,1,11
"36",1,4,1,1,1,4,1,1,4,1
"37",1,4,1,1,1,4,1,1,4,1
"38",1,4,1,1,1,4,1,1,4,1
"39",9,9,9,9,9,9,9,9,9,9
"40",4,10,4,4,10,9,4,4,9,4
"41",11,11,11,11,7,7,7,7,1,11
"42",9,9,9,9,9,9,9,9,9,9
"43",11,11,11,11,7,7,7,11,11,11
"44",11,11,11,11,11,11,11,11,11,11
"45",9,18,9,3,3,1,9,18,3,18
"46",1,4,1,1,1,4,1,1,4,1
"47",9,9,9,9,9,9,9,9,9,9
"48",9,9,9,9,9,9,9,9,9,9
"49",6,6,6,6,6,6,6,6,6,6
"50",11,11,11,11,11,11,11,11,11,11
"51",9,9,9,9,9,9,9,9,9,9
"52",13,18,12,3,3,1,18,18,3,18
"53",4,4,4,4,1,4,4,4,4,4
"54",7,7,7,7,7,7,7,7,1,7
"55",5,5,5,5,5,5,5,5,5,5
"56",9,9,9,9,9,9,9,9,9,9
"57",2,2,2,2,2,2,2,2,2,2
"58",9,9,9,9,9,9,9,9,9,9
"59",9,9,9,9,9,9,9,9,9,9
"60",5,5,5,5,5,5,5,5,5,5
"61",5,5,5,5,5,5,5,5,5,5
"62",9,9,9,9,9,9,9,9,9,9
"63",5,5,5,5,5,5,5,5,5,5
"64",7,7,7,7,7,7,7,7,1,7
"65",4,4,4,4,1,4,4,4,4,4
"66",3,1,3,16,16,16,16,16,16,16
"67",9,9,9,9,9,9,9,9,9,9
"68",5,5,5,5,5,5,5,5,5,5
"69",8,8,8,8,8,8,8,8,8,8
"70",1,4,1,1,1,4,1,1,4,1
"71",9,9,9,9,9,9,9,9,9,9
"72",2,2,2,2,2,2,2,2,2,2
"73",6,6,6,6,6,6,6,6,6,6
"74",9,9,9,9,9,9,9,9,9,9
"75",9,9,9,9,9,9,9,9,9,9
"76",7,7,7,7,7,7,7,7,1,7
"77",7,7,7,7,7,7,7,7,1,7
"78",13,13,13,13,13,13,13,13,13,13
"79",4,9,9,4,9,9,9,9,9,4
"80",15,15,15,15,15,15,15,15,15,15
"81",6,6,6,6,6,6,6,6,6,6
"82",11,11,11,11,11,11,11,11,11,11
"83",1,4,1,1,1,4,1,1,4,1
"84",17,17,17,17,17,17,17,17,17,17
"85",10,10,10,10,10,10,10,10,10,10
"86",4,4,4,4,4,3,4,4,4,4
"87",4,4,4,4,1,4,4,4,4,4
"88",15,15,15,15,15,15,15,15,15,15
"89",6,6,6,6,6,6,6,6,6,6
"90",9,9,9,9,9,9,9,9,9,9
"91",10,10,10,10,10,10,10,10,10,10
"92",10,10,10,10,10,10,10,10,10,10
"93",1,2,1,2,1,2,1,1,2,2
"94",17,17,17,17,17,17,17,17,17,17
"95",8,8,8,8,8,8,8,8,8,8
"96",15,15,15,15,15,15,15,15,15,15
"97",10,10,10,10,10,10,10,10,10,10
"98",10,10,10,10,10,10,10,10,10,10
"99",10,10,10,10,10,10,10,10,10,10
"100",15,15,15,15,15,15,15,15,15,15
"101",6,6,6,6,6,6,6,6,6,6
"102",10,10,10,10,10,10,10,10,10,10
"103",11,11,11,11,11,11,11,11,11,11
"104",2,2,2,2,2,2,2,2,2,2
"105",16,16,16,10,10,3,3,3,10,16
"106",6,6,6,6,6,6,6,6,6,6
"107",10,10,10,10,10,10,10,10,10,10
"108",10,10,10,10,10,10,10,10,10,10
"109",10,10,10,10,10,10,10,10,10,10
"110",10,10,10,10,10,10,10,10,10,10
"111",17,10,17,17,4,3,4,17,7,17
"112",1,4,1,1,1,4,1,1,4,1
"113",15,15,15,15,15,15,15,15,15,15
"114",10,10,10,2,2,10,10,10,10,2
"115",16,16,16,16,4,3,3,3,7,16
"116",10,10,10,10,10,10,10,10,10,10
"117",8,8,8,8,8,8,8,8,8,8
"118",10,10,10,10,10,10,10,10,10,10
"119",10,10,10,10,10,10,10,10,10,10
"120",10,10,10,10,10,10,10,10,10,10
"121",17,17,17,17,17,17,17,17,17,17
"122",10,10,10,10,10,10,10,10,10,10
"123",10,10,10,10,10,10,10,10,10,10
"124",10,10,10,10,10,10,10,10,10,10
"125",3,10,10,10,10,10,10,10,10,10
"126",10,10,10,10,10,10,10,10,10,10
"127",10,10,10,10,10,10,10,10,10,10
"128",10,10,10,10,10,10,10,10,10,10
"129",7,7,7,7,7,7,7,7,1,7
"130",10,10,10,10,10,10,10,10,10,10
"131",10,10,10,10,10,10,10,10,10,10
"132",3,1,3,16,16,16,16,16,16,16
"133",3,1,3,16,16,16,16,16,16,16
"134",10,10,10,10,10,10,10,10,10,10
"135",17,17,17,17,17,17,17,17,17,17
"136",13,18,12,3,3,1,18,18,3,18
"137",17,17,17,17,17,17,17,17,17,17
"138",10,10,10,10,10,10,10,10,10,10
"139",10,17,17,10,17,17,17,17,17,10
"140",7,7,7,7,7,7,7,7,1,7
"141",10,10,10,10,10,10,10,10,10,10
"142",17,17,17,17,17,17,17,17,17,17
"143",17,17,17,17,17,17,17,17,17,17
"144",10,10,10,10,10,10,10,10,10,10
"145",10,10,10,10,10,10,10,10,10,10
"146",10,10,10,10,10,10,10,10,10,10
"147",17,18,17,3,3,1,18,18,3,18
"148",15,15,15,15,15,15,15,15,15,15
"149",16,16,16,10,4,3,3,3,10,10
"150",10,10,10,10,10,10,10,10,10,10
"151",10,10,10,10,10,10,10,10,10,10
"152",10,10,10,10,10,10,10,10,10,10
"153",10,18,10,3,3,1,18,18,3,18
"154",15,15,15,15,15,15,15,15,15,15
"155",10,10,10,10,10,10,10,10,10,10
"156",7,7,7,7,7,7,7,7,1,7
"157",10,10,10,10,10,10,10,10,10,10
"158",10,18,10,3,3,1,10,10,3,18
"159",17,17,17,17,17,17,17,17,17,17
"160",17,17,17,17,17,17,17,17,17,17
"161",10,10,10,10,10,10,10,10,10,10
"162",15,15,15,15,15,15,15,15,15,15
"163",2,2,2,2,2,2,2,2,2,2
"164",17,17,17,17,17,17,17,17,17,17
"165",2,2,2,2,2,2,2,2,2,2
"166",15,15,15,15,15,15,15,15,15,15
"167",16,16,16,16,4,3,3,3,16,16
"168",10,10,10,10,10,10,10,10,10,10
"169",17,17,17,17,17,17,17,17,17,17
"170",10,10,10,10,10,10,10,10,10,10
"171",10,10,10,10,10,10,10,10,10,10
"172",10,10,10,10,10,10,10,10,10,10
"173",17,17,17,17,17,17,17,17,17,17
"174",1,4,1,1,1,4,1,1,4,1
"175",2,2,2,2,2,2,2,2,2,2
"176",15,15,15,15,15,15,15,15,15,15
"177",10,17,17,17,17,17,17,17,17,17
"178",7,7,7,7,7,7,7,7,1,7
"179",4,4,4,4,10,10,4,4,4,4
"180",7,7,7,7,7,7,7,7,1,7
"181",15,15,15,15,15,15,15,15,15,15
"182",17,10,10,17,17,10,10,17,10,17
"183",3,1,3,7,16,16,16,16,16,7
"184",13,13,13,3,3,1,13,13,3,18
"185",17,17,17,17,17,17,17,17,17,17
"186",16,16,16,10,4,3,3,3,7,10
"187",15,15,15,15,15,15,15,15,15,15
"188",5,5,5,5,5,5,5,5,5,5
"189",17,17,17,12,17,17,17,17,17,17
"190",16,16,16,16,4,3,3,3,7,16
"191",17,17,17,17,17,17,17,17,17,17
"192",3,1,3,16,16,16,16,16,16,16
"193",17,17,17,17,17,17,17,17,17,17
"194",10,10,10,10,10,10,10,10,10,10
"195",16,16,16,16,4,3,3,3,7,16
"196",15,15,15,15,15,15,15,15,15,15
"197",5,5,5,5,5,5,5,5,5,5
"198",13,18,12,3,3,1,18,18,3,18
"199",3,1,3,16,16,16,16,16,16,16
"200",1,4,1,1,1,4,1,1,4,1
"201",13,13,13,13,13,13,13,13,13,13
"202",17,17,17,17,17,17,17,17,17,17
"203",3,1,3,16,16,16,16,16,16,16
"204",1,15,1,15,15,15,1,1,15,15
"205",17,17,17,12,18,17,17,17,12,12
"206",4,16,4,4,4,3,4,4,7,4
"207",5,5,5,5,5,5,5,5,5,5
"208",2,2,2,2,2,2,2,2,2,2
"209",16,16,16,17,4,3,3,3,17,17
"210",15,15,15,15,15,15,15,15,15,15
"211",15,17,17,15,17,17,17,17,17,17
"212",17,17,17,17,17,17,17,17,17,17
"213",10,10,10,10,10,10,10,10,10,10
"214",17,17,17,17,17,17,17,17,17,17
"215",2,18,2,3,3,1,2,2,3,18
"216",15,15,15,15,15,15,15,15,15,15
"217",5,5,5,5,5,5,5,5,5,5
"218",17,17,17,17,17,17,17,17,17,17
"219",13,13,13,3,3,1,13,13,3,18
"220",16,16,16,17,4,3,3,3,7,16
"221",17,18,12,3,3,1,18,18,3,18
"222",17,17,17,17,17,17,17,17,17,17
"223",2,2,2,2,2,2,2,2,2,2
"224",2,2,2,2,2,2,2,2,2,2
"225",15,15,15,15,15,15,15,15,15,15
