sample	seed	ari_value
20180417_BZ5_control	0	0.28208949247719184
20180417_BZ5_control	1	0.3133724359429883
20180417_BZ5_control	2	0.3286011640363366
20180417_BZ5_control	3	0.29475488417399237
20180417_BZ5_control	4	0.27909751177354136
20180417_BZ5_control	5	0.33312579330705633
20180417_BZ5_control	6	0.375331729954037
20180417_BZ5_control	7	0.3061341092141692
20180417_BZ5_control	8	0.3452378589462992
20180417_BZ5_control	9	0.34950264789873065
20180419_BZ9_control	0	0.377608304392671
20180419_BZ9_control	1	0.37965449068826157
20180419_BZ9_control	2	0.3802954495550858
20180419_BZ9_control	3	0.33284243370573563
20180419_BZ9_control	4	0.37595784757100653
20180419_BZ9_control	5	0.3697681415072263
20180419_BZ9_control	6	0.35316899731981233
20180419_BZ9_control	7	0.3920701779361937
20180419_BZ9_control	8	0.4239633910835049
20180419_BZ9_control	9	0.3321393906864385
20180424_BZ14_control	0	0.4526791517517964
20180424_BZ14_control	1	0.26011710427580553
20180424_BZ14_control	2	0.3887152996779426
20180424_BZ14_control	3	0.3083671494358988
20180424_BZ14_control	4	0.39738282690440885
20180424_BZ14_control	5	0.41436908569315145
20180424_BZ14_control	6	0.3819860438538603
20180424_BZ14_control	7	0.27343857052733006
20180424_BZ14_control	8	0.37566833468237076
20180424_BZ14_control	9	0.33180672863316535
