,20180424_BZ14_control_0,20180424_BZ14_control_1,20180424_BZ14_control_2,20180424_BZ14_control_3,20180424_BZ14_control_4,20180424_BZ14_control_5,20180424_BZ14_control_6,20180424_BZ14_control_7,20180424_BZ14_control_8,20180424_BZ14_control_9
0,5,0,2,1,2,0,5,4,5,3
1,5,0,2,1,2,0,5,4,5,3
2,5,0,2,1,2,0,5,4,5,3
3,5,0,2,1,2,0,5,4,5,3
4,5,0,2,1,2,0,5,4,5,3
5,5,0,2,1,2,0,5,4,5,3
6,5,0,2,1,2,0,5,4,5,3
7,5,0,2,1,2,0,5,4,5,3
8,10,0,8,4,1,9,0,6,3,1
9,5,0,2,1,2,0,5,4,5,3
10,5,0,2,1,2,0,5,4,5,3
11,5,0,2,1,2,0,5,4,5,3
12,5,0,2,1,2,0,5,4,5,3
13,6,0,2,1,2,0,4,6,5,3
14,5,0,2,1,2,0,5,4,5,3
15,5,0,2,1,2,0,5,4,5,3
16,5,0,2,1,2,0,5,4,5,3
17,5,0,2,1,2,0,5,4,5,3
18,1,6,1,2,7,1,2,1,1,6
19,5,0,2,1,2,0,5,4,5,3
20,5,0,2,1,2,0,5,4,5,3
21,5,0,2,1,2,0,5,4,5,3
22,6,8,9,3,9,7,7,4,6,3
23,5,0,2,1,2,0,5,4,5,3
24,5,0,2,1,2,0,5,4,5,3
25,1,6,1,2,7,1,2,1,1,6
26,5,0,2,1,2,0,5,4,5,3
27,6,8,9,1,9,7,7,4,6,11
28,5,0,2,1,2,0,5,4,5,3
29,5,0,2,1,2,0,5,4,5,3
30,5,0,2,1,2,0,5,4,5,3
31,1,2,1,2,6,1,2,4,1,6
32,5,8,9,1,2,0,7,4,5,3
33,1,6,1,2,7,1,2,1,1,6
34,5,0,2,1,2,0,5,4,5,3
35,1,6,1,2,7,1,2,1,1,6
36,1,2,1,4,7,1,0,6,7,6
37,1,6,1,2,7,1,2,4,1,6
38,1,6,1,2,7,1,4,1,1,6
39,5,0,2,1,2,0,5,4,5,3
40,5,0,2,1,2,0,7,4,5,3
41,1,6,1,2,7,1,2,1,1,6
42,1,6,1,2,7,1,2,1,1,6
43,6,8,9,1,9,7,7,4,6,7
44,6,0,1,1,9,1,2,4,5,6
45,6,0,9,1,9,7,7,4,6,3
46,1,6,1,2,7,1,2,1,1,6
47,1,6,1,2,7,1,2,1,1,6
48,1,6,1,2,7,1,2,1,1,6
49,4,0,2,7,1,10,11,4,3,8
50,5,0,2,7,6,0,5,4,5,3
51,1,6,1,2,7,1,2,1,1,6
52,1,6,9,1,7,7,7,1,6,6
53,5,0,2,1,2,0,7,4,5,3
54,1,0,1,2,6,0,2,4,5,6
55,1,6,1,2,7,1,2,1,1,6
56,1,6,1,2,7,1,2,1,1,6
57,1,6,1,2,7,1,2,1,1,6
58,1,6,1,2,7,1,2,1,1,6
59,6,0,9,1,9,7,7,4,6,3
60,1,6,1,2,7,1,2,1,1,6
61,1,6,1,2,7,1,2,1,1,6
62,1,6,1,2,7,0,2,1,1,6
63,1,0,2,1,2,0,7,4,5,3
64,1,6,1,2,7,1,2,1,1,6
65,1,0,1,1,6,7,7,1,6,6
66,1,6,1,2,6,1,2,1,1,6
67,10,6,10,2,7,1,2,1,7,6
68,1,6,1,2,7,1,2,1,1,6
69,1,6,1,2,7,1,2,1,1,6
70,1,6,1,2,7,1,2,1,1,6
71,5,0,2,1,2,0,5,4,5,3
72,1,0,11,3,6,4,4,6,4,6
73,1,6,1,2,7,1,2,6,1,6
74,1,6,1,2,7,1,2,1,1,6
75,10,0,8,7,1,9,0,4,3,3
76,10,0,9,1,6,0,7,1,6,11
77,1,6,1,2,6,1,2,1,1,6
78,1,6,1,6,7,1,4,6,7,6
79,10,6,1,2,6,1,2,1,1,6
80,1,6,1,2,7,1,2,1,1,6
81,1,0,2,1,2,0,2,4,5,3
82,1,6,1,2,7,1,2,1,1,6
83,10,6,10,4,6,6,4,1,7,6
84,1,2,1,2,7,1,2,6,1,6
85,1,6,1,2,7,1,2,1,1,6
86,1,6,1,2,7,1,2,1,1,6
87,1,6,1,2,7,1,2,1,1,6
88,6,2,9,7,6,1,7,4,7,1
89,5,0,2,1,2,0,5,4,5,3
90,1,2,1,2,7,11,2,6,1,6
91,1,2,1,2,7,6,2,1,1,6
92,1,6,1,2,6,1,2,1,1,6
93,1,6,1,2,7,1,2,1,1,6
94,1,6,1,2,7,1,7,1,1,6
95,1,2,10,2,6,1,2,1,1,6
96,1,6,1,2,7,1,2,1,1,6
97,6,0,9,1,9,7,7,4,6,7
98,1,0,10,7,6,7,4,6,6,8
99,6,6,9,1,9,7,7,4,6,6
100,5,0,1,1,2,0,5,4,5,3
101,1,6,1,2,7,1,2,1,1,6
102,10,6,1,2,7,6,2,4,7,6
103,1,6,1,2,6,1,2,1,1,6
104,1,6,1,2,7,1,2,1,1,6
105,1,6,1,2,7,1,2,1,1,6
106,1,6,1,2,7,1,2,1,1,6
107,1,6,1,2,7,1,2,1,1,6
108,1,6,10,4,7,1,0,5,7,1
109,2,4,10,6,5,11,4,6,2,1
110,1,6,1,2,7,1,2,1,1,6
111,1,2,1,2,6,1,2,6,1,1
112,1,6,1,2,7,1,2,1,1,6
113,1,6,10,2,7,1,0,5,7,6
114,1,6,1,2,7,1,2,1,1,6
115,1,2,1,2,7,11,2,1,7,6
116,1,6,1,2,7,1,2,1,1,6
117,1,2,1,2,7,1,2,6,1,6
118,5,0,2,1,2,0,5,4,5,3
119,1,6,1,2,7,1,2,1,1,6
120,3,5,5,3,4,4,6,2,4,5
121,1,6,1,2,7,1,2,1,7,6
122,10,2,10,4,6,6,0,0,7,1
