,20180419_BZ9_control_0,20180419_BZ9_control_1,20180419_BZ9_control_2,20180419_BZ9_control_3,20180419_BZ9_control_4,20180419_BZ9_control_5,20180419_BZ9_control_6,20180419_BZ9_control_7,20180419_BZ9_control_8,20180419_BZ9_control_9
0,2,2,4,0,0,4,1,1,1,4
1,2,2,4,0,0,8,1,1,1,6
2,2,2,4,0,0,4,1,1,1,4
3,2,2,4,0,0,4,1,1,1,4
4,5,5,6,4,8,7,6,2,5,5
5,4,3,3,3,6,3,3,10,3,9
6,2,2,4,0,0,4,1,1,1,4
7,4,3,3,3,6,3,3,10,3,9
8,5,5,6,4,8,7,6,2,5,5
9,4,3,3,3,6,3,3,10,3,9
10,2,2,4,0,0,4,1,1,1,4
11,4,3,3,3,6,3,3,10,3,9
12,2,2,4,0,0,4,1,1,1,4
13,5,5,6,4,8,7,6,2,5,5
14,2,2,4,0,0,4,1,1,1,4
15,5,5,6,4,8,7,6,2,5,5
16,2,3,3,0,6,4,3,10,3,9
17,2,2,4,0,0,4,1,1,1,4
18,5,5,6,4,8,7,6,2,5,5
19,5,5,6,4,8,7,6,2,5,5
20,5,5,6,4,8,7,6,2,5,5
21,2,2,4,0,0,4,1,1,1,4
22,4,3,3,0,6,3,3,10,1,9
23,4,3,3,3,6,3,3,10,3,9
24,2,2,4,0,0,4,1,1,1,4
25,2,2,4,0,0,4,1,1,1,4
26,2,2,4,0,0,4,1,1,1,4
27,2,2,4,0,0,4,1,1,1,4
28,4,3,3,3,6,3,3,10,3,9
29,4,3,3,3,6,3,3,10,3,9
30,2,2,4,0,0,4,1,1,1,4
31,2,2,4,0,0,4,1,1,1,4
32,2,2,4,0,0,4,1,1,1,4
33,2,2,4,0,0,4,1,1,1,4
34,2,2,4,0,0,4,1,1,1,4
35,2,2,4,0,8,4,1,1,1,4
36,2,2,4,0,0,4,1,1,1,4
37,2,2,4,0,0,4,1,1,1,4
38,5,5,6,4,8,7,6,2,5,5
39,2,2,4,0,8,4,1,1,1,4
40,2,2,4,0,0,4,1,1,1,4
41,2,2,4,0,0,4,1,1,1,4
42,2,2,4,0,0,4,1,1,1,4
43,2,2,4,0,0,4,1,1,1,4
44,5,2,4,11,0,4,1,1,1,4
45,2,2,4,0,0,4,1,1,1,4
46,5,5,6,4,8,7,6,2,5,5
47,5,5,6,4,8,7,6,2,5,5
48,5,3,3,3,0,4,3,10,5,9
49,2,2,4,0,0,4,1,1,1,4
50,5,5,6,4,8,7,6,2,5,5
51,10,7,8,11,5,8,8,1,8,6
52,2,2,4,0,0,4,1,1,1,4
53,2,2,4,0,0,4,1,1,1,4
54,5,5,6,4,8,7,6,2,5,5
55,5,5,6,4,8,7,6,2,5,5
56,2,2,4,0,0,4,1,1,1,4
57,5,5,6,4,8,7,6,2,5,5
58,5,5,6,4,8,7,6,2,5,5
59,5,5,6,4,8,7,6,2,5,5
60,5,5,6,4,8,7,6,2,5,5
61,5,5,6,4,8,7,6,2,5,5
62,5,5,6,4,8,7,6,2,5,5
63,2,2,4,0,0,4,1,1,1,4
64,2,2,4,13,0,4,1,6,1,11
65,2,2,4,0,0,4,1,1,1,4
66,5,5,6,4,8,7,6,2,5,5
67,5,5,6,4,8,7,6,2,5,5
68,4,3,3,3,6,3,3,10,3,9
69,4,1,4,3,0,4,1,10,1,12
70,5,5,6,4,8,7,6,2,5,5
71,2,2,4,0,0,4,1,1,1,4
72,4,3,3,3,6,3,3,10,3,9
73,5,5,6,11,0,8,1,1,8,5
74,5,5,6,4,8,7,6,2,5,5
75,3,12,0,14,2,1,0,11,0,2
76,2,2,4,0,0,4,1,1,1,4
77,10,7,8,11,5,8,8,8,8,6
78,2,2,4,0,0,7,6,1,1,4
79,3,8,0,5,2,1,0,11,0,2
80,4,3,3,3,6,3,3,10,3,9
81,9,4,1,6,9,9,10,9,9,7
82,2,2,4,0,0,4,1,1,1,4
83,9,8,12,9,10,5,9,6,9,8
84,9,9,12,8,11,4,9,1,13,7
85,9,2,4,0,10,4,9,1,1,7
86,2,2,4,0,0,4,1,1,1,4
87,3,8,0,5,2,1,0,11,0,2
88,4,3,3,3,6,3,3,10,3,9
89,5,5,6,4,0,7,1,2,5,11
90,1,4,1,6,9,9,10,9,9,7
91,1,4,1,6,9,9,10,9,9,7
92,2,2,4,0,0,4,1,1,1,4
93,1,8,1,6,9,9,10,9,9,8
94,4,3,3,3,6,3,3,10,3,9
95,3,8,0,5,2,1,0,11,0,8
96,1,4,1,6,9,9,10,9,9,7
97,1,4,1,6,9,9,10,9,9,7
98,8,4,12,8,9,9,0,9,12,7
99,3,8,0,5,2,1,0,11,0,8
100,4,3,3,3,6,3,3,10,3,9
101,1,4,1,6,9,9,10,9,9,7
102,1,4,1,8,9,9,10,9,9,7
103,8,2,12,1,11,9,0,6,4,4
104,8,4,12,1,3,9,10,9,9,3
105,4,3,3,3,6,3,3,10,3,9
106,8,4,1,6,9,9,0,6,0,7
107,1,4,1,6,9,9,10,9,9,7
108,1,4,1,6,9,9,10,9,9,7
109,3,8,0,9,10,1,0,11,12,8
110,1,4,1,8,9,9,10,9,9,7
111,1,4,12,8,9,9,9,9,9,7
112,3,8,0,5,2,1,0,11,0,8
113,1,4,1,6,9,9,10,9,9,7
114,1,4,1,6,9,9,10,9,9,7
115,1,4,1,6,9,9,10,9,9,7
116,4,3,3,3,6,3,3,10,3,9
117,1,4,1,6,9,9,10,9,9,7
118,1,4,1,6,9,9,10,9,9,7
119,1,4,1,6,9,9,10,9,9,7
120,1,4,1,6,9,9,10,9,9,7
121,1,4,1,6,9,9,10,9,9,7
122,1,4,1,6,9,9,10,9,9,7
123,1,4,1,6,9,9,10,9,9,7
124,1,4,1,8,9,9,4,4,9,7
125,8,4,1,6,9,9,10,9,9,7
126,1,4,1,6,9,9,10,9,9,7
127,1,4,1,6,9,9,10,9,9,7
128,1,4,1,8,9,9,10,10,12,9
129,1,4,1,6,9,9,10,9,9,7
130,1,4,1,6,9,9,10,9,9,7
131,8,4,1,8,9,9,10,9,9,3
132,1,1,11,1,3,2,4,4,10,3
133,1,4,1,6,9,9,10,9,9,7
134,1,8,1,6,9,5,10,9,9,8
135,1,4,1,6,9,9,10,9,9,7
136,9,8,0,9,10,1,10,6,9,8
137,1,4,1,6,9,9,10,9,9,7
138,3,8,0,5,2,1,0,11,0,2
139,1,4,1,6,9,9,10,9,9,7
140,1,4,1,6,9,9,10,9,9,7
141,9,8,0,6,12,1,10,7,9,8
142,1,4,1,6,9,9,10,9,9,7
143,1,4,1,6,9,1,10,9,9,7
144,1,4,1,6,9,9,10,9,9,7
145,1,4,1,6,9,9,10,9,9,7
146,9,8,0,9,10,1,10,6,9,8
147,1,4,1,6,9,9,10,9,9,7
148,1,4,1,6,9,9,10,9,9,7
149,1,4,1,6,9,9,10,9,9,7
150,1,4,1,6,9,9,10,9,9,7
151,1,4,1,6,9,9,10,9,9,7
152,1,4,1,6,9,9,10,9,9,7
153,3,8,0,6,2,1,0,11,9,8
154,1,4,1,6,9,9,10,9,9,7
155,9,12,12,14,10,4,0,5,13,2
156,1,8,0,6,12,1,10,7,9,8
157,1,4,1,6,9,9,10,9,9,7
158,1,8,0,6,9,1,10,9,9,8
159,1,8,0,6,12,1,9,6,9,8
160,8,1,11,1,9,9,4,4,10,12
161,1,4,1,6,9,9,10,9,9,7
162,8,4,9,1,12,9,4,6,0,3
163,9,8,0,6,12,1,10,6,9,8
164,2,5,6,4,0,7,13,2,1,5
165,3,8,0,5,2,1,0,11,0,8
166,8,1,12,8,9,9,10,9,4,7
167,1,4,1,6,9,9,10,9,9,7
168,1,8,1,6,9,1,10,9,9,8
169,1,4,1,6,9,9,10,9,9,7
170,1,4,1,6,9,9,10,9,9,7
171,1,4,1,6,9,9,10,9,9,7
172,9,8,0,9,10,1,9,11,0,8
173,1,4,1,6,9,9,10,9,9,7
174,1,8,0,6,3,1,4,4,9,8
175,1,8,0,6,9,1,0,7,9,8
176,1,4,1,6,9,9,10,4,9,7
177,2,2,4,0,0,4,1,1,1,4
178,8,12,12,8,11,9,0,5,12,2
179,1,4,1,1,9,9,10,9,9,7
180,3,8,0,5,2,1,0,11,0,8
181,8,4,12,8,9,2,9,9,4,3
182,8,1,12,1,9,9,10,6,12,7
183,9,8,1,6,10,9,10,9,9,8
184,1,4,1,6,9,5,10,9,9,7
185,1,4,1,6,9,9,10,9,9,7
186,3,8,0,5,12,1,0,11,0,8
187,5,5,6,4,8,7,6,2,5,5
188,9,8,0,9,10,1,9,11,0,8
189,8,4,0,5,12,9,10,6,0,7
190,9,8,0,9,10,1,9,6,9,8
191,8,1,11,1,3,2,4,4,10,12
192,1,8,0,6,9,9,10,6,9,7
193,1,4,1,6,9,9,10,9,9,7
194,8,1,11,1,3,2,4,4,10,12
195,8,6,0,5,9,1,0,7,0,2
196,5,5,6,4,8,7,6,2,5,5
197,10,7,8,11,5,8,8,8,8,6
198,8,1,11,1,3,2,4,4,10,12
199,8,1,11,2,2,9,2,6,12,12
200,10,7,8,11,5,8,8,8,8,6
201,3,8,0,5,2,1,0,11,0,8
202,8,1,11,1,3,2,4,4,10,12
203,3,8,0,9,2,1,1,11,0,2
204,9,8,12,2,10,10,9,6,12,2
205,1,4,1,8,9,9,10,9,9,7
206,5,5,6,4,8,7,6,2,5,5
207,9,10,2,2,4,10,13,0,7,2
208,8,1,11,8,3,2,4,4,10,3
209,3,8,0,5,2,1,0,11,0,8
210,9,8,0,9,10,1,9,11,0,8
211,3,8,0,9,10,1,9,11,0,8
212,9,8,12,9,10,1,0,6,4,2
213,9,9,11,8,10,2,9,4,12,3
214,9,8,0,14,2,1,0,11,0,8
215,8,6,0,5,3,1,0,4,0,2
216,5,5,6,4,8,7,6,2,5,5
217,9,8,0,9,10,1,9,11,0,8
218,10,7,8,11,5,8,8,8,8,6
219,3,8,0,5,2,1,0,11,0,8
220,9,8,12,2,10,5,13,8,2,8
221,3,8,0,9,10,1,9,11,0,8
222,8,4,1,8,9,9,10,9,12,7
223,8,9,11,1,3,2,4,6,4,3
224,3,6,0,5,2,1,0,11,0,3
225,5,5,6,4,8,7,6,2,5,5
226,9,8,0,9,10,1,9,6,0,8
227,1,4,11,6,9,9,10,9,9,7
228,8,4,1,8,3,9,10,6,9,7
229,8,4,11,8,3,2,4,4,10,3
230,3,6,0,5,2,1,0,11,0,2
231,1,4,1,6,9,9,10,9,9,7
232,5,5,6,4,8,7,6,2,5,5
233,3,8,0,5,2,1,0,11,0,2
234,9,8,0,9,10,1,9,6,12,8
235,3,6,0,5,2,1,0,11,0,2
236,3,8,0,5,2,1,0,11,0,2
237,9,8,0,9,10,5,9,6,0,2
238,3,8,0,5,2,1,0,11,0,2
239,10,7,8,11,5,8,8,8,8,6
240,2,2,4,0,0,4,1,6,13,4
241,2,2,4,0,0,4,1,1,1,4
242,9,8,0,9,10,1,9,11,0,8
243,9,8,12,5,10,5,9,6,12,8
244,10,7,8,11,5,8,8,8,8,6
245,1,9,11,6,9,5,10,9,9,7
246,1,9,11,8,9,2,4,9,9,3
247,9,8,0,9,10,5,9,6,11,8
248,9,10,2,2,10,10,9,0,6,8
249,9,7,8,9,10,2,9,6,10,6
250,8,9,11,8,3,2,4,9,4,3
251,2,2,4,0,0,4,1,1,1,4
252,3,12,0,5,2,1,0,11,0,2
253,4,3,3,3,6,3,3,10,3,9
254,4,8,3,5,2,1,0,11,11,8
255,8,4,0,1,2,2,4,4,0,2
256,3,8,0,5,2,1,0,11,0,2
257,8,1,11,1,3,2,0,4,4,12
258,9,4,11,8,3,5,4,4,4,3
259,9,8,0,9,10,5,9,0,2,8
260,9,8,0,9,10,1,9,6,0,2
261,9,12,0,5,2,1,0,11,12,2
262,6,8,12,14,10,9,0,6,11,8
263,4,3,3,3,6,3,3,10,3,9
264,1,4,1,6,9,9,10,9,9,7
265,3,8,0,9,10,1,0,11,0,8
266,3,8,0,9,10,1,0,11,0,8
267,8,12,12,14,6,9,0,6,12,9
268,8,1,11,1,3,2,4,4,10,12
269,1,4,1,6,9,9,10,9,9,7
270,8,1,11,1,3,1,4,4,10,12
271,8,9,11,1,3,2,4,4,4,3
272,8,1,12,1,11,0,4,6,4,3
273,9,7,1,6,9,9,10,9,9,7
274,4,3,3,14,6,3,3,10,3,9
275,9,8,12,9,10,5,10,6,9,8
276,8,9,11,1,3,2,4,4,10,12
277,9,8,12,9,10,5,9,6,9,8
278,8,1,11,1,3,2,4,4,10,12
279,9,8,11,5,10,10,9,9,9,8
280,10,7,8,11,5,8,8,8,8,6
281,4,3,3,3,6,3,3,10,3,9
282,8,1,11,1,3,2,4,4,10,12
283,9,9,11,8,3,10,4,4,9,3
284,2,2,11,1,0,4,4,1,1,4
285,8,9,11,1,3,2,4,4,10,3
286,8,1,12,1,3,2,4,4,10,12
287,2,4,12,8,11,9,14,9,13,7
288,8,9,11,1,3,2,4,4,12,3
289,9,8,1,9,10,5,9,9,9,8
290,9,9,11,6,3,2,4,4,4,3
291,8,6,11,5,2,2,4,4,10,2
292,8,9,11,1,3,2,4,4,10,3
293,4,7,8,11,2,8,8,8,8,6
294,8,1,11,1,3,2,4,4,10,12
295,3,9,11,1,2,1,4,4,10,3
296,5,5,6,4,8,7,6,2,5,5
297,9,9,11,6,3,2,4,9,9,3
298,8,9,11,1,3,2,4,4,4,3
299,1,4,1,6,9,9,10,9,9,7
300,10,7,8,11,5,8,8,9,9,7
301,9,8,0,9,10,1,9,6,0,8
302,1,4,12,1,3,9,10,9,9,7
303,8,9,11,1,3,2,4,4,9,7
304,5,5,6,4,8,7,6,2,5,5
305,8,1,11,1,3,2,4,4,10,3
306,8,1,11,1,3,2,4,4,10,12
307,3,6,0,5,2,1,0,11,0,2
308,9,8,2,9,10,1,13,6,12,2
309,3,8,0,5,2,1,0,11,0,8
310,8,1,11,5,3,2,4,4,10,12
311,9,8,0,9,10,1,0,6,0,8
312,3,8,0,9,2,1,0,11,0,2
313,3,8,0,5,2,1,0,11,0,8
314,5,5,6,4,8,7,6,2,5,5
315,3,8,0,5,2,1,0,11,0,8
316,9,1,11,5,10,2,4,4,0,8
317,10,7,8,11,5,8,8,8,8,6
318,9,8,0,9,10,1,0,6,0,2
319,5,5,6,4,8,7,6,2,5,5
320,9,8,0,9,10,1,9,6,9,8
321,9,8,0,9,10,1,0,6,9,8
322,3,8,0,9,2,1,0,11,0,2
323,8,9,11,5,3,2,0,4,10,12
324,10,7,8,11,5,8,8,8,8,6
325,3,8,0,5,2,1,0,11,0,2
326,10,7,8,11,5,8,8,8,8,6
327,8,1,11,1,3,2,0,11,10,12
328,1,8,9,6,3,1,4,6,9,8
329,8,1,0,1,3,1,4,4,10,3
330,8,6,0,5,3,1,4,4,10,2
331,3,8,0,5,2,1,4,11,0,2
332,8,1,11,5,3,2,10,4,9,3
333,0,10,13,2,1,0,13,0,2,0
334,4,3,3,3,6,3,3,10,3,9
335,10,7,8,11,5,8,8,8,8,6
336,5,5,6,4,8,7,6,2,5,5
337,8,9,11,8,3,2,4,4,4,3
338,5,5,6,4,8,7,6,2,5,5
339,8,1,11,1,3,2,4,4,10,12
340,9,8,0,9,10,1,9,6,9,8
341,10,7,8,11,5,8,8,8,8,6
342,9,8,0,9,10,5,9,6,9,8
343,8,7,8,6,5,8,8,8,8,6
344,8,6,0,5,12,1,4,11,0,2
345,2,12,4,14,6,4,1,1,1,4
346,3,6,12,5,2,5,0,6,0,2
347,10,7,8,11,5,8,8,8,8,6
348,10,7,8,11,5,8,8,8,8,6
349,5,5,6,4,8,7,6,2,5,5
350,3,8,0,5,2,1,0,11,0,2
351,8,1,11,1,11,10,4,4,10,12
352,8,5,11,4,0,7,4,4,10,5
353,9,1,13,2,1,2,4,4,10,1
354,1,4,1,6,9,5,10,9,9,8
355,1,1,11,8,3,2,4,4,10,3
356,10,7,8,11,5,8,8,8,8,6
357,8,1,11,1,3,2,4,4,10,12
358,3,8,0,5,12,1,0,11,0,8
359,2,2,4,1,11,4,2,1,4,4
360,10,7,8,11,5,8,8,8,8,6
