sample	seed	ari_value
20180417_BZ5_control	0	0.34124060923682925
20180417_BZ5_control	1	0.35747232183295846
20180417_BZ5_control	2	0.3471962163068758
20180417_BZ5_control	3	0.35540088750421006
20180417_BZ5_control	4	0.3554821399381599
20180417_BZ5_control	5	0.3612333359323399
20180417_BZ5_control	6	0.37284974418797195
20180417_BZ5_control	7	0.38671325967241577
20180417_BZ5_control	8	0.3393859634197448
20180417_BZ5_control	9	0.398542850497698
20180419_BZ9_control	0	0.35524143091869215
20180419_BZ9_control	1	0.38704631033150955
20180419_BZ9_control	2	0.3448113743666368
20180419_BZ9_control	3	0.3444405051126703
20180419_BZ9_control	4	0.3421677216703589
20180419_BZ9_control	5	0.34993010355189513
20180419_BZ9_control	6	0.33335102350462903
20180419_BZ9_control	7	0.33985033685064603
20180419_BZ9_control	8	0.34531068782038044
20180419_BZ9_control	9	0.3641219080447368
20180424_BZ14_control	0	0.38566920442909636
20180424_BZ14_control	1	0.49508811675474235
20180424_BZ14_control	2	0.3609075499441942
20180424_BZ14_control	3	0.3874048340010026
20180424_BZ14_control	4	0.3933032964405473
20180424_BZ14_control	5	0.38451700557618096
20180424_BZ14_control	6	0.402699765641371
20180424_BZ14_control	7	0.36678516982972365
20180424_BZ14_control	8	0.3673259028845146
20180424_BZ14_control	9	0.3611387706982645
