sample	seed	ari_value
20180417_BZ5_control	0	0.3304381814175963
20180417_BZ5_control	1	0.34427741689164076
20180417_BZ5_control	2	0.3471962163068758
20180417_BZ5_control	3	0.35039277000854613
20180417_BZ5_control	4	0.3110037465564613
20180417_BZ5_control	5	0.360307496702353
20180417_BZ5_control	6	0.37284974418797195
20180417_BZ5_control	7	0.39591349375936397
20180417_BZ5_control	8	0.3615943881436023
20180417_BZ5_control	9	0.4188308450483871
20180419_BZ9_control	0	0.3183414957572892
20180419_BZ9_control	1	0.3337735723204247
20180419_BZ9_control	2	0.35304906852044265
20180419_BZ9_control	3	0.3357416670989647
20180419_BZ9_control	4	0.3337254984402687
20180419_BZ9_control	5	0.3368515329022452
20180419_BZ9_control	6	0.33622411054061063
20180419_BZ9_control	7	0.3448347983692767
20180419_BZ9_control	8	0.34531068782038044
20180419_BZ9_control	9	0.31546008940107106
20180424_BZ14_control	0	0.33735913410075
20180424_BZ14_control	1	0.49256255994628434
20180424_BZ14_control	2	0.3378808944313058
20180424_BZ14_control	3	0.3412285646346242
20180424_BZ14_control	4	0.3121561192799216
20180424_BZ14_control	5	0.37642041454367214
20180424_BZ14_control	6	0.38961647785062925
20180424_BZ14_control	7	0.3337673273904844
20180424_BZ14_control	8	0.35509796477869976
20180424_BZ14_control	9	0.37183370960148965
