sample	seed	ari_value
20180417_BZ5_control	0	0.3304381814175963
20180417_BZ5_control	1	0.3955685004987266
20180417_BZ5_control	2	0.3471962163068758
20180417_BZ5_control	3	0.35039277000854613
20180417_BZ5_control	4	0.33491560823860234
20180417_BZ5_control	5	0.360307496702353
20180417_BZ5_control	6	0.37284974418797195
20180417_BZ5_control	7	0.39591349375936397
20180417_BZ5_control	8	0.34844357752212146
20180417_BZ5_control	9	0.4188308450483871
20180419_BZ9_control	0	0.34243878765520835
20180419_BZ9_control	1	0.38704631033150955
20180419_BZ9_control	2	0.35304906852044265
20180419_BZ9_control	3	0.3357416670989647
20180419_BZ9_control	4	0.3337254984402687
20180419_BZ9_control	5	0.33812385030924225
20180419_BZ9_control	6	0.34471726519028306
20180419_BZ9_control	7	0.3448347983692767
20180419_BZ9_control	8	0.34531068782038044
20180419_BZ9_control	9	0.35880216224154426
20180424_BZ14_control	0	0.3825174316296486
20180424_BZ14_control	1	0.4271653748442772
20180424_BZ14_control	2	0.3478953718778574
20180424_BZ14_control	3	0.3715199746385507
20180424_BZ14_control	4	0.38693505405867484
20180424_BZ14_control	5	0.38601004655543025
20180424_BZ14_control	6	0.37470732439783583
20180424_BZ14_control	7	0.3601340900465439
20180424_BZ14_control	8	0.3525776943012058
20180424_BZ14_control	9	0.37183370960148965
